n_policy,pack_PPO_Ant1_relative_perc_criteria_best,pack_PPO_Ant2_relative_perc_criteria_best,pack_PPO_Ant3_relative_perc_criteria_best,pack_PPO_Ant4_relative_perc_criteria_best,pack_PPO_Ant5_relative_perc_criteria_best,pack_PPO_Ant6_relative_perc_criteria_best,pack_PPO_Ant7_relative_perc_criteria_best,pack_PPO_Ant8_relative_perc_criteria_best,pack_PPO_Ant9_relative_perc_criteria_best,pack_PPO_Ant10_relative_perc_criteria_best,pack_PPO_Ant11_relative_perc_criteria_best,pack_PPO_Ant12_relative_perc_criteria_best,pack_PPO_Ant13_relative_perc_criteria_best,pack_PPO_Ant14_relative_perc_criteria_best,pack_PPO_Ant15_relative_perc_criteria_best,pack_PPO_Ant16_relative_perc_criteria_best,pack_PPO_Ant17_relative_perc_criteria_best,pack_PPO_Ant18_relative_perc_criteria_best,pack_PPO_Ant19_relative_perc_criteria_best,pack_PPO_Ant20_relative_perc_criteria_best,pack_PPO_Ant21_relative_perc_criteria_best,pack_PPO_Ant22_relative_perc_criteria_best,pack_PPO_Ant23_relative_perc_criteria_best,pack_PPO_Ant24_relative_perc_criteria_best,pack_PPO_Ant25_relative_perc_criteria_best,pack_PPO_Ant26_relative_perc_criteria_best,pack_PPO_Ant27_relative_perc_criteria_best,pack_PPO_Ant28_relative_perc_criteria_best,pack_PPO_Ant29_relative_perc_criteria_best,pack_PPO_Ant30_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.0032639517058186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2760898296261574,0.6129419966956534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2940264325872228,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5658942006188239,1.0,0.5019894265572185,1.0,1.0,0.4275668872811037,0.0387865521582609,1.0,0.21095568597933,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.1494855829820577,0.6190131176754552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3081973282541548,1.0,0.0168209098272013,1.0,1.0,0.0196403580738883,0.8210958403089668,1.0,1.0,1.0,1.0,1.0,1.0,0.4002012041993482,1.0,1.0,1.0
5,0.0749868526958103,0.4415396281752384,1.0,1.0,0.0340092429814936,0.6540062953275809,0.2595016258293434,1.0,1.0,1.0,0.1990735724279609,0.3896981057248159,1.0,0.0868675883765134,0.4989990053340156,1.0,1.0,1.0,0.2144498360289679,0.8612789382318841,1.0,0.8406496528803424,0.2877024292696854,1.0,0.6908312448093454,1.0,0.1570237752457621,1.0,0.1771861943792621,1.0
6,1.0,1.0,0.7963683808092232,1.0,0.0722980050244908,0.5833557136256877,1.0,0.0482939361847529,0.4516666293967047,1.0,1.0,0.1047284948282447,0.0140969853412403,1.0,1.0,1.0,1.0,1.0,0.0855123090927156,1.0,0.5915780670380567,0.5650215655503719,0.2617706217057855,0.3863104800864704,0.7573555869616218,1.0,1.0,1.0,0.1390407130312574,0.0850007101888745
7,0.6918810917774956,0.4703906006650707,0.9771324158486104,0.5842369859261006,1.0,0.5850329379807657,1.0,0.1911046960106155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3581869443697218,1.0,1.0,1.0,1.0,0.0429030101470774,1.0,0.6606853906460209,0.3863939558448686,0.4295282884189681,1.0,0.1009016494691151,1.0
8,1.0,0.4085039228376849,1.0,1.0,1.0,1.0,0.3711645832286118,1.0,0.4418488697646803,0.2295563159231897,1.0,0.31081795745994,1.0,1.0,1.0,1.0,1.0,0.02579915108939,1.0,0.5422272620509495,0.4565306067078722,0.5003735112532877,0.0247116370699867,1.0,0.546628119263113,0.2591362978144861,1.0,1.0,0.0086832652013401,0.067036233353914
9,1.0,1.0,0.158228246732679,1.0,0.0373867755309433,1.0,0.0330180485010541,1.0,0.1700161388792761,1.0,1.0,1.0,1.0,1.0,1.0,0.5849727602814995,1.0,1.0,1.0,0.6909877745441446,1.0,1.0,1.0,0.0801590982122574,0.3100956771912663,1.0,1.0,1.0,1.0,0.0490545643954642
10,1.0,1.0,1.0,1.0,0.0676537323619047,1.0,1.0,0.071153517403131,1.0,1.0,1.0,0.0679994653121508,1.0,1.0,0.3168418669393591,0.7617377808642815,1.0,1.0,1.0,1.0,1.0,1.0,0.0496076881046258,0.3600685335540503,0.3198013197876672,1.0,1.0,1.0,0.0207118663319304,1.0
