n_policy,pack_PPO_Ant1,pack_PPO_Ant2,pack_PPO_Ant3,pack_PPO_Ant4,pack_PPO_Ant5,pack_PPO_Ant6,pack_PPO_Ant7,pack_PPO_Ant8,pack_PPO_Ant9,pack_PPO_Ant10,pack_PPO_Ant11,pack_PPO_Ant12,pack_PPO_Ant13,pack_PPO_Ant14,pack_PPO_Ant15,pack_PPO_Ant16,pack_PPO_Ant17,pack_PPO_Ant18,pack_PPO_Ant19,pack_PPO_Ant20,pack_PPO_Ant21,pack_PPO_Ant22,pack_PPO_Ant23,pack_PPO_Ant24,pack_PPO_Ant25,pack_PPO_Ant26,pack_PPO_Ant27,pack_PPO_Ant28,pack_PPO_Ant29,pack_PPO_Ant30
0,998.389720439912,996.1827844984946,1002.3326950681612,999.4791276179952,1001.6828265994797,997.7332282089856,999.6542572206772,996.3903214938738,1004.9552397673676,998.0749704051389,999.9532283683176,996.1948696628618,1002.2621371147162,999.4343812825052,1001.1939653992492,1001.6782928931424,1003.627375238786,999.01823078542,1000.3224185127756,1004.0559287853922,1001.7260165248116,1004.7071246690996,1005.0889325707858,999.1380435378964,995.126321054484,997.4101763068444,999.9309004530774,1000.6362715391144,997.2401362797232,1000.924168484311
1,995.2310743721008,1000.881166907819,988.1972703820868,999.0844559082346,994.5714622146816,988.5466171640236,999.1892735821892,1026.5254156310934,997.587371065811,992.9634259529936,997.9354390089964,997.717493532826,995.9519400656962,998.2976763753064,998.6763329239238,1004.0341327395298,1015.376451091924,993.6810064387236,994.4529300255832,950.007336423076,988.7624429966032,1001.794919322898,988.4971099336254,994.264359378086,998.9280233853044,989.0793473908618,997.753747060324,998.474379578652,988.1230761330672,996.227494423135
2,987.8354442237973,986.2328571304046,980.1809178056586,1006.5262509592108,994.594673364596,952.8887930886764,1052.7496558051414,989.1946602066192,979.7250161476592,985.4951670483592,996.3844974287088,994.2606160790318,993.2537307588916,1027.3833405299197,1046.893241059148,989.6490252591371,1001.5553505186756,1005.1199421231528,996.0734361020048,983.1359885442236,972.4295745008992,991.5111275352616,982.512984646287,975.6648716201568,977.1365305350488,983.9699551647358,985.491611503702,999.1100329594258,1008.4088918057151,979.9221903718652
3,982.991312938434,978.5610620014304,975.2095161706288,986.302342649589,968.4744579024718,1004.3265968038788,981.043507600057,978.9532928757816,968.0721102288484,968.9601919168226,982.798988640714,983.1239319903652,979.1775160781413,985.092778943658,989.123962893476,988.9610631965736,993.3160513901568,1000.1542338037938,975.9090579069951,977.13915830926,957.0207739187656,990.2349489392273,992.1657124277853,976.575315027064,973.7370107499114,986.8052462354832,977.95162552055,994.5327146337972,1052.8038148592937,969.2743975756632
4,964.9434394934368,961.1785935902687,957.642750710064,958.7111771737189,973.4386302570272,984.729468332802,975.7786610679184,971.187921951791,943.335612548242,957.91800545478,975.230845882139,965.2947590763556,954.3298018976632,998.1266170349116,985.4909230769324,989.2146059401748,960.615674385578,1019.497877879516,976.3885450510796,994.3864107863288,948.0723470235775,981.1906279389314,908.900907524341,938.9385717839268,934.6824838306476,967.211731720676,986.747757815976,973.0189057760912,922.9056430754412,1018.219855113935
5,967.4514708359928,978.7088530505,936.1020172347628,943.3198645452572,969.6038493825074,986.5294405362432,995.7527593439296,954.525840423079,926.9971177266516,950.5636826807396,980.152418882593,977.9298372764608,942.3359517641308,988.766458039745,1016.130618675261,979.5482191824264,1073.448052268804,972.590747274998,981.1444990858208,996.5582506658196,939.2313342671182,1000.959762752109,936.5744359968566,919.675644400575,979.0653098946392,943.1554675595444,981.40289424762,957.9218148893052,945.9218057906456,955.741468131598
6,947.3109185457675,947.3763144836367,988.8460349008436,1008.6765320392084,970.8753567093833,982.8953297822964,961.1693874190078,958.0029833135042,962.2081999428788,922.2030432444988,973.5198400644408,968.6903432541976,943.1807303205744,972.7358588692445,981.8200577348872,965.111714591682,958.8468261825726,915.2517304154107,977.9967007451086,928.328748242028,976.201817597282,994.4779557376712,934.0801066414006,950.3728019601364,983.3392021497308,918.6342808429644,938.7484107390682,952.0659934679794,940.9667775017248,961.052175396552
7,982.6513757669746,972.5444941539438,1000.8181594694024,981.5036469720976,953.1007345497476,982.9816025194592,947.5947702298122,968.2852973561,921.7867458811708,892.9263651986955,966.6362011082848,813.8878476260434,933.6355575348604,957.249938166836,871.1203289614828,964.0108293815268,945.8515414066496,952.591339437894,950.0927517278976,923.3064257536954,1033.5766034292812,972.5571497707984,913.027663338936,897.5812550996329,977.1285732285804,949.0728107164748,965.0280208271377,944.5744373277546,936.0125828714544,930.0993145054356
8,1002.579223586855,969.2332565897666,912.4317196866228,926.7074997581224,760.7297183004329,915.8286704721646,986.6245395088316,918.318120484096,958.5346509048176,917.0638916343486,955.7315409842344,871.0254026873736,910.7275125506123,941.0836873764948,754.9119465928918,690.9037499062758,888.1859598080418,917.941192524324,936.1658350523272,967.0910076945472,982.302837237738,988.6441455973664,911.2778710897676,840.1204548431,969.8009022884536,939.0479747504952,927.4810128507272,943.1215441959972,924.0335833502096,936.00658362894
9,886.1441659270872,937.9724936763372,926.6565934008014,891.270081885407,769.7381780738924,839.4588795730319,951.0667793418612,908.3067664826168,935.9267320881066,887.752766459328,905.259977110211,671.8517894367465,904.7839272108106,929.9894208493912,610.1982802359544,874.0764942802471,869.8572357991923,884.959315104038,913.3720822682512,979.1033451491132,1078.3106722563234,940.8982919366684,908.3818468309648,852.8671613527625,954.6047479253672,897.5998706111524,902.3702859837346,934.76254560486,898.6296079580214,934.4220292392783
10,848.7005222594039,902.4268754291152,909.3589569144598,850.5068731135204,777.0310954010656,832.3774467274847,912.784744932061,916.7184391921776,1030.39436738423,861.400510662108,834.0553475318724,694.0104830788474,898.4506352180834,829.7300224996054,748.5615269061853,929.4269928468616,854.3139850604468,864.3090007708604,904.381978976538,901.6407976138776,1118.384330954348,894.7484757719175,913.1792617778532,897.3776848137364,955.2282921706976,873.9546881034659,901.2583618635034,927.9966268189054,901.822843523192,918.849384323749
11,886.5074114351972,876.4967280298406,859.2468119569896,862.0532817516126,658.6289725554972,902.3514376625689,903.1058279146934,925.4901501577166,1094.6248670173018,837.8032705911165,829.8742286942571,860.9211692918783,860.5422523533002,800.9540171382066,336.9560916671089,920.9292885770884,871.8940564429963,869.5334479727808,919.8478616292344,1004.1013120573108,1099.3485889051567,920.0785552527144,884.6031304986107,901.309904245402,950.7666211721262,870.2700115375446,872.0070910987783,952.61831167159,862.6814008996566,891.8918737690021
12,818.0120985324527,843.3028234828205,870.6415802226684,865.1055296743762,676.164443409554,907.4850351579812,890.4769850466956,1009.5933409375624,1152.1076344500295,815.2371645731423,601.9090892835305,573.0262083810077,857.137579452392,831.9376033366051,422.6204115031779,814.4255470320962,848.9529931161869,895.2723722253105,928.1894581577316,933.5030172664704,1100.4011785807925,848.8102200885687,839.1660105468246,818.0030374403384,917.6617376799926,851.9094870548957,786.9643284247647,960.4280155233974,877.6041988296867,874.5691177475667
13,866.6609027704275,819.8246678020415,881.0827789609349,818.045045636102,490.2475273795356,964.3737979682062,960.8874690519804,872.725788811241,827.7700014584738,791.7048203257843,719.1424189887804,825.7040058002302,825.5221482904267,886.5610161625793,360.3894148029796,894.2969974208946,761.6447037341695,867.9839705083853,845.1411930252078,852.0899815102877,1094.4104826861949,835.4365400699149,857.6194758172378,778.9122092922939,912.1686678298304,854.0857211734403,848.7539256653268,887.1213778500659,854.693043324172,801.0465543223404
14,892.0650387686863,778.7332417095059,844.6284125394116,794.047540456952,402.0951381598076,904.647758789369,860.4040074415162,851.8622629046785,1140.5049049603444,801.6353749016754,688.887508893911,846.160010194744,877.6209734648727,759.906534007819,519.3671658428392,879.6803163656004,863.2928533446075,908.694786228584,672.5062029471025,693.9335225447429,811.5143917306018,693.6540442157292,724.5499865412304,645.9082271510201,844.530931092801,829.5615042895583,822.6809359313364,796.0297181760926,846.2902111713584,776.9800406233213
15,892.5589908070675,705.7274099020556,644.2294551309452,836.6620991696079,382.0626866469739,884.6022891865515,831.1484389455127,799.3882738746479,949.9500445440468,816.3787454902256,651.0641475360296,807.5088528745896,862.0064137524606,800.5429788834415,661.8163280564754,900.393483436774,660.5239055079056,881.0940950766587,592.4566551807914,569.4237292645306,879.2691439583501,701.5608989769088,627.5270729693437,646.6810623196612,860.316899625415,837.2457879395639,813.9874795362853,493.2896034141165,792.091204026652,817.7017363999668
