n_policy,pack_PPO_Ant1_500_relative_perc_criteria_best,pack_PPO_Ant1_250_relative_perc_criteria_best,pack_PPO_Ant1_100_relative_perc_criteria_best,pack_PPO_Ant1_50_relative_perc_criteria_best,pack_PPO_Ant1_25_relative_perc_criteria_best,pack_PPO_Ant1_5_relative_perc_criteria_best,pack_PPO_Ant2_500_relative_perc_criteria_best,pack_PPO_Ant2_250_relative_perc_criteria_best,pack_PPO_Ant2_100_relative_perc_criteria_best,pack_PPO_Ant2_50_relative_perc_criteria_best,pack_PPO_Ant2_25_relative_perc_criteria_best,pack_PPO_Ant2_5_relative_perc_criteria_best,pack_PPO_Ant3_500_relative_perc_criteria_best,pack_PPO_Ant3_250_relative_perc_criteria_best,pack_PPO_Ant3_100_relative_perc_criteria_best,pack_PPO_Ant3_50_relative_perc_criteria_best,pack_PPO_Ant3_25_relative_perc_criteria_best,pack_PPO_Ant3_5_relative_perc_criteria_best,pack_PPO_Ant4_500_relative_perc_criteria_best,pack_PPO_Ant4_250_relative_perc_criteria_best,pack_PPO_Ant4_100_relative_perc_criteria_best,pack_PPO_Ant4_50_relative_perc_criteria_best,pack_PPO_Ant4_25_relative_perc_criteria_best,pack_PPO_Ant4_5_relative_perc_criteria_best,pack_PPO_Ant7_500_relative_perc_criteria_best,pack_PPO_Ant7_250_relative_perc_criteria_best,pack_PPO_Ant7_100_relative_perc_criteria_best,pack_PPO_Ant7_50_relative_perc_criteria_best,pack_PPO_Ant7_25_relative_perc_criteria_best,pack_PPO_Ant7_5_relative_perc_criteria_best,pack_PPO_Ant8_500_relative_perc_criteria_best,pack_PPO_Ant8_250_relative_perc_criteria_best,pack_PPO_Ant8_100_relative_perc_criteria_best,pack_PPO_Ant8_50_relative_perc_criteria_best,pack_PPO_Ant8_25_relative_perc_criteria_best,pack_PPO_Ant8_5_relative_perc_criteria_best,pack_PPO_Ant9_500_relative_perc_criteria_best,pack_PPO_Ant9_250_relative_perc_criteria_best,pack_PPO_Ant9_100_relative_perc_criteria_best,pack_PPO_Ant9_50_relative_perc_criteria_best,pack_PPO_Ant9_25_relative_perc_criteria_best,pack_PPO_Ant9_5_relative_perc_criteria_best,pack_PPO_Ant17_500_relative_perc_criteria_best,pack_PPO_Ant17_250_relative_perc_criteria_best,pack_PPO_Ant17_100_relative_perc_criteria_best,pack_PPO_Ant17_50_relative_perc_criteria_best,pack_PPO_Ant17_25_relative_perc_criteria_best,pack_PPO_Ant17_5_relative_perc_criteria_best,pack_PPO_Ant18_500_relative_perc_criteria_best,pack_PPO_Ant18_250_relative_perc_criteria_best,pack_PPO_Ant18_100_relative_perc_criteria_best,pack_PPO_Ant18_50_relative_perc_criteria_best,pack_PPO_Ant18_25_relative_perc_criteria_best,pack_PPO_Ant18_5_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,0.700723573731333,0.6792542975457403,0.6792542975457403,0.6792542975457403,0.6792542975457403,0.6792542975457403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0530344771734636,0.0530344771734636,0.0530344771734636,0.0530344771734636,0.0530344771734636,0.0530344771734636,0.0086814846942731,0.0086814846942731,0.0086814846942731,0.0086814846942731,0.0086814846942731,0.0086814846942731,0.1927542372350988,0.1927542372350988,0.1927542372350988,0.1927542372350988,0.1927542372350988,0.1927542372350988,1.0,1.0,1.0,1.0,1.0,0.7079744986563948,1.0,1.0,1.0,1.0,1.0,0.1499174909501046,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005
3,1.0,1.0,1.0,1.0,1.0,0.7948719003891773,0.789499985370607,0.789499985370607,0.789499985370607,0.789499985370607,0.789499985370607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6515449321997377,0.6515449321997377,0.6515449321997377,1.0,1.0,0.6515449321997377,0.2595418954507534,0.2595418954507534,0.2595418954507534,0.2595418954507534,1.0,1.0,0.3665387964245341,0.3665387964245341,0.3665387964245341,0.3665387964245341,0.3665387964245341,0.3665387964245341,1.0,1.0,1.0,1.0,1.0,0.8002374312119603,1.0,1.0,1.0,1.0,1.0,1.0,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005,0.4665839981915005
4,1.0,1.0,1.0,1.0,1.0,0.9055606190456252,0.8816605066944742,0.8816605066944742,0.8816605066944742,0.8816605066944742,0.8816605066944742,0.4378171730112483,1.0,1.0,1.0,1.0,0.3930809427687725,1.0,1.0,1.0,1.0,1.0,1.0,0.8526171187598633,0.3101895231349093,0.3101895231349093,0.3101895231349093,0.3101895231349093,0.0684003961506878,0.0684003961506878,0.4554308095003056,0.4554308095003056,0.4554308095003056,0.4554308095003056,0.4554308095003056,0.4554308095003056,1.0,1.0,1.0,1.0,1.0,0.8804298397431756,1.0,1.0,0.5971496200635382,1.0,1.0,1.0,0.2067339708041944,0.2067339708041944,0.2067339708041944,0.2067339708041944,1.0,0.2067339708041944
5,1.0,1.0,1.0,1.0,1.0,0.0749868526958103,0.8816605066944742,0.8816605066944742,0.8816605066944742,0.4415396281752384,0.4415396281752384,0.4415396281752384,1.0,1.0,1.0,1.0,0.5904740856531764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3101895231349093,0.3101895231349093,0.3101895231349093,0.3101895231349093,0.0684003961506878,0.0684003961506878,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,1.0,1.0,1.0,1.0,1.0,0.905489402403658,0.4853285708736873,0.4853285708736873,0.2898137717032024,1.0,1.0,1.0,0.5634001306376343,0.5634001306376343,0.5634001306376343,0.5634001306376343,1.0,0.5634001306376343
6,1.0,1.0,1.0,1.0,1.0,0.3943035377369362,0.9121877325802904,0.9121877325802904,0.9121877325802904,0.5856018126816123,0.5856018126816123,0.5856018126816123,1.0,1.0,1.0,1.0,0.5904740856531764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4202310222481999,0.4202310222481999,0.4202310222481999,0.4202310222481999,0.2170131244566037,0.2170131244566037,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,1.0,1.0,1.0,1.0,0.4516666293967047,0.4516666293967047,0.493272426830894,0.493272426830894,0.3007753615275271,1.0,1.0,0.0154348104589599,0.8035452859191013,0.8035452859191013,0.8035452859191013,0.8035452859191013,1.0,0.8035452859191013
7,1.0,1.0,1.0,1.0,1.0,0.3943035377369362,0.9121877325802904,0.9121877325802904,0.9121877325802904,0.5856018126816123,0.5856018126816123,0.5856018126816123,1.0,1.0,1.0,1.0,0.5904740856531764,0.9771324158486104,0.5842369859261006,0.5842369859261006,0.5842369859261006,1.0,1.0,1.0,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.3180901884609373,1.0,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,0.5814545565004217,1.0,1.0,1.0,1.0,0.4860188296426104,0.4860188296426104,0.5448809627747875,0.5448809627747875,0.3719890901623804,1.0,1.0,0.1157095353091467,0.8035452859191013,0.8035452859191013,0.8035452859191013,0.8035452859191013,1.0,0.8035452859191013
8,0.9241970032584051,0.9241970032584051,0.9241970032584051,0.9241970032584051,1.0,0.3644141479506639,0.9121877325802904,0.9121877325802904,0.9121877325802904,0.5856018126816123,0.5856018126816123,0.4085039228376849,1.0,1.0,1.0,1.0,0.6982993923878797,0.983153290691996,1.0,1.0,1.0,1.0,0.2026663524606244,0.2026663524606244,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.3180901884609373,1.0,0.7215058920354517,0.7215058920354517,0.7215058920354517,0.7215058920354517,0.7215058920354517,1.0,1.0,1.0,1.0,1.0,0.4860188296426104,0.4860188296426104,0.6865435318929076,0.6865435318929076,0.5674668259745638,1.0,1.0,0.3909580941005321,0.8035452859191013,0.8035452859191013,0.8035452859191013,0.8035452859191013,1.0,0.8035452859191013
9,0.9640185419138532,0.9640185419138532,0.9640185419138532,0.9640185419138532,0.5253293453713423,0.6983060475350285,0.9253142346201456,0.9253142346201456,0.9253142346201456,0.6475475841664527,0.6475475841664527,0.4969229409496652,1.0,1.0,1.0,0.158228246732679,0.158228246732679,0.983153290691996,1.0,1.0,1.0,1.0,0.4433298391329056,0.4433298391329056,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.4950743534742516,0.3180901884609373,1.0,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,0.7450901837038292,1.0,1.0,1.0,1.0,1.0,0.4860188296426104,0.4860188296426104,0.7147631598326639,0.7147631598326639,0.6064066038528417,1.0,0.0900272631481162,1.0,0.84777860955544,0.84777860955544,0.84777860955544,0.84777860955544,1.0,0.84777860955544
