n_policy,pack_PPO_Ant1_500,pack_PPO_Ant1_250,pack_PPO_Ant1_100,pack_PPO_Ant1_50,pack_PPO_Ant1_25,pack_PPO_Ant1_5,pack_PPO_Ant2_500,pack_PPO_Ant2_250,pack_PPO_Ant2_100,pack_PPO_Ant2_50,pack_PPO_Ant2_25,pack_PPO_Ant2_5,pack_PPO_Ant3_500,pack_PPO_Ant3_250,pack_PPO_Ant3_100,pack_PPO_Ant3_50,pack_PPO_Ant3_25,pack_PPO_Ant3_5,pack_PPO_Ant4_500,pack_PPO_Ant4_250,pack_PPO_Ant4_100,pack_PPO_Ant4_50,pack_PPO_Ant4_25,pack_PPO_Ant4_5,pack_PPO_Ant5_500,pack_PPO_Ant5_250,pack_PPO_Ant5_100,pack_PPO_Ant5_50,pack_PPO_Ant5_25,pack_PPO_Ant5_5,pack_PPO_Ant6_500,pack_PPO_Ant6_250,pack_PPO_Ant6_100,pack_PPO_Ant6_50,pack_PPO_Ant6_25,pack_PPO_Ant6_5,pack_PPO_Ant7_500,pack_PPO_Ant7_250,pack_PPO_Ant7_100,pack_PPO_Ant7_50,pack_PPO_Ant7_25,pack_PPO_Ant7_5,pack_PPO_Ant8_500,pack_PPO_Ant8_250,pack_PPO_Ant8_100,pack_PPO_Ant8_50,pack_PPO_Ant8_25,pack_PPO_Ant8_5,pack_PPO_Ant9_500,pack_PPO_Ant9_250,pack_PPO_Ant9_100,pack_PPO_Ant9_50,pack_PPO_Ant9_25,pack_PPO_Ant9_5,pack_PPO_Ant16_500,pack_PPO_Ant16_250,pack_PPO_Ant16_100,pack_PPO_Ant16_50,pack_PPO_Ant16_25,pack_PPO_Ant16_5,pack_PPO_Ant17_500,pack_PPO_Ant17_250,pack_PPO_Ant17_100,pack_PPO_Ant17_50,pack_PPO_Ant17_25,pack_PPO_Ant17_5,pack_PPO_Ant18_500,pack_PPO_Ant18_250,pack_PPO_Ant18_100,pack_PPO_Ant18_50,pack_PPO_Ant18_25,pack_PPO_Ant18_5,pack_PPO_Ant21_500,pack_PPO_Ant21_250,pack_PPO_Ant21_100,pack_PPO_Ant21_50,pack_PPO_Ant21_25,pack_PPO_Ant21_5,pack_PPO_Ant25_500,pack_PPO_Ant25_250,pack_PPO_Ant25_100,pack_PPO_Ant25_50,pack_PPO_Ant25_25,pack_PPO_Ant25_5,pack_PPO_Ant27_500,pack_PPO_Ant27_250,pack_PPO_Ant27_100,pack_PPO_Ant27_50,pack_PPO_Ant27_25,pack_PPO_Ant27_5,pack_PPO_Ant28_500,pack_PPO_Ant28_250,pack_PPO_Ant28_100,pack_PPO_Ant28_50,pack_PPO_Ant28_25,pack_PPO_Ant28_5,pack_PPO_Ant29_500,pack_PPO_Ant29_250,pack_PPO_Ant29_100,pack_PPO_Ant29_50,pack_PPO_Ant29_25,pack_PPO_Ant29_5,pack_PPO_Ant30_500,pack_PPO_Ant30_250,pack_PPO_Ant30_100,pack_PPO_Ant30_50,pack_PPO_Ant30_25,pack_PPO_Ant30_5
0,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,1001.6828265994797,1001.6828265994797,1001.6828265994797,1001.6828265994797,1001.6828265994797,1001.6828265994797,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1001.6782928931424,1001.6782928931424,1001.6782928931424,1001.6782928931424,1001.6782928931424,1001.6782928931424,1003.627375238786,1003.627375238786,1003.627375238786,1003.627375238786,1003.627375238786,1003.627375238786,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,995.126321054484,995.126321054484,995.126321054484,995.126321054484,995.126321054484,995.126321054484,999.9309004530774,999.9309004530774,999.9309004530774,999.9309004530774,999.9309004530774,999.9309004530774,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,1000.924168484311,1000.924168484311,1000.924168484311,1000.924168484311,1000.924168484311,1000.924168484311
1,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,995.2310743721008,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,1000.881166907819,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,1001.6828265994797,1001.6828265994797,1001.6828265994797,1001.6828265994797,1001.6828265994797,994.5714622146816,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,988.5466171640236,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,997.587371065811,1001.6782928931424,1001.6782928931424,1001.6782928931424,1001.6782928931424,1004.0341327395298,1001.6782928931424,1015.376451091924,1015.376451091924,1015.376451091924,1015.376451091924,1015.376451091924,1003.627375238786,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,995.126321054484,997.753747060324,997.753747060324,997.753747060324,997.753747060324,997.753747060324,997.753747060324,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,996.227494423135,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1000.924168484311
2,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,995.2310743721008,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,1000.881166907819,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,999.4791276179952,994.594673364596,994.594673364596,994.594673364596,994.594673364596,994.594673364596,994.594673364596,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,988.5466171640236,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,997.587371065811,1001.6782928931424,1001.6782928931424,1001.6782928931424,1001.6782928931424,1004.0341327395298,1001.6782928931424,1015.376451091924,1015.376451091924,1015.376451091924,1015.376451091924,1015.376451091924,1003.627375238786,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,977.1365305350488,985.491611503702,985.491611503702,985.491611503702,985.491611503702,985.491611503702,985.491611503702,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,996.227494423135,996.227494423135,996.227494423135,996.227494423135,979.9221903718652,1000.924168484311
3,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,995.2310743721008,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,978.5610620014304,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1002.3326950681612,999.4791276179952,999.4791276179952,999.4791276179952,986.302342649589,986.302342649589,999.4791276179952,994.594673364596,994.594673364596,994.594673364596,994.594673364596,994.594673364596,994.594673364596,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,981.043507600057,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,997.587371065811,988.9610631965736,988.9610631965736,988.9610631965736,988.9610631965736,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,1015.376451091924,1015.376451091924,993.3160513901568,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,977.1365305350488,985.491611503702,985.491611503702,985.491611503702,985.491611503702,985.491611503702,985.491611503702,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,994.5327146337972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,1052.8038148592937,996.227494423135,996.227494423135,996.227494423135,996.227494423135,979.9221903718652,1000.924168484311
4,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,995.2310743721008,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,996.1827844984946,978.5610620014304,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1002.3326950681612,958.7111771737189,958.7111771737189,958.7111771737189,958.7111771737189,958.7111771737189,999.4791276179952,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,981.043507600057,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,997.587371065811,988.9610631965736,988.9610631965736,988.9610631965736,989.2146059401748,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,960.615674385578,1015.376451091924,960.615674385578,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,977.1365305350488,985.491611503702,985.491611503702,985.491611503702,986.747757815976,986.747757815976,985.491611503702,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,994.5327146337972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,1052.8038148592937,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
5,998.389720439912,998.389720439912,998.389720439912,998.389720439912,998.389720439912,967.4514708359928,996.1827844984946,996.1827844984946,996.1827844984946,978.7088530505,978.7088530505,978.7088530505,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1002.3326950681612,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,981.043507600057,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,997.587371065811,988.9610631965736,988.9610631965736,988.9610631965736,989.2146059401748,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,1073.448052268804,1073.448052268804,960.615674385578,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,979.0653098946392,985.491611503702,985.491611503702,985.491611503702,986.747757815976,986.747757815976,985.491611503702,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,994.5327146337972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,1052.8038148592937,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
6,998.389720439912,998.389720439912,998.389720439912,998.389720439912,947.3109185457675,967.4514708359928,996.1827844984946,996.1827844984946,996.1827844984946,978.7088530505,978.7088530505,978.7088530505,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1002.3326950681612,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,943.3198645452572,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,981.043507600057,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,962.2081999428788,962.2081999428788,965.111714591682,965.111714591682,965.111714591682,989.2146059401748,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,1073.448052268804,1073.448052268804,960.615674385578,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,979.0653098946392,985.491611503702,985.491611503702,985.491611503702,986.747757815976,986.747757815976,985.491611503702,1000.6362715391144,1000.6362715391144,1000.6362715391144,1000.6362715391144,994.5327146337972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,940.9667775017248,940.9667775017248,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
7,998.389720439912,998.389720439912,998.389720439912,998.389720439912,947.3109185457675,967.4514708359928,996.1827844984946,996.1827844984946,996.1827844984946,978.7088530505,978.7088530505,978.7088530505,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1000.8181594694024,981.5036469720976,981.5036469720976,981.5036469720976,943.3198645452572,943.3198645452572,943.3198645452572,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,947.5947702298122,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,962.2081999428788,962.2081999428788,964.0108293815268,964.0108293815268,965.111714591682,989.2146059401748,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,1073.448052268804,1073.448052268804,960.615674385578,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,979.0653098946392,985.491611503702,985.491611503702,965.0280208271377,965.0280208271377,965.0280208271377,985.491611503702,1000.6362715391144,1000.6362715391144,944.5744373277546,944.5744373277546,944.5744373277546,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,940.9667775017248,940.9667775017248,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
8,998.389720439912,998.389720439912,998.389720439912,998.389720439912,947.3109185457675,967.4514708359928,996.1827844984946,996.1827844984946,996.1827844984946,978.7088530505,978.7088530505,969.2332565897666,1002.3326950681612,1002.3326950681612,1002.3326950681612,1002.3326950681612,975.2095161706288,1000.8181594694024,926.7074997581224,926.7074997581224,926.7074997581224,926.7074997581224,943.3198645452572,943.3198645452572,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,915.8286704721646,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,947.5947702298122,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,918.318120484096,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,962.2081999428788,962.2081999428788,690.9037499062758,690.9037499062758,690.9037499062758,690.9037499062758,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,1073.448052268804,888.1859598080418,960.615674385578,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,979.0653098946392,985.491611503702,985.491611503702,927.4810128507272,965.0280208271377,965.0280208271377,985.491611503702,943.1215441959972,943.1215441959972,943.1215441959972,944.5744373277546,943.1215441959972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,940.9667775017248,940.9667775017248,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
9,998.389720439912,998.389720439912,998.389720439912,998.389720439912,947.3109185457675,967.4514708359928,996.1827844984946,996.1827844984946,996.1827844984946,978.7088530505,978.7088530505,969.2332565897666,1002.3326950681612,1002.3326950681612,1002.3326950681612,926.6565934008014,926.6565934008014,1000.8181594694024,891.270081885407,891.270081885407,891.270081885407,891.270081885407,943.3198645452572,943.3198645452572,994.594673364596,994.594673364596,973.4386302570272,994.594673364596,994.594673364596,973.4386302570272,997.7332282089856,997.7332282089856,997.7332282089856,997.7332282089856,915.8286704721646,1004.3265968038788,999.6542572206772,999.6542572206772,999.6542572206772,999.6542572206772,981.043507600057,947.5947702298122,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,996.3903214938738,908.3067664826168,1004.9552397673676,1004.9552397673676,1004.9552397673676,1004.9552397673676,962.2081999428788,962.2081999428788,690.9037499062758,690.9037499062758,690.9037499062758,690.9037499062758,988.9610631965736,1001.6782928931424,1015.376451091924,1015.376451091924,993.3160513901568,869.8572357991923,888.1859598080418,869.8572357991923,999.01823078542,999.01823078542,999.01823078542,999.01823078542,1019.497877879516,999.01823078542,1001.7260165248116,1001.7260165248116,1001.7260165248116,957.0207739187656,957.0207739187656,1001.7260165248116,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,998.9280233853044,979.0653098946392,985.491611503702,985.491611503702,927.4810128507272,965.0280208271377,965.0280208271377,985.491611503702,934.76254560486,934.76254560486,943.1215441959972,944.5744373277546,943.1215441959972,998.474379578652,997.2401362797232,997.2401362797232,997.2401362797232,997.2401362797232,940.9667775017248,940.9667775017248,996.227494423135,996.227494423135,996.227494423135,996.227494423135,1018.219855113935,1018.219855113935
