n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
0,-91.990558762,-91.900427646,-92.000417254,-91.754107968,-92.033578786,-91.912905142,-92.085521568,-99.791115496,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-91.941705944,-92.045672984,-91.980272306,-92.05999627,-91.938232204,-91.991310538,-91.88516749,-91.97121765,-91.980688504,-91.95991609,-91.944038756,-92.02691208,-91.999157316,-91.801675948,-91.959862776,-91.951119634
1,1.490089756,-91.900427646,-91.991327304,-8.473888675999998,-92.033578786,-91.912905142,-92.085521568,-92.813150872,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-73.510767152,-92.045672984,-91.980272306,-92.05999627,-91.938232204,-6.866985025999999,-91.88516749,-91.97121765,-91.980688504,-91.95991609,0.6037783900000001,-92.02691208,-91.96958576,-91.801675948,-91.85059838799998,-91.951119634
2,1.490089756,-91.900427646,-18.606664978,-8.473888675999998,-56.91788482,-91.912905142,-92.085521568,-0.387710856,-91.956898108,-87.091633174,-91.890224916,-91.99535203,-47.962836280000005,-92.032586214,-73.510767152,-92.045672984,-91.980272306,-91.969923212,-91.938232204,-6.866985025999999,-91.88516749,-91.97121765,-91.980688504,-91.95991609,0.6037783900000001,-92.02691208,-91.96958576,-91.801675948,-91.85059838799998,-91.951119634
3,1.490089756,-89.758320824,-18.606664978,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-91.956898108,-45.918804168,-91.890224916,-14.572529048,-3.35578008,-12.43487075,-19.18293071,-92.045672984,-91.980272306,-91.969923212,-91.938232204,-6.866985025999999,-91.88516749,-91.97121765,-91.980688504,-91.95991609,0.6037783900000001,-92.02691208,-91.96958576,-82.740101632,-91.85059838799998,-91.951119634
4,1.490089756,-89.758320824,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-91.956898108,-18.476181132,-23.141336086000003,-14.572529048,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-11.841835572,-25.022942638,-91.938232204,-6.866985025999999,-90.994054162,-91.97121765,-91.980688504,-91.95991609,0.6037783900000001,-92.02691208,-91.96958576,-82.740101632,-91.85059838799998,-91.951119634
5,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-11.841835572,-25.022942638,-91.938232204,-6.866985025999999,-90.994054162,-91.97121765,-68.30274475399999,-91.95991609,0.6037783900000001,-33.31022602,-91.96958576,-82.740101632,-48.41574507999999,-91.951119634
6,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-92.045672984,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-43.334004938,-91.97121765,-42.257692574,-91.95991609,0.6037783900000001,-33.31022602,-40.969950196000006,-63.24979927,-48.41574507999999,-91.951119634
7,1.490089756,-31.672562258,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-90.449349428,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-67.224709684,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-43.334004938,-91.97121765,-42.257692574,-81.096394092,0.6037783900000001,-33.31022602,-39.587636126,-43.196197340000005,-48.41574507999999,-91.951119634
8,1.490089756,-31.546961546,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-31.952999234,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-43.334004938,-91.97121765,-42.257692574,-81.096394092,0.6037783900000001,-33.31022602,-39.587636126,-38.88865802,-48.41574507999999,-91.951119634
9,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-25.377292912,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-33.104626208,-70.29696377,-42.257692574,-81.096394092,0.6037783900000001,-33.31022602,-39.587636126,-38.722685824,-48.41574507999999,-91.951119634
10,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,-12.34997472,-25.377292912,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-33.104626208,-70.29696377,-42.257692574,-41.676892924,0.6037783900000001,-33.31022602,-24.008852866,-31.096792324000003,-48.41574507999999,-91.951119634
11,1.490089756,-30.678711084000003,-13.763412906,-8.473888675999998,-56.91788482,-15.675606104,-21.904956286,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,-7.73770426,-3.35578008,-12.43487075,40.793240402,-25.377292912,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-33.104626208,-70.29696377,-42.257692574,-41.676892924,0.6037783900000001,-33.31022602,-24.008852866,-31.096792324000003,-48.41574507999999,-91.951119634
12,59.897271662,-6.994889359999999,-13.763412906,-8.473888675999998,-56.91788482,16.794186011999997,88.187363452,-0.387710856,-46.841798292,-18.476181132,-23.141336086000003,18.058055192,-3.35578008,43.42609454400001,76.670180284,-25.377292912,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,-25.401430262,-45.725097624,-33.45469232800001,-40.91536197,112.514347018,-33.31022602,-24.008852866,-25.203157324,-48.41574507999999,-47.303153192
13,59.897271662,22.766969126,34.621236636,-8.473888675999998,-56.91788482,96.299204482,88.187363452,41.049607432,-46.841798292,-18.476181132,-23.141336086000003,59.85650642800001,56.312305184,94.622568846,76.670180284,-22.590412734,-11.841835572,-25.022942638,-33.726537914,-6.866985025999999,46.746083592,-45.725097624,-19.124738546,-34.667405088,112.514347018,-33.31022602,-24.008852866,-23.86033981,-48.41574507999999,-37.194422626
14,59.897271662,95.157477434,151.992993842,-8.473888675999998,-56.91788482,128.429899746,128.67710111000002,86.86412402399999,-46.113654686,-18.476181132,-23.141336086000003,97.577184584,56.312305184,113.959638826,76.670180284,3.6042623040000006,125.7656072,-25.022942638,-33.726537914,-6.866985025999999,46.746083592,-45.725097624,103.628864818,-34.667405088,112.514347018,-33.31022602,-24.008852866,38.374837512,-28.288737012,-37.194422626
15,59.897271662,95.157477434,151.992993842,-8.473888675999998,-52.86604656,141.816549404,128.67710111000002,100.287570398,-46.113654686,-18.476181132,-23.141336086000003,109.988541654,105.610059748,113.959638826,138.185005452,3.6042623040000006,125.7656072,119.055350466,-33.726537914,-6.866985025999999,46.746083592,-29.119177034,119.887021916,-32.222101178,128.158647842,-33.31022602,-24.008852866,103.71629939,-28.288737012,-37.194422626
16,128.57660366800002,96.106976436,195.25731412,-8.473888675999998,-46.05468343,141.816549404,128.67710111000002,114.699859084,-46.113654686,-18.476181132,-23.141336086000003,158.966040836,119.175391024,123.11294068,138.185005452,3.6042623040000006,125.7656072,119.055350466,-33.726537914,-6.866985025999999,46.746083592,-14.68897905,135.903866668,-32.222101178,144.347360244,-33.31022602,74.059031184,117.60493206,-28.288737012,-22.649592084
17,157.43583417000002,96.106976436,195.25731412,-8.473888675999998,-46.05468343,141.816549404,143.88032988999998,119.072134256,-40.220549798,-18.476181132,-23.141336086000003,189.15846708,139.566074818,123.11294068,153.1714048,3.6042623040000006,125.7656072,119.055350466,14.589265026,-6.866985025999999,84.944726628,22.46722885,135.903866668,-32.222101178,144.347360244,-33.31022602,136.026193882,117.60493206,-28.288737012,-22.649592084
18,157.43583417000002,103.951326106,195.25731412,58.873770834,-46.05468343,141.816549404,143.88032988999998,119.072134256,-37.309082262,-18.476181132,69.01908108999999,210.817626688,140.61912845999998,134.053074332,160.08113458800003,3.6042623040000006,142.994633954,119.055350466,61.398095868,-6.866985025999999,98.61925653,62.11156629800001,135.903866668,-32.222101178,144.347360244,-33.31022602,136.026193882,117.60493206,-28.288737012,-22.649592084
19,157.43583417000002,103.951326106,209.785572602,137.762885804,-46.05468343,141.816549404,173.84921302800004,119.072134256,-24.115908532,-1.0657762760000002,160.81590025,210.817626688,140.61912845999998,139.686449358,160.08113458800003,148.03363755799998,158.582717618,119.055350466,110.13098127,-6.866985025999999,109.144296832,72.26165758999998,160.626025972,-32.222101178,144.347360244,130.665111424,160.434835082,117.60493206,92.218455014,-22.649592084
