n_policy,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker23_100
0,-111.20492732789424,-111.52935657453578,-111.68906902602453,-110.74363479504696,-113.87719258181168,-110.04789402364491,-110.87574015664023,-110.47025178719632,-111.8075103971269,-112.71637397431596,-111.25929230958651,-112.01904691414238,-109.40838772703806,-111.43756171700544,-112.58686214714864,-112.30204940692842,-112.40178963370025,-113.46075588482184,-111.41586320814037,-112.57925953008584
1,-110.81688164123187,-111.1907756468693,-111.7522077735144,-111.76558071362102,-113.13950442452682,-111.08177112729112,-111.22774316206342,-110.30243877038912,-111.55232888598928,-111.66173037777946,-111.46064483835188,-113.29595391768612,-111.92618180792866,-112.38199432807188,-114.89551136030816,-111.29246177141177,-113.45066961390576,-111.44617380405153,-113.24647768488546,-110.5102379863648
2,-113.4965171192732,-108.38821431420467,-112.67247046346996,-110.61708931579138,-109.36445472703475,-108.353778318915,-108.79139202144346,-109.59563558141905,-109.89710951218557,-110.53848807856644,-110.32182094955355,-112.37208482352638,-110.04749921668495,-113.35612066159928,-109.7793784578648,-107.45687692733634,-110.3459810731998,-107.11645899260007,-111.35323558026415,-108.7040652545914
3,-110.84974181980768,-108.01634770260688,-112.67097520062975,-108.7455044909312,-107.44454931739268,-106.50934195969197,-107.0226599560042,-109.9357623950491,-110.2613929226974,-110.51985458023496,-108.8229087976084,-108.99762799541656,-109.30964472724358,-107.7755876819168,-107.6826998013482,-107.3760206652333,-109.39407663344429,-107.77338295397756,-109.50251636502055,-110.11847115591168
4,-107.80376107731996,-104.94837563964133,-106.5111537435216,-104.29983138051146,-105.00016420503904,-101.26374909536622,-105.2538506492757,-107.88399704835696,-107.85971292941692,-108.06440596708998,-108.21014643064416,-108.4503611219788,-106.75172649496828,-104.58799440325004,-104.1456914532221,-106.79789058768291,-106.00918865820452,-105.11333752456063,-105.71139178659912,-106.39603155233608
5,-100.80452311015485,-102.27051099633756,-104.79705552870072,-100.7092582120982,-102.50128091118502,-98.29664854962584,-100.98075899227275,-102.9036589102773,-104.50799032346607,-106.5764739384994,-104.92574197202194,-105.60352303747902,-102.3612259191242,-99.98683889742038,-98.19887804646744,-106.84190622437325,-102.99354702596756,-103.12343207422498,-103.6336071405842,-103.62322420766576
6,-95.88047246758548,-101.14011104013088,-101.54616235569848,-99.22545102750593,-101.15958872613176,-94.9776291411568,-99.6661332845474,-99.87717671541948,-102.66351865460224,-103.58749578136762,-104.31186151258213,-103.3182437042307,-97.9064437930684,-96.87199219862812,-92.76200604046971,-102.9449761843656,-99.50160513739073,-101.10996063428232,-99.38360246258016,-97.88810262145124
7,-90.40940440642196,-98.54835525612768,-98.0149339930946,-97.4514528305194,-98.9660462442573,-93.68033542556512,-95.34474374641832,-95.06011329535175,-98.9128039170822,-99.53285949886472,-101.78822795972351,-97.73967001485572,-94.94010323433886,-92.91726854462016,-88.0457812074016,-97.238056465946,-95.80475522687426,-98.87432722396522,-94.01650460062976,-95.40142370845336
8,-84.11422517678483,-93.11787236589068,-93.67489983228124,-92.5187520768822,-93.9683542681305,-87.1809268421003,-89.68611221120722,-89.03069064068448,-95.02500483575923,-95.92679055071844,-98.23915927512262,-92.2997453659161,-89.64605100144614,-91.52839668311964,-84.44384320511017,-94.39425107437091,-91.65949577895836,-96.89384059143194,-96.11107655852304,-89.80917839595553
9,-78.15740097848683,-89.99676098440196,-87.08970627967182,-93.17266933083413,-91.42916275972324,-86.15477447351935,-82.10796517955896,-86.56327864701554,-93.09345524216684,-89.22527721074759,-93.84498324131826,-85.70511859310092,-83.1824464142829,-83.3643108213594,-80.4997316791206,-92.39190710216236,-88.68530362285702,-91.96531088525256,-91.6500902755376,-86.60052894772234
10,-69.33373117038457,-88.29903751547914,-82.1896563745568,-86.67713733368845,-91.58183853040288,-80.11000793504019,-72.5753932852979,-87.75576353836455,-89.81125615746416,-89.17776154235878,-91.94629203987482,-81.370047128945,-79.13722136730067,-83.71578924377755,-76.3591388168148,-84.19839337067643,-88.84762100490771,-90.20847922891087,-91.65413440528728,-79.58867589667585
11,-59.05614946742382,-82.26022125446238,-75.48169897513421,-87.09444574085181,-87.44316384654347,-74.61238604818841,-66.80786589097224,-81.60756789302773,-89.88545517379262,-87.7578486579028,-90.2906011559628,-73.35614412988856,-74.71735343145468,-79.4553777268462,-72.27045489868993,-79.84070183706797,-86.75728487756074,-86.6163844866569,-88.55778456587898,-76.88667341485066
12,-51.98055132151581,-79.02873411635315,-66.93905906811037,-79.99233974220057,-87.69303738915085,-71.09568478384172,-58.92411695990559,-70.69364197071744,-88.35095559926016,-84.77750074681374,-90.11209091459466,-67.9614501499178,-67.97096614702765,-69.99871934009192,-63.20902859126291,-75.92911467744663,-83.00676813609614,-88.56019752279332,-88.10700383734125,-75.04472442899336
13,-46.43267832746759,-70.70847110239323,-61.488062904891706,-76.75306991634687,-78.0894604488033,-73.83245047964301,-48.79855586081329,-62.66458704775563,-82.5215499493711,-79.41132546114561,-86.58651636253443,-62.34990475005165,-59.33127246445045,-59.85289751853794,-48.12229616260797,-70.33774337690309,-78.6743363352237,-82.14525781201911,-85.17980395007369,-65.19684530178827
14,-34.021921051674,-58.25063043429895,-55.28769123439066,-77.1900156873875,-77.41283646935277,-65.66877109278096,-38.26956401257739,-57.75649612082227,-80.50868419764883,-74.1428126422665,-84.76635510914275,-51.31909413723319,-51.78827506417584,-53.984632539676674,-41.00695365321459,-60.390339631390674,-75.32246570189716,-79.8229437010445,-85.6097173899447,-57.38985833905128
15,-18.46655824815243,-51.013943722675904,-48.47827515683414,-71.3035174341366,-77.67453391245071,-59.85774873927425,-24.939048356070344,-51.75026667213242,-78.21559027576848,-74.41779361506313,-84.97329789747164,-39.12034837198778,-47.59401305656342,-50.87501320214418,-35.75534869365685,-54.42655842066008,-67.88906196704528,-78.5446802874389,-79.59656371494755,-51.39834520747696
16,-3.012436280047841,-41.91672163375304,-30.52719522678409,-64.25881777138623,-74.0062280394914,-56.51322117701573,-8.624203755218186,-39.04098808402981,-77.83338688261865,-67.4300023067338,-80.91786497572313,-38.40594315161324,-30.35396976625867,-45.26160355358697,-14.698242454056308,-53.78781162364277,-54.65772231296185,-70.36888759482376,-76.47213492239753,-37.21036333907709
17,10.57798378320309,-30.61420938055205,-17.760698985998168,-60.15371966700361,-65.61921394482516,-54.38597111932712,10.561260713039664,-27.418370988747338,-71.0605600204441,-62.61457348756783,-76.33846198829451,-31.568029003923584,-11.961595077094971,-25.733448098040025,-0.3904670407308731,-47.60559262342184,-51.674156085096186,-66.45508650061267,-73.62979229069242,-19.223513854970296
