n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker17_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker21_relative_perc_criteria_best,pack_PPO_BipedalWalker22_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best,pack_PPO_BipedalWalker24_relative_perc_criteria_best,pack_PPO_BipedalWalker25_relative_perc_criteria_best,pack_PPO_BipedalWalker26_relative_perc_criteria_best,pack_PPO_BipedalWalker27_relative_perc_criteria_best,pack_PPO_BipedalWalker28_relative_perc_criteria_best,pack_PPO_BipedalWalker29_relative_perc_criteria_best,pack_PPO_BipedalWalker30_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8769434372742398,0.3345683875131758,1.0,1.0,1.0,0.7756203106329501,0.2758676322905837,1.0,1.0,1.0,1.0,0.9961116686655233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4249690959833064,1.0,1.0,0.9237604508286886,0.0748197658045964,1.0,0.3918962980052148,1.0,0.976657844664642
3,0.8817676358345778,1.0,0.987780033065658,0.0245268323758558,1.0,1.0,1.0,0.9579479922328744,1.0,1.0,0.9231629686237068,1.0,1.0,1.0,1.0,0.0248736229861025,1.0,1.0,0.3559566127761976,0.2141376091838956,0.6383735927445563,0.9434022232016328,0.6062911080075709,1.0,0.8190240811668468,1.0,0.9627421798773566,1.0,1.0,0.4649098706164009
4,0.7882277018415411,0.7189166185923046,1.0,0.1105674234548479,1.0,0.9034322221859018,0.6072193003279436,0.8523490285754864,1.0,1.0,1.0,0.0281763688943333,0.9077627740598436,0.9430410125771034,1.0,0.9614956046848372,1.0,1.0,0.2038329923313305,0.8989662139635771,1.0,0.9338429250735648,1.0,0.6754938946255769,0.6553750851013075,0.5530106771639874,0.5800040257085505,0.2277549466382437,1.0,0.9450720274257356
5,0.7517021447542629,1.0,0.8566550614576708,0.1579468808823,1.0,0.8450501837023298,0.7792778576773343,0.6752243816505156,1.0,0.993816285413101,0.2598578421705937,1.0,0.8130188060627562,0.8943717561273101,0.8810097686489801,0.5745019178974836,0.9778363182723796,0.8799983995907024,1.0,0.8420076018677078,0.8406822458830095,0.8093556547499209,1.0,1.0,0.7220530006729414,1.0,0.8195433196147208,1.0,1.0,0.4384229579011053
6,0.6793248404323184,0.8997189167264789,0.7456718574308673,0.721564711209675,1.0,0.0896141261457419,0.8078516455174449,0.7185973566065976,1.0,0.5794010496758146,0.1996449746631525,0.8622817542832184,0.7491848613350384,0.8162862370339504,0.755719332316817,0.9324274634416142,0.8834364756214874,0.7757709038697751,1.0,0.1940959864712123,1.0,0.8600696025487994,1.0,1.0,0.7115195940939172,1.0,1.0,1.0,0.2090238547080679,0.8703144485052507
7,0.6748333597177923,0.978929891240116,0.7456070832227769,0.7019894594626024,0.0626162623773362,0.6931740769455622,0.5199920821208679,0.6527201406126807,0.5152067937918061,1.0,0.0931120797490516,0.9046049191902972,0.6865578844091443,0.8346258434793669,0.8222876633831329,1.0,0.7727324535690717,0.0354623536169929,0.0274286174940069,0.6663149809120255,0.9403533298347434,0.8775652106179147,0.9435322853181471,1.0,0.6826875008227112,0.1248023491213082,1.0,1.0,0.4548899615392933,0.8776275743188066
8,0.6735023853827561,1.0,0.6418109865588638,0.6816643745453151,1.0,0.7658839092793148,0.6671512846841239,0.7346490860194745,1.0,0.0621213599731079,0.1957732875220261,0.8411173065640587,0.7419568699619921,1.0,0.8460794784949831,1.0,0.573054841899657,0.4705171991129939,0.0282139124452065,0.1655763051921823,0.9521023557958422,0.8351533242900403,0.9332028516606744,0.0213953630662781,0.7095376982950067,0.7857647603651414,0.9858538514072908,1.0,0.0797130520779743,0.8452135080456367
9,0.6461492636988854,1.0,0.6218898477960931,0.8294799553140723,0.0880514015401307,0.3233103774262165,0.8155087849639913,0.6740122710549444,0.7020349727681615,0.2918693613899664,0.177282414967071,0.7260638036830743,0.7425613788618811,0.78136495353404,0.718287836309246,1.0,0.7181610055832149,0.1020725463029509,1.0,0.2024399715391683,1.0,1.0,0.1958464807223073,0.4817410377490497,0.6832425458533137,0.8418681019233814,0.8589218318222948,1.0,1.0,0.8369200882127232
