n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
0,-91.990558762,-91.900427646,-92.000417254,-91.754107968,-92.033578786,-91.912905142,-92.085521568,-99.791115496,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-91.941705944,-92.045672984,-91.980272306,-92.05999627,-91.938232204,-91.991310538,-91.88516749,-91.97121765,-91.980688504,-91.95991609,-91.944038756,-92.02691208,-91.999157316,-91.801675948,-91.959862776,-91.951119634
1,1.490089756,-111.936073912,-91.991327304,-8.473888675999998,-92.8046612,-111.735456936,-100.236154534,-92.813150872,-91.957374406,-93.03960891,-111.275797088,-111.910594158,-111.731497976,-112.13912263000002,-73.510767152,-92.31425704999998,-92.246441094,-93.180539526,-92.495833618,-6.866985025999999,-112.208042158,-111.867697648,-92.56530758,-92.30964059,0.6037783900000001,-92.180767734,-91.96958576,-92.36838242399998,-91.85059838799998,-111.899899912
2,-10.013317532,-105.232780048,-18.606664978,-111.743697316,-56.91788482,-96.36068315599998,-97.987658716,-0.387710856,-92.127473536,-87.091633174,-111.633089038,-92.07278909,-47.962836280000005,-112.878419606,-93.055611048,-116.048039842,-92.534297986,-91.969923212,-93.939043512,-115.253386324,-112.406808308,-103.41230853,-92.65072189,-93.018765322,-6.452025466,-92.16925629,-109.233140522,-92.146292254,-93.14571521,-92.416767162
3,-9.562348322,-89.758320824,-19.503534204,-109.21081603,-99.62252927,-15.675606104,-21.904956286,-4.5678236,-92.281934762,-45.918804168,-93.407207986,-14.572529048,-3.35578008,-12.43487075,-19.18293071,-115.45101401799998,-92.872823116,-101.296331066,-93.226841496,-92.043781482,-99.30633473,-93.09731418399998,-92.244486606,-94.235156074,-16.145147853999998,-94.833640912,-92.612788178,-82.740101632,-93.448665748,-102.625515054
4,-18.306522014,-95.992118654,-13.763412906,-100.325420654,-100.511414028,-24.951892436,-52.67193914,-15.064720114,-92.774495068,-18.476181132,-23.141336086000003,-109.167960928,-13.352055658,-18.156033586,-12.34997472,-92.969869606,-11.841835572,-25.022942638,-93.531212156,-17.817673504,-90.994054162,-93.287510568,-104.96984287,-92.698245356,-31.290505218,-93.2814899,-99.22020926199998,-90.175493846,-94.898181286,-93.04686569
5,-21.720954778,-31.672562258,-24.978291486,-95.432553152,-100.928537286,-30.560062344,-39.194386174,-32.671513064,-90.449349428,-18.937260088,-88.637813066,-7.73770426,-23.620001206,-23.044546424,-21.953157058,-102.258634048,-13.637780589999998,-34.175871318000006,-95.801812848,-23.991212492,-94.405486062,-95.764369052,-68.30274475399999,-100.130014992,-25.11960968,-33.31022602,-95.084909544,-105.708764838,-48.41574507999999,-103.153896656
6,-28.486832124,-39.721474154,-33.661284902,-37.227847668,-104.436030858,-103.127137346,-36.956167134000005,-28.360091684,-95.925725194,-49.837480588000005,-93.966155262,-22.084211908,-30.538050792000003,-30.887733076,-32.064801448,-93.667573796,-21.287093064,-42.12565558399999,-33.726537914,-94.216020844,-43.334004938,-94.755340004,-42.257692574,-102.945411496,-26.094453466,-103.612980766,-40.969950196000006,-63.24979927,-85.18224329400002,-94.538188206
7,-28.906698654,-33.363723178,-33.666352642,-39.24938017,-101.460622158,-45.149258504,-59.504551662,-34.90851124200001,-93.104259194,-104.818214602,-103.39343788,-17.675285510000002,-37.325294376,-29.04563792,-26.69236193,-67.224709684,-30.257549296,-98.591497194,-94.099173876,-43.033903412,-47.453967658,-94.407238988,-45.798904384,-81.096394092,-28.762800762,-94.839031824,-39.587636126,-43.196197340000005,-73.753787668,-94.392300266
8,-29.031118998,-31.546961546,-41.787048308,-41.348347800000006,-110.76453597,-38.164762856,-47.977394992,-26.76449513,-46.841798292,-99.45453006,-94.308767644,-24.28897359,-31.321389546,-120.999841516,-24.772228352000003,-31.952999234,-46.43762336,-65.408389976,-94.050426476,-97.307166464,-46.642429498,-95.251086236,-46.44668538,-102.477943836,-26.277873596,-48.37155353000001,-40.57285178,-38.88865802,-91.192924428,-95.038921352
9,-31.588106552,-30.678711084000003,-43.345618528,-26.08346106,-106.023262868,-80.67831030800002,-36.356374226,-32.792000984,-61.467091908,-79.617620432,-95.94505737,-36.27442947800001,-31.25587546,-36.170978178,-35.08573415200001,-25.377292912,-34.679527618,-93.510912094,-97.99233501,-93.31164633,-33.104626208,-70.29696377,-92.687888936,-92.419843178,-28.711432556,-44.42733406799999,-49.41309630799999,-38.722685824,-101.69837234,-95.204364962
