n_policy,pack_PPO_BipedalWalker1_500,pack_PPO_BipedalWalker1_250,pack_PPO_BipedalWalker1_100,pack_PPO_BipedalWalker1_50,pack_PPO_BipedalWalker1_25,pack_PPO_BipedalWalker1_5,pack_PPO_BipedalWalker2_500,pack_PPO_BipedalWalker2_250,pack_PPO_BipedalWalker2_100,pack_PPO_BipedalWalker2_50,pack_PPO_BipedalWalker2_25,pack_PPO_BipedalWalker2_5,pack_PPO_BipedalWalker3_500,pack_PPO_BipedalWalker3_250,pack_PPO_BipedalWalker3_100,pack_PPO_BipedalWalker3_50,pack_PPO_BipedalWalker3_25,pack_PPO_BipedalWalker3_5,pack_PPO_BipedalWalker4_500,pack_PPO_BipedalWalker4_250,pack_PPO_BipedalWalker4_100,pack_PPO_BipedalWalker4_50,pack_PPO_BipedalWalker4_25,pack_PPO_BipedalWalker4_5,pack_PPO_BipedalWalker5_500,pack_PPO_BipedalWalker5_250,pack_PPO_BipedalWalker5_100,pack_PPO_BipedalWalker5_50,pack_PPO_BipedalWalker5_25,pack_PPO_BipedalWalker5_5,pack_PPO_BipedalWalker6_500,pack_PPO_BipedalWalker6_250,pack_PPO_BipedalWalker6_100,pack_PPO_BipedalWalker6_50,pack_PPO_BipedalWalker6_25,pack_PPO_BipedalWalker6_5,pack_PPO_BipedalWalker7_500,pack_PPO_BipedalWalker7_250,pack_PPO_BipedalWalker7_100,pack_PPO_BipedalWalker7_50,pack_PPO_BipedalWalker7_25,pack_PPO_BipedalWalker7_5,pack_PPO_BipedalWalker8_500,pack_PPO_BipedalWalker8_250,pack_PPO_BipedalWalker8_100,pack_PPO_BipedalWalker8_50,pack_PPO_BipedalWalker8_25,pack_PPO_BipedalWalker8_5,pack_PPO_BipedalWalker9_500,pack_PPO_BipedalWalker9_250,pack_PPO_BipedalWalker9_100,pack_PPO_BipedalWalker9_50,pack_PPO_BipedalWalker9_25,pack_PPO_BipedalWalker9_5,pack_PPO_BipedalWalker10_500,pack_PPO_BipedalWalker10_250,pack_PPO_BipedalWalker10_100,pack_PPO_BipedalWalker10_50,pack_PPO_BipedalWalker10_25,pack_PPO_BipedalWalker10_5,pack_PPO_BipedalWalker11_500,pack_PPO_BipedalWalker11_250,pack_PPO_BipedalWalker11_100,pack_PPO_BipedalWalker11_50,pack_PPO_BipedalWalker11_25,pack_PPO_BipedalWalker11_5,pack_PPO_BipedalWalker12_500,pack_PPO_BipedalWalker12_250,pack_PPO_BipedalWalker12_100,pack_PPO_BipedalWalker12_50,pack_PPO_BipedalWalker12_25,pack_PPO_BipedalWalker12_5,pack_PPO_BipedalWalker13_500,pack_PPO_BipedalWalker13_250,pack_PPO_BipedalWalker13_100,pack_PPO_BipedalWalker13_50,pack_PPO_BipedalWalker13_25,pack_PPO_BipedalWalker13_5,pack_PPO_BipedalWalker14_500,pack_PPO_BipedalWalker14_250,pack_PPO_BipedalWalker14_100,pack_PPO_BipedalWalker14_50,pack_PPO_BipedalWalker14_25,pack_PPO_BipedalWalker14_5,pack_PPO_BipedalWalker15_500,pack_PPO_BipedalWalker15_250,pack_PPO_BipedalWalker15_100,pack_PPO_BipedalWalker15_50,pack_PPO_BipedalWalker15_25,pack_PPO_BipedalWalker15_5,pack_PPO_BipedalWalker16_500,pack_PPO_BipedalWalker16_250,pack_PPO_BipedalWalker16_100,pack_PPO_BipedalWalker16_50,pack_PPO_BipedalWalker16_25,pack_PPO_BipedalWalker16_5,pack_PPO_BipedalWalker18_500,pack_PPO_BipedalWalker18_250,pack_PPO_BipedalWalker18_100,pack_PPO_BipedalWalker18_50,pack_PPO_BipedalWalker18_25,pack_PPO_BipedalWalker18_5,pack_PPO_BipedalWalker19_500,pack_PPO_BipedalWalker19_250,pack_PPO_BipedalWalker19_100,pack_PPO_BipedalWalker19_50,pack_PPO_BipedalWalker19_25,pack_PPO_BipedalWalker19_5,pack_PPO_BipedalWalker20_500,pack_PPO_BipedalWalker20_250,pack_PPO_BipedalWalker20_100,pack_PPO_BipedalWalker20_50,pack_PPO_BipedalWalker20_25,pack_PPO_BipedalWalker20_5,pack_PPO_BipedalWalker23_500,pack_PPO_BipedalWalker23_250,pack_PPO_BipedalWalker23_100,pack_PPO_BipedalWalker23_50,pack_PPO_BipedalWalker23_25,pack_PPO_BipedalWalker23_5
0,-110.61279600928574,-110.61279600928574,-111.20492732789424,-109.0049694743706,-107.9891715600388,-105.89839408126429,-111.17891703939002,-111.17891703939002,-111.52935657453578,-109.96354296156149,-110.58974554568996,-113.33728448047768,-110.3340383716226,-110.3340383716226,-111.68906902602453,-109.50830142836551,-108.28658707928844,-109.46258535832166,-110.33032060036078,-110.33032060036078,-110.74363479504696,-107.76317670195132,-108.68814967825544,-105.22554571256042,-112.40128799106712,-112.40128799106712,-113.87719258181168,-111.36411389427724,-112.6353007910261,-112.43958331961184,-109.9818539478554,-109.9818539478554,-110.04789402364491,-110.2353936356178,-111.89465291483792,-117.39243044063916,-110.649840793282,-110.649840793282,-110.87574015664023,-110.56509505107242,-111.74209685168462,-110.26640364110936,-110.32580422437005,-110.32580422437005,-110.47025178719632,-111.0649469480262,-110.1907534789364,-110.58085535698338,-111.17045102307944,-111.17045102307944,-111.8075103971269,-109.82488584411448,-109.00082576046,-104.11560149099678,-111.06663799011926,-111.06663799011926,-112.71637397431596,-111.04039980081032,-113.38776031636182,-112.89889572537504,-110.82431273276477,-110.82431273276477,-111.25929230958651,-108.89967814587988,-108.24129751231057,-107.015546462941,-111.2503793768361,-111.2503793768361,-112.01904691414238,-110.73757698078116,-111.0136135488248,-118.0808818942227,-109.50367516490334,-109.50367516490334,-109.40838772703806,-108.85402756384924,-107.96774384340038,-110.46558110413608,-110.87129515175566,-110.87129515175566,-111.43756171700544,-110.7981164479826,-111.52951711267698,-109.57527068243364,-111.900420897328,-111.900420897328,-112.58686214714864,-110.7589446591714,-110.30876691762823,-106.06034591149071,-110.74025819933672,-110.74025819933672,-112.30204940692842,-108.60763798634989,-109.5543558091158,-110.62112556286156,-111.43342059243447,-111.43342059243447,-112.40178963370025,-110.58457995991544,-111.67149969297289,-107.7116343348287,-112.24827753819272,-112.24827753819272,-113.46075588482184,-112.19151377069444,-113.57027095825411,-110.4526990548242,-110.08885042523448,-110.08885042523448,-111.41586320814037,-108.13473561059216,-107.57220349679702,-107.35269981091842,-111.98678891762437,-111.98678891762437,-112.57925953008584,-108.94568282703288,-109.67341744197998,-105.74274008581416
1,-110.61279600928574,-110.61279600928574,-110.81688164123187,-109.0049694743706,-107.9891715600388,-105.89839408126429,-111.16670196302088,-111.16670196302088,-111.1907756468693,-109.96354296156149,-110.16825697238556,-105.06921480763704,-110.3340383716226,-110.3340383716226,-111.68906902602453,-109.50830142836551,-108.28658707928844,-108.66266147000717,-110.33032060036078,-110.33032060036078,-110.74363479504696,-107.76317670195132,-108.68814967825544,-105.22554571256042,-112.40128799106712,-112.40128799106712,-113.13950442452682,-111.36411389427724,-112.6353007910261,-112.43958331961184,-109.9818539478554,-109.9818539478554,-110.04789402364491,-110.2353936356178,-110.4862894322956,-109.09791929116471,-110.649840793282,-110.649840793282,-110.87574015664023,-109.42085847041976,-109.85254290203214,-109.45204502644484,-110.32580422437005,-110.32580422437005,-110.30243877038912,-109.76950737612962,-109.74366076758363,-110.31874910313635,-111.17045102307944,-111.17045102307944,-111.55232888598928,-109.82488584411448,-109.00082576046,-104.11560149099678,-110.93647935102612,-111.06663799011926,-111.66173037777946,-111.04039980081032,-109.19002835802732,-112.89889572537504,-110.82431273276477,-110.82431273276477,-111.25929230958651,-108.89967814587988,-108.24129751231057,-107.015546462941,-111.2503793768361,-111.2503793768361,-112.01904691414238,-110.73757698078116,-111.0136135488248,-114.56552956413944,-109.50367516490334,-109.50367516490334,-109.40838772703806,-108.85402756384924,-107.96774384340038,-110.46558110413608,-110.87129515175566,-110.87129515175566,-111.43756171700544,-110.7981164479826,-111.52951711267698,-109.42043679078344,-111.900420897328,-111.900420897328,-112.58686214714864,-109.93239715692238,-109.3685337409703,-106.06034591149071,-110.74025819933672,-110.74025819933672,-111.29246177141177,-108.60763798634989,-109.5543558091158,-110.62112556286156,-111.43342059243447,-111.43342059243447,-112.40178963370025,-110.58457995991544,-111.4094414310332,-107.7116343348287,-111.88357635464877,-111.9851024564358,-111.44617380405153,-109.8070308769797,-109.84126199731604,-110.4526990548242,-110.08885042523448,-110.08885042523448,-111.41586320814037,-108.13473561059216,-107.57220349679702,-107.35269981091842,-111.27540988022618,-111.27276428247558,-110.5102379863648,-108.94568282703288,-109.67341744197998,-105.74274008581416
2,-110.61279600928574,-110.61279600928574,-110.81688164123187,-109.0049694743706,-107.9891715600388,-105.89839408126429,-110.2261714294374,-110.26003846746066,-108.38821431420467,-107.92688305737742,-106.68653823455446,-105.06921480763704,-110.3340383716226,-110.3340383716226,-111.68906902602453,-109.50830142836551,-108.28658707928844,-108.66266147000717,-110.33032060036078,-110.33032060036078,-110.61708931579138,-107.76317670195132,-108.68814967825544,-105.22554571256042,-111.52443950411585,-112.01784225190497,-109.36445472703475,-107.00326348816596,-108.07006393385352,-111.64811868164688,-109.79200699986788,-109.76741957824758,-108.353778318915,-109.42211977375727,-108.6160315660073,-109.09791929116471,-110.25712885859568,-110.02110598562004,-108.79139202144346,-108.3992939187726,-109.45993889992592,-109.45204502644484,-110.06849989225452,-110.0348689934552,-109.59563558141905,-108.13492218580852,-109.14982545375358,-110.31874910313635,-110.91531044131249,-110.75743616705029,-109.89710951218557,-109.73993808830856,-109.00082576046,-104.11560149099678,-110.88109378745308,-111.06663799011926,-110.53848807856644,-108.93203850425373,-109.19002835802732,-110.10411434292328,-110.82431273276477,-110.67489810618272,-110.32182094955355,-108.89967814587988,-108.24129751231057,-106.3544156936463,-111.2503793768361,-111.2503793768361,-112.01904691414238,-110.73757698078116,-109.56991832493804,-111.09107985664158,-109.50367516490334,-109.50367516490334,-109.40838772703806,-108.6193861659302,-107.96774384340038,-107.96405312892747,-110.87129515175566,-110.87129515175566,-111.43756171700544,-110.7981164479826,-108.74950407450784,-105.64577644013336,-111.900420897328,-111.900420897328,-109.7793784578648,-109.38947100446326,-108.71357610781678,-106.06034591149071,-110.24482493487848,-109.99211966171374,-107.45687692733634,-108.60763798634989,-109.5320876582354,-103.91073100671056,-111.43342059243447,-111.43342059243447,-110.3459810731998,-109.19609804848793,-111.11921772719128,-107.7116343348287,-110.45089225257682,-109.77312845529482,-107.11645899260007,-105.79036607753252,-106.54544531179128,-107.3943298017839,-110.08885042523448,-110.08885042523448,-111.35323558026415,-108.13473561059216,-107.57220349679702,-107.35269981091842,-110.57439700668044,-109.76567538235348,-108.7040652545914,-108.94568282703288,-109.67341744197998,-105.74274008581416
3,-110.61279600928574,-110.61279600928574,-110.81688164123187,-109.0049694743706,-107.9891715600388,-105.89839408126429,-109.8773641766215,-109.36463228274508,-108.01634770260688,-107.76763581786886,-106.68653823455446,-105.06921480763704,-110.3340383716226,-110.3340383716226,-111.68906902602453,-109.50830142836551,-108.28658707928844,-108.66266147000717,-110.2886971375175,-109.76308979112645,-108.7455044909312,-106.78592644747988,-107.69824201260576,-103.88639670415432,-110.46265549796348,-109.50066492220876,-107.44454931739268,-107.00326348816596,-107.81737985741812,-111.64811868164688,-108.9639404517356,-107.86622885259462,-106.50934195969197,-105.48308376991424,-104.68342634185215,-100.79346546623856,-109.47083115024763,-108.51053269398416,-107.0226599560042,-107.33226031912376,-109.45993889992592,-106.5382510866737,-110.06849989225452,-109.70272545537864,-109.59563558141905,-108.13492218580852,-109.14982545375358,-109.19363208217548,-110.86850421809535,-110.75743616705029,-109.89710951218557,-109.6299916081474,-108.72226236305548,-104.11560149099678,-110.79385980360895,-110.8475600645555,-110.51985458023496,-108.93203850425373,-109.19002835802732,-110.10411434292328,-110.39770021553808,-109.87200721964555,-108.8229087976084,-108.89967814587988,-108.24129751231057,-106.3544156936463,-111.2503793768361,-111.0511386897391,-108.99762799541656,-108.81408399184993,-108.55331625426652,-105.20723931929096,-109.50367516490334,-109.50367516490334,-109.30964472724358,-108.6193861659302,-107.96774384340038,-107.93425640098285,-110.87129515175566,-110.87129515175566,-107.7755876819168,-106.290801094746,-105.62822947895388,-105.64577644013336,-111.44171521829426,-110.688279828741,-107.6826998013482,-106.1404813944892,-105.59964025481604,-104.50740192435914,-109.73620527612918,-108.0813941368532,-107.3760206652333,-107.07453165037586,-108.36273738287622,-103.91073100671056,-111.1492374915906,-110.89555631677489,-109.39407663344429,-108.89784771646956,-109.67051447732256,-103.76740385267767,-110.07458861451022,-108.42139137458436,-107.11645899260007,-105.79036607753252,-106.54544531179128,-107.3943298017839,-110.08885042523448,-110.08885042523448,-109.50251636502055,-107.90889495386044,-106.92935662236764,-107.35269981091842,-110.4679810872009,-109.76567538235348,-108.7040652545914,-108.94568282703288,-109.67341744197998,-105.74274008581416
4,-110.61279600928574,-110.61279600928574,-107.80376107731996,-106.25814871792332,-104.01775398158816,-105.64560410003178,-108.73153402657404,-106.70868090155888,-104.94837563964133,-104.4313168202655,-106.68653823455446,-99.34835662374972,-110.3340383716226,-109.61136717491028,-106.5111537435216,-105.55200282028731,-103.91299843428249,-105.30968482873868,-109.31126972648389,-107.43895476215803,-104.29983138051146,-102.545569113011,-101.65675875042798,-99.61656613666564,-109.3084414774392,-106.25805272801452,-105.00016420503904,-104.29348580224672,-102.07670455277898,-104.04172658764293,-107.64899853007378,-105.15851848509058,-101.26374909536622,-100.30106050807458,-99.81640949691412,-100.79346546623856,-108.55604174348406,-106.36317868324048,-105.2538506492757,-103.14056351338805,-101.88403479174652,-103.22372213646013,-109.68918034219536,-109.23382604338836,-107.88399704835696,-107.22240585422202,-106.9068729728344,-108.67883422304875,-110.26372386892696,-109.32087109903576,-107.85971292941692,-106.58818524256056,-106.45420204289374,-104.11560149099678,-110.601266475235,-109.09707550680928,-108.06440596708998,-107.9075681913877,-108.85573590894928,-107.33551253976766,-110.0299362679621,-108.87011996887128,-108.21014643064416,-108.19260116211386,-108.24129751231057,-104.8130520234583,-111.15547560711994,-109.57982624120083,-108.4503611219788,-106.9873902721156,-106.2508040492935,-103.8360264782328,-109.50367516490334,-108.50252800879736,-106.75172649496828,-105.30566725017562,-103.39653219572966,-101.1373041781946,-110.15212935888432,-108.78008459302428,-104.58799440325004,-103.91210879017947,-105.48289773286552,-101.39677557244433,-110.24573387525324,-107.4429207831205,-104.1456914532221,-103.2232484158763,-100.37338210771324,-98.99136116853916,-109.37876731175506,-106.89107662841344,-106.79789058768291,-106.40765763877424,-106.57137094177304,-103.91073100671056,-110.29591482371926,-108.0540490294526,-106.00918865820452,-106.17603478198288,-104.80016342524206,-101.9039587445848,-109.21475928372308,-106.44441611101036,-105.11333752456063,-104.91352240926004,-103.97313960922416,-106.85752841359935,-110.08885042523448,-108.5635605810447,-105.71139178659912,-104.1048761730257,-102.58005589926384,-105.61498531069374,-109.77241533515004,-108.15361075661028,-106.39603155233608,-104.8422129701922,-103.619202862432,-99.01105071257334
5,-109.31801945210135,-106.43686119973609,-100.80452311015485,-97.77711298846816,-95.8557203597494,-97.8247733030701,-107.45743815247748,-104.67155475730664,-102.27051099633756,-101.810255226976,-102.99215782988118,-99.34835662374972,-109.8861979382195,-108.35397474251084,-104.79705552870072,-103.85677052327664,-103.7026366160973,-102.96445578000277,-107.18692448632255,-103.98006029939972,-100.7092582120982,-99.82697682686674,-101.65675875042798,-99.61656613666564,-108.44296343734833,-105.0750623777652,-102.50128091118502,-102.74059295888232,-102.07670455277898,-102.8731271364144,-105.80020817297302,-101.81392247331944,-98.29664854962584,-95.93070793894412,-97.79157492449508,-92.51030112972948,-107.12879767905709,-104.18108098825574,-100.98075899227275,-100.28986728633171,-101.88403479174652,-100.20629176639486,-108.31677316597312,-106.65933529320418,-102.9036589102773,-102.42777039890645,-104.52110411702188,-101.23041431240271,-109.07169121260058,-107.36305246239846,-104.50799032346607,-103.43938383863016,-105.86067960071378,-104.11274230999406,-109.53441470050969,-108.17055805629144,-106.5764739384994,-104.8508152531844,-105.07691521816886,-102.96239682275336,-108.76527844413872,-106.97073715446685,-104.92574197202194,-104.60976229224994,-105.37792064891664,-104.8130520234583,-110.22823323538076,-107.83956877687346,-105.60352303747902,-105.9988143882272,-106.2508040492935,-103.45191109488952,-108.4361822230253,-105.92417316440144,-102.3612259191242,-100.65647671019352,-103.39344697056832,-101.1373041781946,-108.52059900041785,-103.98883496376985,-99.98683889742038,-100.15616146132292,-100.26870031076484,-101.39677557244433,-108.47980222422156,-103.672156813989,-98.19887804646744,-93.9535901287396,-94.55345784979698,-88.33570695989765,-108.44905403527756,-106.78931785859852,-106.79789058768291,-106.40765763877424,-106.57137094177304,-103.91073100671056,-108.9206063018318,-106.16392413032302,-102.99354702596756,-101.25277644055838,-103.09781815143536,-101.9039587445848,-107.37555327966436,-105.0953985237548,-103.12343207422498,-100.22644721034274,-97.21305830417668,-98.1468572110869,-108.74077142726443,-105.76074484201148,-103.6336071405842,-102.35567408671952,-102.38354327721288,-95.3650776671362,-107.82806760200212,-105.79941487891344,-103.62322420766576,-101.44460104593423,-98.93362665344728,-98.77970250835642
6,-107.15832354941244,-102.63411981858653,-95.88047246758548,-94.4217859312307,-93.9419232839934,-97.08420430237894,-105.75293041269452,-102.23680808664066,-101.14011104013088,-100.96099751940028,-101.2168398179114,-98.11089846130926,-108.30280448183936,-104.99983831917712,-101.54616235569848,-99.81936277896456,-100.86261581981088,-99.45186930629424,-105.14732763139648,-100.58644724812136,-99.22545102750593,-97.16707234035188,-95.66538879309896,-96.7840535007068,-106.37335329883835,-103.10292971068527,-101.15958872613176,-99.6443324316322,-102.07670455277898,-102.8731271364144,-103.62640621341404,-98.6050525974658,-94.9776291411568,-95.8565660675522,-97.31216748712583,-92.0867401255644,-105.73346142955194,-102.50555511049048,-99.6661332845474,-98.46743452490104,-99.7773301182082,-99.42181160116452,-106.86960962355292,-103.7409740512658,-99.87717671541948,-96.25028205434064,-98.12829711963772,-101.23041431240271,-107.42810025177938,-104.5272780966433,-102.66351865460224,-101.00029520258016,-99.42547403412404,-96.53085986596996,-108.43894535572772,-105.76121671208408,-103.58749578136762,-102.35835867521556,-100.56948459954292,-97.65916636094045,-107.60562406347375,-105.40079014486568,-104.31186151258213,-103.04167394774268,-104.57892144259996,-104.8130520234583,-108.30168567571006,-105.50347842981178,-103.3182437042307,-101.0447948996944,-99.73170055029448,-103.45191109488952,-106.8916139585604,-103.01584200088868,-97.9064437930684,-95.34735787284386,-93.56358623682873,-92.7601994815399,-106.14093247657446,-100.38422149338456,-96.87199219862812,-95.7976754635683,-96.98489472014248,-101.39677557244433,-106.14231215625712,-100.12467720118624,-92.76200604046971,-91.38571907191012,-92.45786222742288,-82.67379301394104,-106.76193978566631,-104.97547636427848,-102.9449761843656,-99.51921746350504,-100.56161718108984,-101.8336187406676,-107.53015900356948,-103.65006574277626,-99.50160513739073,-98.10308252220972,-97.64386069623988,-96.45115571235657,-105.66270523903036,-103.29530614342028,-101.10996063428232,-100.22644721034274,-97.21305830417668,-98.1468572110869,-106.84439987754202,-102.47541916579048,-99.38360246258016,-98.37706858287623,-97.6283347787417,-95.3650776671362,-106.08940212903468,-102.22500489366672,-97.88810262145124,-96.55758257381096,-97.30258915888612,-98.77970250835642
7,-104.94707094571548,-97.99409534225204,-90.40940440642196,-86.08589627186593,-87.50209196344309,-81.15129279319372,-104.06306388185342,-100.22697388125036,-98.54835525612768,-96.28544422678416,-95.67531215332563,-93.59238075282192,-106.3516526122099,-102.1803516183807,-98.0149339930946,-95.73529705707044,-95.45768886675243,-94.82461728127672,-103.096201784946,-98.75459598766535,-97.4514528305194,-97.16707234035188,-95.66538879309896,-96.7840535007068,-104.1193254050826,-100.67616554589011,-98.9660462442573,-97.351326543912,-95.3914736555342,-97.93945670631948,-101.47756523787324,-96.06624630401924,-93.68033542556512,-88.74809359687846,-86.19399579387974,-72.24773599123583,-103.35181286234716,-98.85173460738888,-95.34474374641832,-94.07271089155678,-95.27596833241404,-89.73044849730795,-104.66033075418964,-99.77448735124268,-95.06011329535175,-92.88481303242472,-89.72070430756838,-81.5326438886841,-105.79568451299124,-102.01908944332158,-98.9128039170822,-99.52288252463272,-99.42547403412404,-96.53085986596996,-106.5566453385694,-103.2712177379012,-99.53285949886472,-98.86745767278772,-99.57519349579933,-90.8139748454676,-105.97368908679589,-103.21149663049697,-101.78822795972351,-101.04502105863256,-101.90013317753386,-104.32161913076416,-106.22842241112522,-102.12853633603788,-97.73967001485572,-96.2569600133771,-95.75842146596172,-97.25517810184974,-104.53159863740385,-99.28844961119704,-94.94010323433886,-95.34735787284386,-93.56358623682873,-92.7601994815399,-103.4111399976306,-97.0539866938623,-92.91726854462016,-93.32406213404144,-90.47452044616686,-76.47743290286743,-102.95983896989856,-95.24952629772903,-88.0457812074016,-85.18650447531836,-85.39056055294233,-82.67379301394104,-104.79289610422587,-102.20693309545152,-97.238056465946,-97.1227235608839,-100.56161718108984,-101.8336187406676,-105.68665344512712,-100.60058931477776,-95.80475522687426,-94.51940827621962,-96.4907220392558,-89.88639094163663,-103.89449193698673,-101.41521150530392,-98.87432722396522,-99.39191921496268,-97.21305830417668,-98.1468572110869,-104.24302821392745,-98.913926803169,-94.01650460062976,-88.99555545639058,-88.18171267465921,-95.3650776671362,-103.77082970112616,-99.152465806621,-95.40142370845336,-92.00012931182572,-86.97133927282528,-83.40730817674194
8,-101.51303647138896,-91.7814779931152,-84.11422517678483,-82.76444075134,-78.41102476304863,-81.15129279319372,-101.33561334973145,-97.12214628917545,-93.11787236589068,-92.58226598717336,-90.14530755806844,-93.59238075282192,-103.89671049064998,-98.24367600454252,-93.67489983228124,-93.0181114646935,-90.6573913527152,-94.82461728127672,-100.04897783317804,-95.82750346869727,-92.5187520768822,-91.42650198535485,-94.72572886034848,-96.7840535007068,-101.6943182303365,-97.84422648399185,-93.9683542681305,-92.33357548706115,-95.12367464947746,-94.26577277081088,-98.63621392432876,-92.67284087270949,-87.1809268421003,-88.74809359687846,-86.19399579387974,-72.24773599123583,-100.3913898483656,-94.506870389657,-89.68611221120722,-88.4735362230544,-85.76501424811023,-73.29742527703347,-101.51267937879678,-94.92591263786888,-89.03069064068448,-88.7249096818082,-87.14462581420085,-81.5326438886841,-103.46578020620744,-98.8716321183178,-95.02500483575923,-93.09743390662726,-91.33623984722304,-93.84034394011832,-104.39069703846032,-100.18858439763956,-95.92679055071844,-93.51428018384787,-90.54569423696609,-90.8139748454676,-104.18952050324776,-101.08943013101072,-98.23915927512262,-94.74987725044068,-97.4671584865288,-94.38983548241669,-103.64856699153792,-98.5267087458466,-92.2997453659161,-88.03980923519237,-86.4590143271652,-80.08330714657204,-101.48383266775043,-94.37649667633616,-89.64605100144614,-83.163918272343,-84.5719448873552,-73.52493834770284,-99.63259556595276,-93.839489133547,-91.52839668311964,-92.49526444773132,-90.47452044616686,-76.47743290286743,-98.80426563119472,-89.6140476718084,-84.44384320511017,-81.61347830717568,-83.12709483541722,-78.25016789967194,-102.6375710010238,-98.25201048592852,-94.39425107437091,-89.99431091723847,-89.27146199537441,-101.8336187406676,-102.3587515798739,-96.12481373784354,-91.65949577895836,-89.44177829241438,-84.89199396063458,-80.44685755461106,-102.45586788289071,-98.8173915854956,-96.89384059143194,-94.15068610916671,-95.62276329648331,-95.13697920185514,-101.29784820875317,-96.1457656266898,-94.01650460062976,-88.99555545639058,-88.18171267465921,-77.09188571141567,-101.58066957667307,-95.49532728768082,-89.80917839595553,-89.60613962385221,-86.97133927282528,-83.40730817674194
9,-97.56945856250316,-86.22729670425464,-78.15740097848683,-73.80652834273963,-68.7350597965205,-67.92491889051162,-98.57036359594731,-94.05721307895706,-89.99676098440196,-92.58226598717336,-90.14530755806844,-93.59238075282192,-100.4192428838018,-93.01163417837536,-87.08970627967182,-84.9486278244626,-81.66688957138336,-86.89236784242094,-97.1171488797173,-93.64812250270911,-92.5187520768822,-90.69016242139855,-83.81506380101666,-81.04832080610795,-99.6065353624231,-95.13458332703075,-91.42916275972324,-88.73458726461686,-91.96641785570829,-91.80488585238344,-95.0988696667769,-89.90144728204491,-86.15477447351935,-81.98219138550368,-77.64234084543132,-64.81646576648345,-97.01223712143876,-89.63271561965989,-82.10796517955896,-77.34727341988123,-76.44427829256165,-73.29742527703347,-98.16277616859736,-90.6792344931944,-86.56327864701554,-86.99422467222175,-87.14462581420085,-81.5326438886841,-100.32629176592928,-95.02704815181568,-93.09345524216684,-93.0520573431626,-87.74117941646371,-88.66454893101472,-101.30947864858064,-95.2691994507077,-89.22527721074759,-89.90124715381418,-87.85467470639036,-86.76169395198812,-101.79741490203452,-97.66950808698697,-93.84498324131826,-93.20793330237504,-94.19090413966914,-94.38983548241669,-100.29266271207756,-92.9993295089282,-85.70511859310092,-83.65810820097744,-82.9340503234358,-77.65300474192482,-98.02194048256952,-89.88721326492548,-83.1824464142829,-82.56902286387863,-83.65307026934111,-73.52493834770284,-94.93038426446196,-88.79813852386846,-83.3643108213594,-80.60846570926834,-87.18083885325585,-76.47743290286743,-94.77927082747388,-85.19150030842516,-80.4997316791206,-77.79156002932287,-81.04371701747993,-78.25016789967194,-99.94899869703332,-93.81331797995492,-92.39190710216236,-89.99431091723847,-89.27146199537441,-98.72894893116316,-99.76422096831352,-93.10102589097166,-88.68530362285702,-87.5961916482012,-84.89199396063458,-80.44685755461106,-99.95438457126288,-95.6872245779059,-91.96531088525256,-91.69882240954205,-93.878785830196,-95.13697920185514,-98.44050280940895,-93.83525030075526,-91.6500902755376,-88.99555545639058,-88.18171267465921,-77.09188571141567,-98.43234286335216,-91.14626056584552,-86.60052894772234,-84.78059123985412,-82.7896631499764,-78.52881038513733
