n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker17,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker21,pack_PPO_BipedalWalker22,pack_PPO_BipedalWalker23,pack_PPO_BipedalWalker24,pack_PPO_BipedalWalker25,pack_PPO_BipedalWalker26,pack_PPO_BipedalWalker27,pack_PPO_BipedalWalker28,pack_PPO_BipedalWalker29,pack_PPO_BipedalWalker30
0,-91.990558762,-91.900427646,-92.000417254,-91.754107968,-92.033578786,-91.912905142,-92.085521568,-99.791115496,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-91.941705944,-92.045672984,-91.980272306,-92.05999627,-91.938232204,-91.991310538,-91.88516749,-91.97121765,-91.980688504,-91.95991609,-91.944038756,-92.02691208,-91.999157316,-91.801675948,-91.959862776,-91.951119634
1,-91.990558762,-111.936073912,-92.000417254,-91.754107968,-92.8046612,-111.735456936,-100.236154534,-99.791115496,-91.957374406,-93.03960891,-111.275797088,-111.910594158,-111.731497976,-112.13912263000002,-91.941705944,-92.31425704999998,-92.246441094,-93.180539526,-92.495833618,-91.991310538,-112.208042158,-111.867697648,-92.56530758,-92.30964059,-91.944038756,-92.180767734,-91.999157316,-92.36838242399998,-91.959862776,-111.899899912
2,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-92.8046612,-111.735456936,-100.236154534,-99.791115496,-92.127473536,-93.03960891,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.534297986,-93.180539526,-93.939043512,-115.253386324,-112.406808308,-111.867697648,-92.65072189,-93.018765322,-91.944038756,-92.180767734,-109.233140522,-92.36838242399998,-93.14571521,-111.899899912
3,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-99.62252927,-111.735456936,-100.236154534,-99.791115496,-92.281934762,-93.03960891,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-93.939043512,-115.253386324,-112.406808308,-111.867697648,-92.65072189,-94.235156074,-91.944038756,-94.833640912,-109.233140522,-92.36838242399998,-93.448665748,-111.899899912
4,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-100.511414028,-111.735456936,-100.236154534,-99.791115496,-92.774495068,-93.03960891,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-93.939043512,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-94.235156074,-91.944038756,-94.833640912,-109.233140522,-92.36838242399998,-94.898181286,-111.899899912
5,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-100.928537286,-111.735456936,-100.236154534,-99.791115496,-92.774495068,-93.03960891,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-95.801812848,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-100.130014992,-91.944038756,-94.833640912,-109.233140522,-105.708764838,-94.898181286,-111.899899912
6,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-104.436030858,-111.735456936,-100.236154534,-99.791115496,-95.925725194,-93.03960891,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-95.801812848,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-94.898181286,-111.899899912
7,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-104.436030858,-111.735456936,-100.236154534,-99.791115496,-95.925725194,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-112.878419606,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-95.801812848,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-94.898181286,-111.899899912
8,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-95.925725194,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-95.801812848,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-94.898181286,-111.899899912
9,-91.990558762,-111.936073912,-92.000417254,-111.743697316,-110.76453597,-111.735456936,-100.236154534,-99.791115496,-95.925725194,-104.818214602,-111.633089038,-111.910594158,-111.731497976,-120.999841516,-93.055611048,-116.048039842,-92.872823116,-101.296331066,-97.99233501,-115.253386324,-112.406808308,-111.867697648,-104.96984287,-102.945411496,-91.944038756,-103.612980766,-109.233140522,-105.708764838,-101.69837234,-111.899899912
