n_policy,pack_PPO_LunarLanderContinuous1_100,pack_PPO_LunarLanderContinuous3_100,pack_PPO_LunarLanderContinuous4_100,pack_PPO_LunarLanderContinuous5_100,pack_PPO_LunarLanderContinuous6_100,pack_PPO_LunarLanderContinuous7_100,pack_PPO_LunarLanderContinuous8_100,pack_PPO_LunarLanderContinuous9_100,pack_PPO_LunarLanderContinuous10_100,pack_PPO_LunarLanderContinuous11_100,pack_PPO_LunarLanderContinuous12_100,pack_PPO_LunarLanderContinuous13_100,pack_PPO_LunarLanderContinuous14_100,pack_PPO_LunarLanderContinuous15_100,pack_PPO_LunarLanderContinuous16_100,pack_PPO_LunarLanderContinuous17_100,pack_PPO_LunarLanderContinuous18_100,pack_PPO_LunarLanderContinuous19_100,pack_PPO_LunarLanderContinuous20_100,pack_PPO_LunarLanderContinuous21_100
0,-260.0519235844352,-251.58513525707704,-210.77042483341648,-235.856468089509,-242.9348242149863,-247.04876663595817,-224.7017454203408,-253.0310406442912,-269.67428249573334,-243.2853314107756,-257.6470329073863,-247.6114519226469,-270.6605086587305,-252.9686519317688,-244.39832216975512,-251.7192114040332,-266.8141048254719,-231.2410839238725,-240.93630901767463,-269.84682181463256
1,-179.30585576412878,-198.84946771198344,-185.90224041345647,-176.90072296225816,-211.2118635240712,-215.1402998171617,-199.07085502756613,-215.60382694692163,-203.11897445181395,-206.02733061428745,-213.59838702137264,-203.8065440223916,-179.97713577664297,-211.06870507859168,-219.1662729191181,-189.45762878290552,-202.4608507563419,-178.4500354694054,-196.9427064381972,-179.52550352659105
2,-136.3096723786574,-154.75843985441227,-163.2929255029533,-129.3341097058941,-177.64710134136402,-173.99619873399325,-164.30322938407144,-191.53047014653865,-143.9763230202342,-163.20003934912037,-147.83151289933332,-159.23700478143124,-141.32582473548158,-154.15150858868572,-167.76111070214742,-160.30604890566232,-137.9265643272671,-167.7940555399825,-147.13206865496642,-158.03796579805245
3,-131.3993201512289,-127.15981675562676,-118.40756829163846,-144.19939030262765,-124.55010655807271,-111.87303027634132,-150.041184987184,-158.9907436331251,-127.53672355277617,-147.2452290361797,-135.35368932953278,-129.35293904186662,-110.39195889798546,-130.4265497638578,-151.13978694134508,-143.20701437367504,-131.14793246893416,-120.463421820378,-97.95044909560616,-183.61555519929664
4,-134.19892361998254,-98.52102456077937,-94.87761693537614,-93.80511198316512,-91.78685102194328,-98.18669282246644,-94.71094228341792,-104.34102184747752,-78.20520267321132,-144.39530810562198,-95.63289110983897,-98.4329872671293,-90.94548066695803,-81.30788614062942,-106.3150806445122,-99.0406264773861,-136.91408615684497,-93.35832500336386,-79.60168364430429,-133.39578918315908
5,-93.04073640299497,-80.27383822246331,-76.5444447824583,-67.2034602854,-67.0542137300426,-73.2800693367557,-70.17394767118225,-85.38445532855265,-61.81083633549424,-100.41947022973936,-61.0785807052726,-67.03802902200836,-74.39623374897201,-73.8353400082016,-74.91748220532737,-102.96248294406485,-98.48600294840638,-66.1979252432812,-66.37391773944437,-107.65977632683334
6,-71.3940050744509,-71.83453600973066,-48.223929635892894,-47.82213482034168,-51.0928717057794,-48.64517921506238,-52.74077317131552,-65.38662788954666,-50.136144191294186,-63.91951274493367,-48.11267763793323,-53.11475355857751,-52.15074177063391,-67.18528663958892,-61.15868159641599,-72.19879196915757,-52.97487785412028,-51.96282737505651,-55.058979396871294,-73.1420413723301
7,-54.053743909462646,-50.37139354177576,-38.8168000981814,-36.47342636797126,-39.28199114114293,-27.97409018695588,-34.641854697056694,-49.92250490637554,-33.53702307577085,-50.56373110011045,-35.619003975895176,-44.505270395248665,-38.24801274961938,-40.52787355462699,-43.40659574188106,-53.41962403500977,-50.85981997503382,-28.244896574685555,-42.50994247518218,-63.75561597525608
8,-32.1416996223075,-42.18207409981449,-30.64310023509024,-25.87988046362632,-22.117996285054325,-24.79328574937386,-18.72154299224596,-32.136811903288475,-21.68927177013364,-37.43563281618379,-20.36267308143462,-42.42155049177847,-35.47173289934202,-22.725495998957484,-38.19108916972517,-45.62257790376199,-37.41724016876047,-20.809339376861463,-20.597158214912053,-48.53072542545473
9,-25.58309845007083,-31.658762439955098,-18.164779373297787,-18.520391723498616,-19.0256951996444,-22.89807082563304,-11.137423050710533,-24.27064384655765,-7.755714395328396,-24.14179258050252,-11.178080586925752,-18.706582583899145,-16.87614171738489,-13.39350916605541,-22.57856082537197,-34.615083273945785,-16.17382535286044,-19.90722148541594,-14.18122158948274,-30.39495706922171
10,-10.471991715293807,-16.575809887063805,-24.489539563472643,-11.552970814208674,-7.082833902468846,-20.465305283620328,-7.640991063589899,-15.17257569754416,4.2156266356930425,-13.34065762129554,-4.573142266050272,-17.20978605909106,-12.647432093879909,-9.354396372826413,-7.84535649264064,-28.30648121110088,-15.976900149446156,-10.322428844155947,-9.498675788318396,-13.618603845549517
11,-7.448632180691347,-9.031084378339584,-17.90576479622512,-15.66371744115444,-6.684093269413279,-11.857203029198429,-0.6076660312844979,-9.408271210131351,9.80238391050414,-6.868634297921672,0.6010010366236384,-11.838310145106515,-8.937075422183844,-3.421295196722931,5.72166393976142,-22.4677973399486,-5.797973924481557,-12.84175740551349,-1.0478537472711105,-9.093874229619832
12,-9.949615608502064,-7.229811646417947,-2.968693689710636,-13.373487297406973,3.1048168408265338,-6.133478499772391,5.997141441249841,-13.894065522696913,12.0168065638961,0.5920671788224899,7.694226711074006,-11.702273724045224,2.5501444585154784,1.5106696205461048,12.512505625814446,-14.321407438487514,-2.2906446395844977,-13.282414429031824,-1.1082739935534849,-0.7462148074086872
13,-9.967326342962478,-4.211752474604436,6.212608138893557,-3.431027312264778,0.7816357239690842,2.1286671915833724,17.91275844252479,-7.757644711401554,10.558277399201252,9.93597941750917,9.580148772766552,-11.263807675354728,3.8715710107471386,0.699848909675493,20.783516011840085,-5.87995490349258,-4.113316017753895,-18.43399457635537,14.635206929541091,5.988425373573318
14,-8.441191115318798,-1.5572186015126137,15.303964303428511,3.004726769255321,4.882057192033972,8.960979910886527,21.41057055031924,-3.8212678959189,14.05769548079268,22.032953605862787,12.628910672744675,-15.01650777758343,4.401081889146189,8.444335887893935,23.70427190346879,-4.385476768134649,-8.225510751800392,-19.325999250828463,21.570937276424303,8.166021981950088
15,-2.425021298739448,0.8273827960820563,13.587129494037727,-1.3413491518891896,4.296706662159704,12.823847240217146,34.218882034459746,3.899412006603616,20.94282248402091,25.156676039841383,23.543213526523378,-15.293969146833987,10.559321767981928,6.615715087027724,28.39882413430688,-9.92549811467601,-7.265952532850279,-23.45620761395188,27.987630196195024,13.891830429859493
16,5.02582340841298,9.930188408595969,19.291159232221325,-0.3822992686587168,16.01652137557663,12.153745308130055,40.20342207426096,5.008662164516954,28.6737139613157,29.238048170684834,36.79204609615588,-8.462836574466127,16.57010142134404,1.3608893213175952,36.73326291165309,-7.923283988770418,-16.225218991861695,-19.39867867146492,38.76837700040298,26.316050319865937
17,9.147234591754822,11.414496821470566,23.987823653551978,1.4073225731254206,14.515480030478866,14.876292948807276,40.687231844518536,16.617411380024443,36.081346858444846,28.3042873035911,41.40420173648953,4.401432359046157,23.03495690747426,-2.6242314949277854,48.46793166542568,-8.373165771411005,-17.882044291974818,-17.691326875611594,47.73341553468741,29.22741918434578
18,17.15463370182668,26.01724104472457,30.3413776446367,8.368165630563071,16.23984296944349,20.792029358798573,48.18288329944491,14.964341806286738,47.50040698343417,30.763837118004886,53.41954170161544,7.015869898903839,25.3780608096846,0.8921498345111377,56.53049870088147,-9.108261292089884,-7.896010490772096,-9.637803680822834,61.515870250642365,30.65656201933598
19,23.776505496268506,31.7169840693628,41.29438600790967,24.46841393647768,22.140403126086383,24.93246962619778,54.0124187569848,27.792216863117684,56.717753695037466,32.716375862698115,56.44248617945232,9.05027152579969,30.19927898939974,5.0897552382965205,63.78101876154888,0.1737662886400358,0.5858668218507546,-2.2971954019494296,73.66427567870608,31.93284475502129
