n_policy,pack_PPO_LunarLanderContinuous1_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous2_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous3_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous4_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous5_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous6_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous7_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous8_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous9_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous10_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous11_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous12_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous13_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous14_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous15_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous16_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous17_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous18_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous19_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous20_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous21_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous22_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous23_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous24_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous25_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous26_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous27_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous28_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous29_relative_perc_criteria_best,pack_PPO_LunarLanderContinuous30_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.785397788161058,1.0,1.0,0.8903951993517653,0.184378652083652,1.0,0.611485182073459,0.8400494320037791,1.0,1.0,0.9655801106315728,0.7197836185701523,1.0,1.0,1.0,1.0,0.9294770716461532,0.5763096587392316,0.7779665829604578,0.9712540079569882,0.8793084272777325,1.0,0.9549576080278313,0.9855977637649666,0.6948193816713931,0.3726998250735365,1.0,1.0,1.0,1.0
3,0.7024689698464471,1.0,0.7982752953706111,1.0,1.0,1.0,0.6961010805175265,0.9207976744407886,0.0995745747938938,0.9593420001241952,0.2270119309610383,0.8485822290773749,1.0,0.5778591891466115,1.0,0.9885983563752576,0.9670037150425124,0.7962936554388444,0.8142066739397814,0.8083887627520875,0.8123552946354232,0.967192487161012,1.0,0.9384154318263566,0.9046939811309614,1.0,0.8157401542180874,0.9303014700749296,1.0,0.4391654297915308
4,0.819710399361513,1.0,1.0,0.7462832133692217,1.0,0.6729201536826901,0.8490888153362282,1.0,0.7963307052736373,1.0,1.0,0.5780616329953012,0.9768323605576302,0.9994606923691302,0.6513671685737276,0.4999719391520029,0.9891014199772856,1.0,0.997938800192825,0.9619204003264592,0.94979162475527,1.0,0.9285158901832252,1.0,1.0,1.0,1.0,1.0,1.0,0.5507012464154095
5,0.8383648921720793,0.7329855016714157,0.9450245700866452,0.8209023912712027,0.8526870847368978,1.0,0.4456958516208673,1.0,0.9179472907092384,1.0,0.2334033035389715,0.9054680822124967,0.8667426570100096,1.0,0.6545552126617573,1.0,1.0,0.1973408317326649,1.0,0.9182496191769712,0.858620777019759,1.0,0.8996414659499196,1.0,0.921283132188518,0.6518894912902222,0.998383734121554,1.0,0.541620347756572,0.2809192219407121
6,0.8253939209744521,0.9750784678666043,1.0,1.0,1.0,1.0,1.0,0.9642509296721892,1.0,1.0,0.5570150343696431,1.0,1.0,1.0,1.0,1.0,1.0,0.5477643802790142,1.0,0.8181989834815159,0.944384054607967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6223860895378596
7,0.9351369095747362,1.0,1.0,1.0,1.0,1.0,1.0,0.9834452007582948,1.0,1.0,0.650633543319103,0.9073585077925292,0.8031254505938551,0.9881117599184422,1.0,0.9679440184279606,1.0,0.3997575442950047,1.0,1.0,0.791617177457412,1.0,1.0,0.9611176760775336,1.0,1.0,1.0,0.8883577628713567,1.0,0.9441103943265258
8,1.0,0.9887692449625656,1.0,1.0,1.0,1.0,0.9696324812833312,1.0,1.0,1.0,0.997360991219309,0.9680266037544666,0.6501323609593035,1.0,1.0,0.8743177241219356,0.9408144803117078,1.0,1.0,1.0,0.8807855741487718,1.0,1.0,0.9896519774464052,1.0,0.5857920519799898,1.0,1.0,0.9260000100467172,1.0
9,1.0,0.8762115097869213,0.9248858361176784,1.0,1.0,1.0,0.9756580859246448,1.0,0.9440706385747832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.829736695097565,1.0,0.993147617096268,0.95703596459236,0.9131257065597128,0.8878123741640047,1.0,1.0,1.0,0.7536546380075719,1.0,1.0,1.0,1.0
