n_policy,pack_PPO_LunarLanderContinuous1_500,pack_PPO_LunarLanderContinuous1_250,pack_PPO_LunarLanderContinuous1_100,pack_PPO_LunarLanderContinuous1_50,pack_PPO_LunarLanderContinuous1_25,pack_PPO_LunarLanderContinuous1_5,pack_PPO_LunarLanderContinuous3_500,pack_PPO_LunarLanderContinuous3_250,pack_PPO_LunarLanderContinuous3_100,pack_PPO_LunarLanderContinuous3_50,pack_PPO_LunarLanderContinuous3_25,pack_PPO_LunarLanderContinuous3_5,pack_PPO_LunarLanderContinuous4_500,pack_PPO_LunarLanderContinuous4_250,pack_PPO_LunarLanderContinuous4_100,pack_PPO_LunarLanderContinuous4_50,pack_PPO_LunarLanderContinuous4_25,pack_PPO_LunarLanderContinuous4_5,pack_PPO_LunarLanderContinuous5_500,pack_PPO_LunarLanderContinuous5_250,pack_PPO_LunarLanderContinuous5_100,pack_PPO_LunarLanderContinuous5_50,pack_PPO_LunarLanderContinuous5_25,pack_PPO_LunarLanderContinuous5_5,pack_PPO_LunarLanderContinuous6_500,pack_PPO_LunarLanderContinuous6_250,pack_PPO_LunarLanderContinuous6_100,pack_PPO_LunarLanderContinuous6_50,pack_PPO_LunarLanderContinuous6_25,pack_PPO_LunarLanderContinuous6_5,pack_PPO_LunarLanderContinuous7_500,pack_PPO_LunarLanderContinuous7_250,pack_PPO_LunarLanderContinuous7_100,pack_PPO_LunarLanderContinuous7_50,pack_PPO_LunarLanderContinuous7_25,pack_PPO_LunarLanderContinuous7_5,pack_PPO_LunarLanderContinuous8_500,pack_PPO_LunarLanderContinuous8_250,pack_PPO_LunarLanderContinuous8_100,pack_PPO_LunarLanderContinuous8_50,pack_PPO_LunarLanderContinuous8_25,pack_PPO_LunarLanderContinuous8_5,pack_PPO_LunarLanderContinuous9_500,pack_PPO_LunarLanderContinuous9_250,pack_PPO_LunarLanderContinuous9_100,pack_PPO_LunarLanderContinuous9_50,pack_PPO_LunarLanderContinuous9_25,pack_PPO_LunarLanderContinuous9_5,pack_PPO_LunarLanderContinuous10_500,pack_PPO_LunarLanderContinuous10_250,pack_PPO_LunarLanderContinuous10_100,pack_PPO_LunarLanderContinuous10_50,pack_PPO_LunarLanderContinuous10_25,pack_PPO_LunarLanderContinuous10_5,pack_PPO_LunarLanderContinuous11_500,pack_PPO_LunarLanderContinuous11_250,pack_PPO_LunarLanderContinuous11_100,pack_PPO_LunarLanderContinuous11_50,pack_PPO_LunarLanderContinuous11_25,pack_PPO_LunarLanderContinuous11_5,pack_PPO_LunarLanderContinuous12_500,pack_PPO_LunarLanderContinuous12_250,pack_PPO_LunarLanderContinuous12_100,pack_PPO_LunarLanderContinuous12_50,pack_PPO_LunarLanderContinuous12_25,pack_PPO_LunarLanderContinuous12_5,pack_PPO_LunarLanderContinuous13_500,pack_PPO_LunarLanderContinuous13_250,pack_PPO_LunarLanderContinuous13_100,pack_PPO_LunarLanderContinuous13_50,pack_PPO_LunarLanderContinuous13_25,pack_PPO_LunarLanderContinuous13_5,pack_PPO_LunarLanderContinuous14_500,pack_PPO_LunarLanderContinuous14_250,pack_PPO_LunarLanderContinuous14_100,pack_PPO_LunarLanderContinuous14_50,pack_PPO_LunarLanderContinuous14_25,pack_PPO_LunarLanderContinuous14_5,pack_PPO_LunarLanderContinuous15_500,pack_PPO_LunarLanderContinuous15_250,pack_PPO_LunarLanderContinuous15_100,pack_PPO_LunarLanderContinuous15_50,pack_PPO_LunarLanderContinuous15_25,pack_PPO_LunarLanderContinuous15_5,pack_PPO_LunarLanderContinuous16_500,pack_PPO_LunarLanderContinuous16_250,pack_PPO_LunarLanderContinuous16_100,pack_PPO_LunarLanderContinuous16_50,pack_PPO_LunarLanderContinuous16_25,pack_PPO_LunarLanderContinuous16_5,pack_PPO_LunarLanderContinuous17_500,pack_PPO_LunarLanderContinuous17_250,pack_PPO_LunarLanderContinuous17_100,pack_PPO_LunarLanderContinuous17_50,pack_PPO_LunarLanderContinuous17_25,pack_PPO_LunarLanderContinuous17_5,pack_PPO_LunarLanderContinuous18_500,pack_PPO_LunarLanderContinuous18_250,pack_PPO_LunarLanderContinuous18_100,pack_PPO_LunarLanderContinuous18_50,pack_PPO_LunarLanderContinuous18_25,pack_PPO_LunarLanderContinuous18_5,pack_PPO_LunarLanderContinuous19_500,pack_PPO_LunarLanderContinuous19_250,pack_PPO_LunarLanderContinuous19_100,pack_PPO_LunarLanderContinuous19_50,pack_PPO_LunarLanderContinuous19_25,pack_PPO_LunarLanderContinuous19_5,pack_PPO_LunarLanderContinuous20_500,pack_PPO_LunarLanderContinuous20_250,pack_PPO_LunarLanderContinuous20_100,pack_PPO_LunarLanderContinuous20_50,pack_PPO_LunarLanderContinuous20_25,pack_PPO_LunarLanderContinuous20_5,pack_PPO_LunarLanderContinuous21_500,pack_PPO_LunarLanderContinuous21_250,pack_PPO_LunarLanderContinuous21_100,pack_PPO_LunarLanderContinuous21_50,pack_PPO_LunarLanderContinuous21_25,pack_PPO_LunarLanderContinuous21_5
0,-270.9320731448232,-270.9320731448232,-260.0519235844352,-264.7106424814883,-271.2326587387454,-342.51093737836925,-246.78997091598072,-246.78997091598072,-251.58513525707704,-249.31338930285884,-279.1776473961398,-238.1501611857675,-223.58811797665007,-223.58811797665007,-210.77042483341648,-212.7282117101037,-218.4648120198445,-174.65076041668652,-238.2430573276076,-238.2430573276076,-235.856468089509,-216.9192518437345,-235.0703675953904,-206.7659629496048,-248.50071082814475,-248.50071082814475,-242.9348242149863,-246.94783959579888,-262.23068636245443,-333.28242692498026,-249.76902824837785,-249.76902824837785,-247.04876663595817,-227.79736976723768,-271.4059186748462,-406.7046090196818,-223.4836803360612,-223.4836803360612,-224.7017454203408,-221.0521898584423,-261.01375724904824,-228.08762526884675,-259.0667441719884,-259.0667441719884,-253.0310406442912,-259.83667493003884,-249.07431788227288,-223.47633336479777,-260.0731097638509,-260.0731097638509,-269.67428249573334,-261.048190043231,-286.28293655477,-186.33868193663656,-244.55748139975,-244.55748139975,-243.2853314107756,-232.2138781449897,-226.00371204386693,-289.71632006751605,-264.2446341161342,-264.2446341161342,-257.6470329073863,-241.61270498526747,-233.12622128372547,-208.30226052450016,-264.36156090684807,-264.36156090684807,-247.6114519226469,-257.47601572891466,-247.05783603666816,-262.74117362650577,-265.59011314851585,-265.59011314851585,-270.6605086587305,-285.094649378187,-300.6757093696855,-386.8755684159696,-256.285233137364,-256.285233137364,-252.9686519317688,-276.95779623459094,-242.07063017729905,-234.32041054032743,-241.5430532177037,-241.5430532177037,-244.39832216975512,-249.8087499345513,-223.65244773986748,-339.432739496138,-245.43340000123624,-245.43340000123624,-251.7192114040332,-233.9115261569025,-222.32593633499,-141.2872936400585,-258.9781189417327,-258.9781189417327,-266.8141048254719,-267.5632546091464,-271.53894688960395,-227.0019474752248,-225.7893588872473,-225.7893588872473,-231.2410839238725,-224.89624060551432,-227.8704906242597,-113.24902793518268,-243.1683447933832,-243.1683447933832,-240.93630901767463,-242.805342253584,-228.80375168834348,-276.597721585352,-264.0768046393171,-264.0768046393171,-269.84682181463256,-276.3789185592509,-279.3005241534207,-293.2465031884611
1,-226.15360033590457,-217.6356108890402,-179.30585576412878,-201.44531151086383,-185.12863930777297,-201.98078022000848,-229.6225703379339,-228.94356079547643,-198.84946771198344,-181.8572088453878,-177.29228752908296,-188.64334601769224,-210.68444785001552,-204.5046255218128,-185.90224041345647,-202.4305632362771,-218.4648120198445,-174.65076041668652,-215.57640358297888,-211.3096681511876,-176.90072296225816,-167.7177585064294,-168.63694281068862,-114.95723557583987,-228.32820032892923,-222.8997247002017,-211.2118635240712,-218.6056024748215,-192.3825923524076,-152.11757331732662,-228.8584050967325,-224.34479357692,-215.1402998171617,-199.9726385769318,-212.44982624602272,-257.69484034515915,-215.82379438571064,-213.04510563778888,-199.07085502756613,-202.4459616769577,-195.28455732570728,-167.0482361632865,-239.8667478207786,-233.1593245837712,-215.60382694692163,-219.2918445760017,-219.93477848885115,-125.5078058826388,-234.567085980619,-235.0059079698556,-203.11897445181395,-196.3572405739915,-209.1030079826004,-186.33868193663656,-225.96932987833569,-221.55388326602653,-206.02733061428745,-200.869975600639,-192.7525595893711,-176.5661406822037,-239.9252082382617,-233.422229172498,-213.59838702137264,-235.59849607984768,-201.1495106876781,-208.30226052450016,-240.277060357908,-230.32993726228585,-203.8065440223916,-211.0086168712226,-203.0499200039241,-155.34411250976845,-231.393593502647,-226.51335886832032,-179.97713577664297,-185.7925886692153,-200.5187951676548,-257.29350050506184,-228.59837185582964,-225.445901950991,-211.06870507859168,-206.38958812742248,-196.217648077427,-222.33614415233023,-226.19708482506363,-223.08366440206288,-219.1662729191181,-200.2541406532237,-166.13389077917674,-83.38365402147174,-220.96677099859448,-220.7607243352616,-189.45762878290552,-189.06525487111023,-160.70178602363478,-109.0897280242294,-234.12039824923824,-234.2027623819412,-202.4608507563419,-202.7624534355249,-236.1291546522884,-200.53777555786075,-201.9382108378172,-199.51392057874904,-178.4500354694054,-182.8568126196141,-190.7320079686411,-106.07073981487191,-220.1505497327964,-216.897519652762,-196.9427064381972,-196.84436491898435,-186.8047736307361,-192.1931623842567,-222.3021623621601,-219.55863016083285,-179.52550352659105,-178.19793165946433,-165.03543882368243,-177.43275987654926
2,-199.6769764459368,-162.98905569333456,-136.3096723786574,-131.9308804446642,-136.78681128664817,-149.26331915631891,-206.46489476166008,-178.66659902529477,-154.75843985441227,-168.15807290561847,-147.21542151463217,-118.01084070811048,-195.3431056780988,-177.30204090502323,-163.2929255029533,-156.97877074107936,-165.3452177133714,-174.65076041668652,-192.2341867751828,-159.29422496774362,-129.3341097058941,-137.40391804799788,-108.4080974239274,-70.39695086432621,-212.62985727781623,-192.3448411028304,-177.64710134136402,-186.2296400404576,-189.7334614584909,-152.11757331732662,-208.0025321881577,-185.85062082492425,-173.99619873399325,-174.89477248474256,-173.47635000827256,-146.38021889328957,-199.4152735171113,-182.2060740486357,-164.30322938407144,-167.0162455999927,-193.5863936591905,-167.0482361632865,-223.6692967484482,-200.6550671553753,-191.53047014653865,-201.8746480962448,-207.34513609953223,-125.5078058826388,-205.0598902509691,-171.63248282941728,-143.9763230202342,-144.13015581955682,-141.96811136063425,-87.85589951602742,-203.7344228914476,-180.27175681154816,-163.20003934912037,-168.29304433619836,-165.2262560161762,-75.56058716345578,-213.21119275409268,-187.0706941260609,-147.83151289933332,-152.9726921935682,-136.8811703258846,-148.16066525881178,-215.1826804593864,-179.16802971618264,-159.23700478143124,-178.27726762163817,-195.5220816200672,-155.34411250976845,-203.1100951886316,-164.46323389154983,-141.32582473548158,-143.10504623788788,-143.87550485968765,-152.03270437251777,-202.76039902832048,-174.48702468574498,-154.15150858868572,-153.50762534525165,-137.19567577648218,-120.62760883881712,-209.80495163168973,-194.0887458393224,-167.76111070214742,-175.46178567089083,-166.13389077917674,-83.38365402147174,-202.2394543415116,-175.25944301746122,-160.30604890566232,-147.3588370353193,-142.3629180630925,-109.0897280242294,-203.9667578174393,-172.2282673857017,-137.9265643272671,-129.5120313241263,-109.40185472792014,-103.88675481686369,-191.4347331307684,-173.69201695853098,-167.7940555399825,-147.60673771607924,-131.7639092462021,-106.07073981487191,-195.14252860991832,-167.92680499707924,-147.13206865496642,-158.07526755379513,-170.40366774301975,-192.1931623842567,-199.67258727284627,-167.2182633090248,-158.03796579805245,-162.60786562845692,-143.8770096085011,-177.43275987654926
3,-173.71513151843655,-134.42174105343264,-131.3993201512289,-128.543133657265,-136.78681128664817,-149.26331915631891,-182.7299522352806,-143.60455572875628,-127.15981675562676,-123.00701112531912,-133.65805331471086,-118.01084070811048,-171.0713476277099,-142.32496051516546,-118.40756829163846,-128.8618968935864,-125.74104272792115,-107.57743062926455,-173.17050081693975,-143.0884016084852,-129.3341097058941,-137.40391804799788,-108.4080974239274,-70.39695086432621,-188.0615198140589,-152.4779263597048,-124.55010655807271,-111.18367516128754,-107.47419563213364,-134.7187015166972,-177.21471099741458,-134.99975840783188,-111.87303027634132,-116.0982931329083,-106.65313378586085,-95.26685191277063,-183.28758845970967,-153.87762836476278,-150.041184987184,-153.0318606982469,-152.97790845871816,-146.38021115856245,-206.47439706257737,-171.76678422593724,-158.9907436331251,-158.85532199036447,-129.0521150623355,-107.79651379585266,-182.89180724468343,-137.35618527641216,-127.53672355277617,-117.369731415969,-129.93477860519226,-87.85589951602742,-183.75220789192693,-148.5078056222396,-147.2452290361797,-132.84197314253484,-135.93897458369844,-75.56058716345578,-190.7872031726649,-147.11537626878138,-135.35368932953278,-135.3085613731586,-128.51310998995788,-121.25287318481132,-185.5042112591792,-142.88793509577042,-129.35293904186662,-119.90132849846968,-118.1148641844606,-103.74721071701497,-174.14710293686116,-125.69039217170304,-110.39195889798546,-114.00523614277772,-108.12301878250204,-98.64628809802234,-180.76410096400224,-141.57543390167385,-130.4265497638578,-150.23562369341414,-137.19567577648218,-120.62760883881712,-193.3113258064843,-164.2595458658617,-151.13978694134508,-142.7956537778699,-156.84000534475084,-83.38365402147174,-181.46431334534785,-148.66802664964425,-143.20701437367504,-147.3588370353193,-142.3629180630925,-109.0897280242294,-185.9176027392685,-143.45995159348718,-131.14793246893416,-129.5120313241263,-109.40185472792014,-103.88675481686369,-170.0615171409165,-141.90818564544676,-120.463421820378,-121.36792750341584,-131.45831005128332,-80.36445099124685,-168.0587415632539,-124.64482235870418,-97.95044909560616,-105.49555063287784,-105.43465078913025,-118.56134939687328,-190.7786384465196,-167.2182633090248,-158.03796579805245,-162.60786562845692,-143.8770096085011,-177.43275987654926
4,-144.04415604815722,-130.78899643443532,-131.3993201512289,-120.14454686498824,-117.49747723670096,-149.26331915631891,-144.29402303707406,-112.16545314692172,-98.52102456077937,-99.5687530876595,-96.3634630013688,-78.98891726303846,-139.75787704134402,-111.45792122348644,-94.87761693537614,-97.41131244105782,-84.93120050966797,-71.23265061195998,-139.16286939797783,-118.83345939131604,-93.80511198316512,-87.90922265641012,-79.56310766216833,-70.39695086432621,-150.89240297278462,-113.60086513689583,-91.78685102194328,-89.69190795260133,-86.13460089152679,-85.75119253210724,-141.75060909142914,-105.8593498984148,-98.18669282246644,-99.99237206788268,-106.65313378586085,-95.26685191277063,-148.71625693515742,-121.04565246726187,-94.71094228341792,-92.92660460507132,-99.34230803312936,-134.86628135082282,-168.88136303711536,-133.2367158106824,-104.34102184747752,-118.85360392280565,-106.35441182672164,-89.54419197859242,-138.7450687205745,-105.43437148681362,-78.20520267321132,-82.66748331715935,-83.53357024711323,-87.85589951602742,-161.06586376529205,-139.3548579322307,-144.39530810562198,-125.681540208759,-94.79164379529836,-75.56058716345578,-154.5807058020064,-119.35832454036712,-95.63289110983897,-98.71410598999006,-106.0699945980031,-111.39760980010033,-144.96620892112034,-112.68654914832624,-98.4329872671293,-97.22357231761389,-101.68117676393828,-103.74721071701497,-126.65672391421208,-100.46111581429568,-90.94548066695803,-88.6574852684082,-96.86930074973964,-98.64628809802234,-144.48966608952185,-112.09180919047016,-81.30788614062942,-84.75068138108472,-107.79587092351169,-70.87236466985196,-162.29428396353987,-131.76103365245982,-106.3150806445122,-111.894317466754,-115.65109104630304,-83.38365402147174,-140.68604946841316,-116.5884350285522,-99.0406264773861,-108.55947353373718,-103.9657179394964,-109.0897280242294,-156.40372502053947,-137.54471729638047,-131.14793246893416,-129.5120313241263,-109.40185472792014,-103.88675481686369,-137.69557081465786,-106.42160493176088,-93.35832500336386,-91.75806922842166,-90.54101060942573,-71.47546132085844,-133.4483839737587,-98.38568513577,-79.60168364430429,-75.91603685487527,-85.59033591012471,-70.63741550972918,-163.85905603825427,-158.7148210609124,-133.39578918315908,-148.33709387223644,-143.8770096085011,-76.07585978833959
5,-122.56018905966222,-112.59234506867162,-93.04073640299497,-98.3548971300444,-104.60053650227609,-94.73352752123029,-114.28073520235677,-88.83517375373606,-80.27383822246331,-79.89782535891601,-70.38364275767351,-72.658265980531,-112.83342332405884,-85.58660281581376,-76.5444447824583,-63.545800203734544,-57.76920941825957,-42.03433567332104,-111.52517110690836,-82.98465392363289,-67.2034602854,-68.90312448323573,-54.69460416741669,-58.07738693486899,-116.37371575037665,-82.39874312252113,-67.0542137300426,-63.481423286681526,-55.46279811693356,-66.06253273189068,-111.0036740329118,-86.41126156365738,-73.2800693367557,-78.0030899908478,-80.4198269514303,-76.55384869988484,-117.9752593808696,-84.44298231889566,-70.17394767118225,-69.51451508991275,-76.04743976951345,-95.44732979773543,-134.45815579001814,-95.86581093327302,-85.38445532855265,-81.16266594620843,-93.70371215091232,-89.54419197859242,-107.45211508171288,-76.94755610031562,-61.81083633549424,-62.83957062094007,-75.83247476282122,-74.41700956504792,-137.4281145763487,-121.1417823543758,-100.41947022973936,-91.50519953370734,-94.79164379529836,-75.56058716345578,-116.04173846983716,-83.40954019817221,-61.0785807052726,-64.69762752483712,-54.52999793693387,-37.12866181731224,-112.75762428651052,-84.7694989010215,-67.03802902200836,-61.709002043333165,-68.50137479196768,-73.29353990510572,-99.71493486975064,-80.98192627738635,-74.39623374897201,-71.95599943221082,-77.94743097526487,-80.02483088448643,-114.00387401614232,-88.51300738579302,-73.8353400082016,-66.1541865669447,-56.32806297500269,-46.9552182611078,-126.24007850312373,-89.43928964856269,-74.91748220532737,-65.75961593038326,-60.7860935235893,-56.99668509191834,-118.95257982561886,-102.91654368125675,-99.0406264773861,-105.12245443834982,-101.9240064749727,-105.16613653406966,-129.52298995426082,-115.96463310229478,-98.48600294840638,-100.89565478017552,-89.85993540370836,-72.24962544385343,-109.07001471327412,-79.08899117126619,-66.1979252432812,-62.740742445860526,-62.617528066299855,-50.67405275739729,-104.38893961712778,-80.8129699926599,-66.37391773944437,-63.14956040371806,-56.37050802974059,-70.63741550972918,-146.51720164017914,-119.02048156674664,-107.65977632683334,-109.85172159945586,-106.28531166908331,-64.68350373974536
6,-107.46892421074936,-83.17663850091907,-71.3940050744509,-65.94642854723148,-53.78413564560004,-73.4169799610041,-92.51447547244292,-75.44159034935754,-71.83453600973066,-76.8106605904852,-70.38364275767351,-72.658265980531,-84.89590498988775,-63.60901479439474,-48.223929635892894,-42.08092085713783,-49.075226411815386,-42.03433567332104,-88.73109058830973,-59.008428774303056,-47.82213482034168,-46.63377842187416,-43.60023126608226,-42.8633481265977,-83.28511529704028,-58.61591924060238,-51.0928717057794,-53.54820537698456,-50.35750611475669,-51.26466682478785,-82.36218999054755,-59.76831650628522,-48.64517921506238,-56.20029781213845,-51.29048942949623,-54.88589166551829,-93.05777433466818,-65.86972098279197,-52.74077317131552,-57.56705423687439,-53.56764978855848,-60.99528431412764,-102.10713597275873,-73.06204984985307,-65.38662788954666,-63.06752231634455,-57.41412077409681,-80.95548192849382,-82.13017199591017,-57.71005564180181,-50.136144191294186,-46.53360497571986,-47.304484275439606,-35.628595414379376,-116.12842595457164,-83.87473003053977,-63.91951274493367,-64.73404403481632,-68.30318173923996,-63.01161540467292,-89.06031635693572,-57.96449884107395,-48.11267763793323,-42.492550374105925,-46.97567596027628,-37.12866181731224,-87.4961119992515,-62.692122134818206,-53.11475355857751,-58.60082292100502,-52.0975967152993,-42.46798748080619,-80.58227185995531,-62.90718679256924,-52.15074177063391,-56.710072637064734,-62.45207496563788,-49.48010864155367,-92.82212164734068,-70.71531371659277,-67.18528663958892,-60.60712673917303,-56.32806297500269,-45.035143377259374,-98.87694124609996,-68.25068188373447,-61.15868159641599,-65.75961593038326,-60.7860935235893,-56.99668509191834,-103.2763461015168,-87.58273197048206,-72.19879196915757,-65.39815808099637,-61.85581893858267,-50.00710480187554,-107.97432260892914,-78.47422296074417,-52.97487785412028,-50.38909128651925,-45.828738527412064,-63.46931564765983,-80.93228221811587,-58.49974300378346,-51.96282737505651,-53.29557007607131,-51.271604479243976,-50.67405275739729,-80.87342162166104,-62.51262492291312,-55.058979396871294,-58.40022742287343,-56.37050802974059,-68.59045228432805,-125.32253923806014,-92.26826277851718,-73.1420413723301,-80.4806399042072,-67.34877442709636,-55.07574899373576
7,-91.16931793587165,-66.41741053554657,-54.053743909462646,-53.36380353543209,-51.3313695982052,-70.89844850143417,-73.08921592933906,-58.256853463406905,-50.37139354177576,-50.36313030885998,-50.328923813994045,-40.92457507688086,-65.9048376444545,-44.87533028304775,-38.8168000981814,-42.08092085713783,-48.08354977944458,-42.03433567332104,-61.51916244308383,-43.27536887324185,-36.47342636797126,-36.73474690650997,-35.908194216903645,-26.92586442045868,-60.61344635864846,-44.46730294619355,-39.28199114114293,-37.0022488156578,-36.94309096641373,-51.26466682478785,-61.04587924619799,-40.18940788829624,-27.97409018695588,-25.34943368033273,-25.555111996906344,-14.98700127049815,-64.71053425179261,-44.76295458507607,-34.641854697056694,-36.62006529574981,-34.996577904890295,-32.147667282354085,-74.80298593675946,-54.85395048884646,-49.92250490637554,-51.900633523950816,-46.89119933478301,-47.24599856268615,-58.22659926497762,-41.38704750493607,-33.53702307577085,-35.24505226307956,-39.92943795988278,-35.628595414379376,-93.83932406266156,-63.48570598604079,-50.56373110011045,-59.68372796081414,-68.30318173923996,-62.35296059497632,-65.76295651145058,-43.6906942242216,-35.619003975895176,-32.03052933941421,-31.48361337167793,-6.814613244310022,-66.82449363982157,-48.93179981720075,-44.505270395248665,-50.3747192708333,-45.7005316809332,-25.32619120655581,-62.10664632962906,-45.3884141539582,-38.24801274961938,-35.27443116401875,-39.32603250729095,-20.20739101972431,-68.67509727212021,-52.01842589437637,-40.52787355462699,-37.8694075272244,-37.2016323288437,-31.258139158412813,-71.04328613759158,-53.32498874264464,-43.40659574188106,-46.997461568286525,-46.66019512018771,-26.8929652285704,-82.57765874649317,-64.06663648881779,-53.41962403500977,-62.991552933132624,-58.50501240858226,-50.00710480187554,-90.6456401042027,-62.39750839497536,-50.85981997503382,-50.38909128651925,-45.828738527412064,-43.36023610513657,-57.39437628556581,-39.44915599697392,-28.244896574685555,-26.666318657913653,-31.19838638374582,-24.01462637055665,-64.60512611928446,-49.0961993534739,-42.50994247518218,-40.29845176675648,-38.59965339855757,-38.23265282344073,-95.62128322530124,-70.45938128335884,-63.75561597525608,-57.64087256953586,-50.75608294218779,-55.07574899373576
8,-66.72403337742533,-44.997111440423176,-32.1416996223075,-27.69061877310567,-28.71897789153969,-23.303908918239177,-58.90987548180522,-44.989489698882565,-42.18207409981449,-41.86330098100792,-41.62684022504836,-40.92457507688086,-49.925735884693566,-35.32862728764291,-30.64310023509024,-25.520102627263405,-39.40945877351332,-27.95312078774441,-44.93361935900338,-32.62492050334392,-25.87988046362632,-24.7342390069738,-25.1263948007999,-26.92586442045868,-43.88472906970964,-30.22882820652853,-22.117996285054325,-26.95912845767991,-21.39818927501241,-4.819097714591772,-45.32437948423012,-30.28075222106964,-24.79328574937386,-25.34943368033273,-25.555111996906344,-12.517310707457364,-49.355692446444166,-29.966347255292582,-18.72154299224596,-11.36105981651126,-4.771225096266717,-8.241964951623231,-58.13286464958465,-41.05243938651588,-32.136811903288475,-32.68859472326818,-31.451282347834205,-34.438963355030864,-41.00234868093013,-27.03694886770967,-21.68927177013364,-23.363285765023903,-22.09284056363628,-34.47611913261935,-74.09988966813313,-50.35912595922383,-37.43563281618379,-40.15824321862601,-37.79575097663328,-39.83909426061437,-46.79347496349324,-29.20725786058558,-20.36267308143462,-20.94710912593932,-22.764885872122832,-6.814613244310022,-52.7121623636268,-42.63345795557939,-42.42155049177847,-36.12907737545495,-23.453440846411976,-25.32619120655581,-47.90330423592325,-35.951741372697334,-35.47173289934202,-35.27443116401875,-39.32603250729095,-20.20739101972431,-52.72154129194872,-33.32028348791052,-22.725495998957484,-21.669645531474963,-21.160623402232304,-19.698110465006906,-54.35742094018018,-40.59844192634887,-38.19108916972517,-41.099228233860046,-37.95609267074091,-26.8929652285704,-67.46455165213266,-49.1645980631304,-45.62257790376199,-42.75595068734837,-42.54385509005282,-24.04441320670303,-72.59760115648201,-45.67630377607513,-37.41724016876047,-34.16394156357725,-31.76133937060484,-43.36023610513657,-40.60506671768282,-24.622647681495348,-20.809339376861463,-20.522372929352567,-19.555595830539243,-24.01462637055665,-50.282859398224375,-36.36990594078583,-20.597158214912053,-16.887800439923303,-25.26591428716667,-26.48027799911797,-73.23782965527718,-55.49827656086895,-48.53072542545473,-42.74322012146993,-36.64793965871329,-37.08352602794766
9,-50.61426609428406,-31.43407885252591,-25.58309845007083,-20.75468091795221,-23.675416183779017,-23.303908918239177,-47.60820603685593,-36.93058058313723,-31.658762439955098,-35.717057676857074,-32.112029508128764,-33.177712545916435,-37.19469895334126,-27.468963647751604,-18.164779373297787,-16.867402057325524,-12.121168369167137,-1.4903462103800849,-33.41126959326067,-23.31737022599147,-18.520391723498616,-18.431927364679577,-19.61292826264456,-15.68928638207726,-34.41838456189652,-22.39306324204171,-19.0256951996444,-17.864275821016054,-21.39818927501241,-4.819097714591772,-36.54484279419268,-25.09479081550373,-22.89807082563304,-25.34943368033273,-25.555111996906344,-12.517310707457364,-33.249370374600524,-18.14373156023796,-11.137423050710533,-8.647680570675075,-4.771225096266717,4.6240335866808895,-44.84106817063461,-30.38052262685029,-24.27064384655765,-23.73677625259617,-23.53802121470915,-8.282212850975338,-29.82104484184085,-16.866913883108193,-7.755714395328396,-10.893157597199606,-14.109785764043336,-4.552438587267534,-57.46495574322315,-35.9220549120548,-24.14179258050252,-23.38768976189604,-26.022759482741822,-1.904290212551132,-31.465153858782585,-17.10566924785565,-11.178080586925752,-10.122275783908554,-2.418449635365978,-6.814613244310022,-42.06213355925988,-33.02814528375014,-18.706582583899145,-14.71690125438152,-6.069768740069121,6.811976845748722,-35.168055074826924,-26.566728882453628,-16.87614171738489,-17.517355690728873,-19.361319115832448,-20.20739101972431,-40.2981831448845,-22.616128599763424,-13.39350916605541,-17.143212800894034,-12.441652699327678,-12.024633107264526,-40.58754867508281,-27.850108607520976,-22.57856082537197,-25.05860583547052,-23.47799668304652,-23.803544951557704,-52.58282692941783,-40.90312361775199,-34.615083273945785,-34.85888711128326,-33.29184651636053,-24.04441320670303,-51.947058815440165,-30.22651479378192,-16.17382535286044,-12.986791927003068,-8.08271824149182,-17.51111650058301,-29.81998932311652,-21.246470493607223,-19.90722148541594,-17.57710983374069,-19.555595830539243,-20.997382499463857,-37.999675855158,-21.191365997535065,-14.18122158948274,-15.136676779738629,-8.818225284414366,-2.2205522075295447,-57.01066831830385,-41.14347715532035,-30.39495706922171,-31.636866151103167,-36.64793965871329,-3.009211838617921
