n_policy,pack_PPO_Walker2d2_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d9_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d10_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d11_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d12_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d13_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d14_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d15_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d17_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d18_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d19_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d20_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d21_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d22_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d23_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d24_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d25_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d28_norm_from_mean_worsening_to_improvement_reward_diff,pack_PPO_Walker2d29_norm_from_mean_worsening_to_improvement_reward_diff
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,0.0,0.0,0.3216234775088755,0.5288476009476049,0.3613954337970234,0.3194370311325143,0.2381278077682263,0.0,0.2694401190212958,0.0,0.205692199649488,0.0,0.0,0.1101177085631645,0.0,0.2195806020813125,0.0
3,0.1761760909373715,1.0,0.1642552687629144,0.0,0.1513187520326992,0.7285793501782462,0.342253522429453,0.483432803535586,0.2094395473605733,0.0,0.6647176883500607,0.2393833920850734,0.445402302700135,0.1323133025903136,0.0,0.4841174245253135,0.0,0.2396005317187332,0.0
4,0.2485823536661373,0.1039410738244627,0.3481400351648281,0.0,0.6704968999115873,0.868396030411195,0.4470568301900304,0.5689171626710117,0.3509732745751663,0.0061421786755572,0.7537095585849263,0.2064265880143182,0.6374409361891133,0.5519089927912015,0.0438622938187645,0.6911740756809517,0.2095507508098792,0.3142709180208327,0.0761780026873732
5,0.2762112183382343,0.4308587683195825,0.4384474952648521,0.0,0.8443144687320208,0.8949094004472287,0.6013160113610391,0.589033407881156,0.3072584048738688,0.3732787999657894,0.8400459026351261,0.3818765373005393,0.7651828593385245,0.6024781114036496,0.0,0.7547807923919023,0.4756826067238766,0.4462235681734003,0.0
6,0.3161143458815538,0.5938503940341516,0.5210371956350778,0.0128174741379329,0.922482829115328,0.8910534853344092,0.6702579244011003,0.6737446556113579,0.0033131347941488,0.6704663447915514,0.8546227596523718,0.380641751696329,0.7984514799660447,0.7600671768734231,0.3387302941470287,0.6337836189396258,0.363279545871299,0.3786411811997652,0.1117846475655326
7,0.4511890734955366,0.5812019238582169,0.7294479002253206,0.0442137444994817,0.95694927835759,0.9459424385177146,0.7908686559004795,0.686048441471788,0.4505992746997463,0.727717317326557,0.9258108691895872,0.504688650656406,0.8091601814306021,0.8759935306362153,0.316848015041927,0.57348413032681,0.7127225859845435,0.3617793789014811,0.6344940208156846
8,0.7557443126123707,0.6364134889489931,0.7512874418937008,0.0523133010897922,1.0,0.9462447924429744,0.8694168389622149,0.5698549165029138,0.5367646009563142,0.7591023314374287,0.9734018156494542,0.5846175706280207,0.8188537184194461,0.9011906891659748,0.5024617330777924,0.5012142032357753,0.7837989854019891,0.5140946917185767,0.7230992453651754
9,0.8051590472015984,0.6339742622308431,0.7903795183390405,0.194576498938248,1.0,0.9548920762764372,0.8625571429797554,0.7247329785124571,0.3417711443611386,0.7905387113205191,0.9686873367617984,0.6024795548439988,0.820354052031162,0.9057486240973626,0.2454361595520634,0.3347077523367383,0.824565691140215,0.5840380436056242,0.7489882048256226
10,0.8811728199191562,0.6548193814053267,0.7845943434281656,0.255061924631435,1.0,0.937092610977609,0.8659478491364525,0.6871162904610056,0.3270478978753244,0.8055937349638093,0.9864790143884216,0.674226394605954,0.9085747409231826,0.9177133156159896,0.6657651510750673,0.1882786562801953,0.8572969452122521,0.5759284495453109,0.7572282483107696
11,0.8971803013614981,0.6948154543826747,0.7712772054974164,0.2414587409608796,1.0,0.948103178580274,0.8534233985384996,0.8434780245044509,0.3292414728623521,0.8178412508755626,0.9558789190561536,0.7332839903159741,0.9175436015197794,0.9274588479415228,0.8292862339547288,0.0,0.8858459751078912,0.5320529998540072,0.7589661308058813
