n_policy,pack_PPO_Walker2d1,pack_PPO_Walker2d2,pack_PPO_Walker2d3,pack_PPO_Walker2d4,pack_PPO_Walker2d5,pack_PPO_Walker2d6,pack_PPO_Walker2d7,pack_PPO_Walker2d8,pack_PPO_Walker2d9,pack_PPO_Walker2d10,pack_PPO_Walker2d11,pack_PPO_Walker2d12,pack_PPO_Walker2d13,pack_PPO_Walker2d14,pack_PPO_Walker2d15,pack_PPO_Walker2d16,pack_PPO_Walker2d17,pack_PPO_Walker2d18,pack_PPO_Walker2d19,pack_PPO_Walker2d20,pack_PPO_Walker2d21,pack_PPO_Walker2d22,pack_PPO_Walker2d23,pack_PPO_Walker2d24,pack_PPO_Walker2d25,pack_PPO_Walker2d26,pack_PPO_Walker2d27,pack_PPO_Walker2d28,pack_PPO_Walker2d29,pack_PPO_Walker2d30
0,55.17384996765852,63.77907556158304,155.3538630144368,84.92190073001385,90.91257720708848,109.41763599009543,93.1588719100952,41.937850788235664,90.09532271367311,170.41348666975543,86.14780307525396,70.39855108475685,63.120714538037774,55.29885198068619,95.803805251956,77.29054788446426,73.60653713190555,86.91931089824438,84.89602908343076,57.030620297431945,156.1245817938366,64.1025668591857,67.89920285117626,51.78080539870262,112.1197922168672,76.7144311208725,65.98026316046715,76.65751320290566,78.64900359502435,76.67703771495819
1,281.90421945428847,268.8084178737402,334.37200231978994,275.23572635614875,305.26323990356923,179.44867949974537,93.1588719100952,315.2755658427104,328.5988623311317,170.41348666975543,96.69294431877135,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,125.39443154752254,276.9330247781277,88.3684997590121,311.52106110060214,71.39696573138237,272.93644241702555,189.5733200302953,221.47219618058205,299.4103398402929,145.64361585835331,279.5878059626818,261.6645498803854,268.7577758498192,264.0047733842134,286.6360017398596
2,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,250.33055325329303,170.2114152197598,315.2755658427104,328.5988623311317,293.83773790097234,250.70919667696955,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,284.812762882924,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,266.3106456705332,299.4103398402929,266.90167002780964,279.5878059626818,275.6478972814083,268.7577758498192,264.77290043270585,286.9884639045
3,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,264.0121171847582,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,285.2169038146734,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,265.6959397854805,286.9884639045
4,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,269.1140369080305,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,285.2169038146734,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,265.6959397854805,286.9884639045
5,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,271.1007228500843,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,287.8132541822195,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,272.04890837132933,286.9884639045
6,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,271.1007228500843,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,287.8132541822195,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,272.04890837132933,286.9884639045
7,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,271.1007228500843,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,287.8132541822195,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,272.04890837132933,286.9884639045
8,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,271.1007228500843,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,287.8132541822195,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,272.04890837132933,286.9884639045
9,299.6679325175285,276.98161501967905,334.37200231978994,275.23572635614875,305.26323990356923,254.5554470256567,298.91000179302694,315.2755658427104,328.5988623311317,293.83773790097234,271.1007228500843,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,299.21300404381753,276.9330247781277,299.4218467872352,311.52106110060214,314.0798875284195,272.93644241702555,315.11211612176896,287.8132541822195,299.4103398402929,303.1104853228331,279.5878059626818,275.6478972814083,268.7577758498192,272.04890837132933,286.9884639045
