n_policy,pack_PPO_Walker2d1_relative_perc_criteria_best,pack_PPO_Walker2d2_relative_perc_criteria_best,pack_PPO_Walker2d3_relative_perc_criteria_best,pack_PPO_Walker2d4_relative_perc_criteria_best,pack_PPO_Walker2d5_relative_perc_criteria_best,pack_PPO_Walker2d6_relative_perc_criteria_best,pack_PPO_Walker2d7_relative_perc_criteria_best,pack_PPO_Walker2d8_relative_perc_criteria_best,pack_PPO_Walker2d9_relative_perc_criteria_best,pack_PPO_Walker2d10_relative_perc_criteria_best,pack_PPO_Walker2d11_relative_perc_criteria_best,pack_PPO_Walker2d12_relative_perc_criteria_best,pack_PPO_Walker2d13_relative_perc_criteria_best,pack_PPO_Walker2d14_relative_perc_criteria_best,pack_PPO_Walker2d15_relative_perc_criteria_best,pack_PPO_Walker2d16_relative_perc_criteria_best,pack_PPO_Walker2d17_relative_perc_criteria_best,pack_PPO_Walker2d18_relative_perc_criteria_best,pack_PPO_Walker2d19_relative_perc_criteria_best,pack_PPO_Walker2d20_relative_perc_criteria_best,pack_PPO_Walker2d21_relative_perc_criteria_best,pack_PPO_Walker2d22_relative_perc_criteria_best,pack_PPO_Walker2d23_relative_perc_criteria_best,pack_PPO_Walker2d24_relative_perc_criteria_best,pack_PPO_Walker2d25_relative_perc_criteria_best,pack_PPO_Walker2d26_relative_perc_criteria_best,pack_PPO_Walker2d27_relative_perc_criteria_best,pack_PPO_Walker2d28_relative_perc_criteria_best,pack_PPO_Walker2d29_relative_perc_criteria_best,pack_PPO_Walker2d30_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,0.8362443150354918,0.9362600886176634,0.9271113638821642,1.0,1.0,0.8993467586124708,0.0229182291641305,1.0,1.0,0.8799184973404197,0.7859915069785254,0.8630353943800374,0.880832110701181,1.0,0.9137802942373652,1.0,0.9013242225895732,1.0,0.9263888539323812,1.0,1.0,0.9618954346723878,1.0,0.8718010603172999,1.0,0.9210260861200716,1.0,1.0
3,0.972059186023778,0.9521604890761112,0.8419614769396649,0.8938338467786806,0.8949158509190822,1.0,1.0,0.8550471774765689,1.0,0.9314149141406582,1.0,0.9559617114961456,0.7296277019573589,0.8936147861703352,0.846144708710614,0.9572733715666012,0.939983185507396,1.0,0.7810352603569601,0.8762469500276103,0.8654731372199197,0.9486804638115526,1.0,0.8570587902849623,1.0,0.8535821239192812,0.9510985665216424,0.9312512604958872,1.0,0.9281520710892824
4,0.9455255459443884,0.9431740320004144,0.6709240876070124,0.8753063227920607,0.8184475857883989,0.9655507458256994,0.960171999303442,0.8498261193461754,0.9411671447601696,0.8750035424833817,1.0,0.8197163293208248,0.6880072736722157,0.8779145690228993,0.8365535553040495,0.92711388484851,0.9134661061956224,0.9974639383531432,0.7661209787263099,0.9109511864924008,0.8234713588650422,0.8074989908593031,0.987784007260683,0.8105497329806836,0.9118981554894302,0.8597237358643504,0.9078346866661068,0.923022469801016,0.9843124544552744,0.8483742389311996
5,0.9045830311404218,0.9448425391511164,0.5262398020305434,0.871273796555543,0.8550183267694405,0.95795488179084,0.9749138397238136,0.8057318753884786,0.7810477386781334,0.8584743063048054,1.0,0.7798354287198023,0.6851002903710863,0.847915143711652,0.8436270887476386,0.8488112850203045,0.9334628026461012,0.8630426660820936,0.7474110028041384,0.8533897938808863,0.7976007264447552,0.8053374512511221,1.0,0.8027872529908602,0.8189892227027276,0.8542000765348714,0.905927749254512,0.901600272792886,1.0,0.822995497059511
6,0.8595418345510436,0.943333107664998,0.5115406994511407,0.867257743831604,0.8276629429290123,0.9645458309184404,0.8732814640229281,0.7871458196196869,0.7173521268112192,0.8442485170940275,0.996143474914846,0.7625202685641381,0.6920488069565129,0.8393094276487488,0.8303626572433862,0.797412098824446,0.9993847400435936,0.7668107704723897,0.749106986432315,0.8675374791226302,0.7956647228738318,0.7638627797972466,0.9270226396004736,0.8439279957971757,0.8750242266503314,0.8561623525936592,0.8933307268168008,0.9243387759557096,0.9811736908272432,0.8103814916121217
7,0.8767004663249703,0.9249996557676436,0.5321557484453987,0.8678974373179275,0.7834349747411785,0.9628075684005694,0.8440579256013686,0.7837700963883726,0.7389881616409288,0.7900632884242629,0.988295147603415,0.755153217545168,0.6755842963724905,0.8158940154201337,0.8346794390640242,0.7818209150823884,0.9224118146170334,0.7563751960325994,0.731058537569569,0.8359755866229199,0.7984198567737365,0.7325841763409181,0.9378066832784808,0.866887656816081,0.7644743853296412,0.8536076279149987,0.9038771721080544,0.9337485836434046,0.8984439005720894,0.8234169969935878
8,0.8394946051650741,0.8780959582452393,0.5670829587208667,0.8611589097559261,0.7741866908981008,0.944996398657645,0.8421705607114357,0.7889114724031757,0.7266179650998893,0.7902972826609183,0.9876177380302472,0.7328740419543661,0.6776466241555318,0.800859368290716,0.8696859249727977,0.7729342718503595,0.9126339824159416,0.7532969130486046,0.7181707250163577,0.8193770426580522,0.8005218183349853,0.7282486484504731,0.9071477189613972,0.8904900963337551,0.7478022241742569,0.8537195988649527,0.911681001945514,0.9112463374846536,0.888133866951517,0.8109850954660971
9,0.9118509517410548,0.8728772782659506,0.5563701479201532,0.85347440524846,0.7760392795151116,0.9431084014196908,0.8360651283298457,0.778025319135818,0.738308639349024,0.7844071359981905,0.9577278438091616,0.7275756395267301,0.6763230551463641,0.8054023710046546,0.8391870056887901,0.7687898732520361,0.9481630926821294,0.7489237215915626,0.7205081132118657,0.8217323133636222,0.8040672738471334,0.7297048490401798,0.95815314867418,0.9319037309081692,0.7397578160381731,0.8529200643981585,0.8948528265823278,0.9036255048739514,0.887272734888034,0.8182271495473686
