n_policy,pack_PPO_Walker2d1,pack_PPO_Walker2d2,pack_PPO_Walker2d3,pack_PPO_Walker2d4,pack_PPO_Walker2d5,pack_PPO_Walker2d6,pack_PPO_Walker2d7,pack_PPO_Walker2d8,pack_PPO_Walker2d9,pack_PPO_Walker2d10,pack_PPO_Walker2d11,pack_PPO_Walker2d12,pack_PPO_Walker2d13,pack_PPO_Walker2d14,pack_PPO_Walker2d15,pack_PPO_Walker2d16,pack_PPO_Walker2d17,pack_PPO_Walker2d18,pack_PPO_Walker2d19,pack_PPO_Walker2d20,pack_PPO_Walker2d21,pack_PPO_Walker2d22,pack_PPO_Walker2d23,pack_PPO_Walker2d24,pack_PPO_Walker2d25,pack_PPO_Walker2d26,pack_PPO_Walker2d27,pack_PPO_Walker2d28,pack_PPO_Walker2d29,pack_PPO_Walker2d30
0,55.17384996765852,63.77907556158304,155.3538630144368,84.92190073001385,90.91257720708848,109.41763599009543,93.1588719100952,41.937850788235664,90.09532271367311,170.41348666975543,86.14780307525396,70.39855108475685,63.120714538037774,55.29885198068619,95.803805251956,77.29054788446426,73.60653713190555,86.91931089824438,84.89602908343076,57.030620297431945,156.1245817938366,64.1025668591857,67.89920285117626,51.78080539870262,112.1197922168672,76.7144311208725,65.98026316046715,76.65751320290566,78.64900359502435,76.67703771495819
1,281.90421945428847,268.8084178737402,334.37200231978994,275.23572635614875,305.26323990356923,179.44867949974537,61.6976026154889,315.2755658427104,328.5988623311317,88.6853096544325,96.69294431877135,327.4536276712937,338.00599676121743,297.9754402008057,311.5143174343109,125.39443154752254,276.9330247781277,88.3684997590121,311.52106110060214,71.39696573138237,272.93644241702555,189.5733200302953,221.47219618058205,299.4103398402929,145.64361585835331,279.5878059626818,261.6645498803854,268.7577758498192,264.0047733842134,286.6360017398596
2,299.6679325175285,276.98161501967905,305.0567642967701,263.10513997590544,289.6395124486685,250.33055325329303,170.2114152197598,287.7632388290167,95.56140149108232,293.83773790097234,250.70919667696955,296.58606780850886,279.178211758852,264.73733700203894,285.8085509979725,299.21300404381753,259.40227483952043,284.812762882924,289.1586598856449,314.0798875284195,264.33778748226166,315.11211612176896,266.3106456705332,289.97452406811715,266.90167002780964,253.57965441811083,275.6478972814083,253.58686625123025,264.77290043270585,286.9884639045
3,292.83656883871555,266.78210980427264,306.0802399829626,255.03083958458905,282.7383829091787,254.5554470256567,298.91000179302694,275.65449254345896,62.383032292679246,279.76734099543097,264.0121171847582,316.1333620471954,263.6846313084364,272.15823947155474,278.326113748312,289.73100571846965,264.73001668763163,299.4218467872352,261.89816996836663,282.26925671541693,257.22210927188394,302.23042247474194,285.2169038146734,264.01387462604043,303.1104853228331,249.8835173050165,265.3948494188785,255.55112493443488,265.6959397854805,271.8780235065222
4,286.3492508507967,264.8661743350029,275.4614447929859,251.50479561531543,266.3473596031666,249.55555768299104,289.46230619335176,274.2273804439306,312.9366249399282,268.19441111922265,269.1140369080305,281.11079489755633,252.2437881330252,268.3481643399,276.2572011345625,283.0379383494854,259.33839208853243,298.88292725610734,258.51822041630743,291.1899552685022,252.31580339276792,266.7925245847702,282.56215235757827,252.49685841846463,286.2838529758453,251.12948684728147,256.32381408667567,253.9703720806837,262.76163245499134,255.0998338470459
5,276.33904825651643,265.2219042966366,249.56033320236207,250.737350120306,274.18632216775416,248.45311060404777,292.9592535277605,262.1747605534792,270.31030434453487,264.80339818012715,271.1007228500843,270.8592069392204,251.4447012078762,261.0680061568022,277.7830366566181,265.6608330719471,263.4042501423359,270.3180660210848,254.2780715239048,276.39384147691726,249.2938066842556,266.2499575020075,287.8132541822195,250.5746391124725,268.5391115071774,250.0088834376336,255.9239910311699,249.855162408948,272.04890837132933,249.7623944491148
6,265.3267422194481,264.90008967065813,246.9289272091389,249.9730397624969,268.3226775132418,249.4097065330744,268.85079385364054,257.0944905377626,253.3535241615772,261.88494297981265,270.3874472754002,266.408257119298,253.3547461504936,258.9796003434658,274.92175934302804,254.2541994267702,276.80792613220217,249.8685441706181,254.6624238679409,280.0304936013222,249.0676585049629,255.8394189145565,271.764507201314,260.7623021001816,279.2412757493258,250.4069770040512,253.2828031396866,254.22323483872407,268.4079019700289,247.1095249735117
7,269.52192615282536,260.9913511691093,250.61939492177964,250.09478227710724,258.84238322246074,249.15741891622545,261.91860819220545,256.17177806305887,259.11337913250924,250.7687117431164,268.9358762238025,264.5145192553997,248.8288945119381,253.2972279920578,275.85293456053734,250.79416563630105,261.1572915613651,247.6509581387043,250.5721935665608,271.91753226184846,249.3894908220768,247.9881907594204,274.1360699362755,266.44779226922986,258.1272849327326,249.8886913866997,255.49405137228965,256.0308613669872,252.4079684125185,249.8510407013893
8,260.4253132630587,250.99136374735832,256.87199911642074,248.8123473176956,256.8600074518919,246.5723447277546,261.470901838541,257.577110035181,255.8202369925976,250.81671622896195,268.8105873453617,258.78754406762124,249.39579806661607,249.6486711215973,283.4042015656233,248.8220199432373,259.169199283123,246.99681519842147,247.651492634058,267.6508886985779,249.63502486300467,246.8999318578244,267.39373288369177,272.2924533786773,254.9430573180914,249.9114073112011,257.1302619113922,251.70817396974564,250.4140088920593,247.2364697608948
9,278.11601183581354,249.87872792315483,254.9542116601467,247.34987986683845,257.2571110496521,246.29832494139671,260.0226175752878,254.60151377534865,258.93247954154015,249.6083383383751,263.2823641374111,257.425562825799,249.0319684259892,250.75115152049065,276.8252640658617,247.902284826994,266.3932084827423,246.067500923872,248.18120330870155,268.25630930757524,250.04917611813545,247.26545211148263,278.6105435717106,282.5476924278736,253.4066502325535,249.7492030556202,253.60193819642063,250.2442100236416,250.24746603298183,248.7595564832688
10,268.94106408953667,247.6683096163273,251.7452528531552,247.2471757977009,251.7576439893245,246.6340998466015,257.7330862522125,251.95016613531112,259.0427848675251,250.8578853187561,261.56251190257075,259.06820865142345,251.2363155331612,251.192646579504,279.6235809468031,248.4844856545925,267.483184885025,246.0882588262558,247.10495032453537,264.41724360871314,247.8175349481106,246.93026211237907,263.6575362064838,290.6369741051197,252.16071807050704,250.25824421811103,252.0383190052509,251.2439879620075,250.53003351140023,249.35879316043847
