pack_seed,limit_metric,a,b,T
pack_PPO_Walker2d2,from_first_last,293,873,2930
pack_PPO_Walker2d9,from_first_last,293,1600,2930
pack_PPO_Walker2d10,from_first_last,293,838,2930
pack_PPO_Walker2d11,from_first_last,293,2334,2930
pack_PPO_Walker2d12,from_first_last,293,618,2930
pack_PPO_Walker2d13,from_first_last,293,2637,2930
pack_PPO_Walker2d14,from_first_last,293,1677,2930
pack_PPO_Walker2d15,from_first_last,293,2087,2930
pack_PPO_Walker2d17,from_first_last,293,1371,2930
pack_PPO_Walker2d18,from_first_last,293,2352,2930
pack_PPO_Walker2d19,from_first_last,293,1880,2930
pack_PPO_Walker2d20,from_first_last,293,920,2930
pack_PPO_Walker2d22,from_first_last,293,1255,2930
pack_PPO_Walker2d23,from_first_last,293,560,2930
pack_PPO_Walker2d24,from_first_last,293,2442,2930
