n_policy,PPO_Ant_seed1,PPO_Ant_seed2,PPO_Ant_seed3,PPO_Ant_seed4,PPO_Humanoid_seed1,PPO_Humanoid_seed2,PPO_Humanoid_seed3,PPO_Humanoid_seed4,PPO_HumanoidStandup_seed1,PPO_Ant_seed5,PPO_Ant_seed6,PPO_Ant_seed7,PPO_Ant_seed8,PPO_Ant_seed9,PPO_Ant_seed10,PPO_Humanoid_seed5,PPO_Humanoid_seed6,PPO_Humanoid_seed7,PPO_Humanoid_seed8,PPO_Humanoid_seed9,PPO_Humanoid_seed10,PPO_HumanoidStandup_seed2,PPO_HumanoidStandup_seed3,PPO_HumanoidStandup_seed4,PPO_HumanoidStandup_seed5,PPO_HumanoidStandup_seed6,PPO_HumanoidStandup_seed7,PPO_HumanoidStandup_seed8,PPO_HumanoidStandup_seed9,PPO_HumanoidStandup_seed10,PPO_HalfCheetah_seed1,PPO_HalfCheetah_seed2,PPO_HalfCheetah_seed3,PPO_HalfCheetah_seed4,PPO_HalfCheetah_seed5,PPO_HalfCheetah_seed6,PPO_HalfCheetah_seed7,PPO_HalfCheetah_seed8,PPO_HalfCheetah_seed9,PPO_HalfCheetah_seed10,PPO_Walker2d_seed1,PPO_Walker2d_seed2,PPO_Walker2d_seed3,PPO_Walker2d_seed4,PPO_Walker2d_seed5,PPO_Walker2d_seed6,PPO_Walker2d_seed7,PPO_Walker2d_seed8,PPO_Walker2d_seed9,PPO_Walker2d_seed10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00047774811790912697,0.001527034924142967,0.0026325291297326914,0.002418286936287317,0.0,0.042879122910240805,0.0,0.0,0.0,0.003336436202706905,0.0,0.0010993561222051862,0.0007273523633362922,0.0,0.0031401961047007043,0.0292678583960059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001110551566473987,0.00011466502385370017,2.6002096861701615e-05,7.725633111549998e-05,5.5971771583798735e-05,6.540320099367923e-05,5.189968489460045e-05,8.764426741970054e-05,9.571732237201314e-06,0.0001432576467054955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.002543588941077979,0.004870108804865492,0.005160781895893196,0.0,0.1487621852031819,0.0,0.0,0.0,0.0037736454158316113,0.0037962056420191015,0.0034365221242471933,0.0004794736584392001,0.0066459392473318946,0.0037686376329734983,0.0,0.03457173373288569,0.0,0.0,0.2993247927840894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005033243110625987,0.0001960655148145994,9.435548267820032e-05,0.00030796210040170014,0.00017248119201450363,0.0001597584161875,0.00017383715536389843,0.00020762246533340134,0.0,0.00040654751600319866,0.0010456382533928013,0.0,0.0,0.0,0.0,0.001334954411389401,0.004017129756948096,0.0048907915051901035,8.85283007240334e-06,0.001122777512021101
3,0.017400644290372025,0.00983381315046139,0.004605416831865078,0.009238208964293615,0.04697242154739967,0.0,0.05042555454629499,0.0,0.0,0.013877915957253295,0.0035971038911978004,0.003522337309064899,0.0,0.009893827753633205,0.0020310906464438006,0.0,0.0,0.0,0.0,0.0,0.0,0.11102435150546053,0.0,0.1507574762066336,0.1058680213691976,0.06246809777675949,0.0,0.0,0.0,0.0,0.0007976409117763997,0.0005687649201681008,7.110981489660134e-05,0.0005067664113808002,0.0005959918279217005,0.0,0.00024352556290420033,0.0006820936586354005,0.0,0.0,0.001620806787048297,0.0,0.0,0.0,0.0,0.0,0.0022073024917732,0.005574191091369203,0.0,0.0011067767117902017
4,0.03604989575596329,0.002564489564025274,0.005146394485116584,0.018982042129386312,0.061328583412897375,0.0,0.0,0.0,0.0,0.008631480226453908,0.0,0.007534745958144684,0.01236258133844309,0.010697792345494117,0.0017183569004065868,0.15308923564124755,0.0,0.20792439297704446,0.15695052219140032,0.1273721475368097,0.01547783713927281,0.0,0.0,0.1917300085995859,0.2156282284857125,0.1487860470067815,0.0,0.5088445502568992,0.1254225208966282,0.0,0.0005895150210191991,0.0,0.0,0.0010928569168498002,0.0016039239645441045,0.0,0.0,0.0005956152919881002,0.0,0.0019481499777765955,0.0,0.0,0.0,0.0,0.0,0.0,0.0008307764176226015,0.005788716829494403,0.0,0.0
5,0.0297295856361926,0.020265834664192572,0.007677876492683089,0.0032984702137531796,0.17410069136457307,0.0,0.0,0.0,0.0,0.0,0.0,0.012692436118333289,0.017420562369758197,0.0125070589064806,0.004406689316054091,0.2570163257336713,0.06553953577223509,0.29194226812678137,0.1910032256230928,0.18835260455917607,0.0,0.00012762297831026004,0.0461386048123974,0.27077041383771117,0.2529242653092146,0.0,0.06327424668838944,0.5372489596886445,0.14143691453272667,0.0,0.000794515462077601,0.0,0.007914241234097699,0.0016876252626218,0.0,0.0,0.0,0.0009711680065811008,0.0,0.0,0.0,0.0,0.0010522229928772997,0.0,0.0005995409300336985,0.0012627618924242051,0.0006058375476011985,0.005268489268817102,0.0,8.369878257760005e-05
6,0.03951791524997322,0.015231561231970003,0.02048991685182658,0.031885387905375095,0.29892783632835807,0.09270719254861026,0.1898789213155016,0.1557524046065074,0.0,0.006937195468900009,0.0,0.012849973004997794,0.012805680421561189,0.015709842528115914,0.010321652072381504,0.33518757247651393,0.0,0.3260574069456702,0.2061480245275914,0.21605086050616118,0.0,0.0,0.16584655893600192,0.13908882269498657,0.1185236489599154,0.012520524584119008,0.02218289538814755,0.5764341325876822,0.1926472642184045,0.0,0.0022382379538509987,0.0009925473258276946,0.006786355285999598,0.0013758543777105002,0.0,0.0,0.06578224942028829,0.0009805765457418002,0.002645540995072101,0.0,0.0009439118805247976,0.0,0.0005781645767490989,0.0,0.0,0.0,0.0,0.006147480707851899,0.004099874921676697,0.0
7,0.03914082355336829,0.04709830817325239,0.005572463106733483,0.033323288880643676,0.31341118267349327,0.24123808907014288,0.13389406460466718,0.34703386104213635,0.030118107726123222,0.004534462924336097,0.018516205448489476,0.014374692128467093,0.022512608330585798,0.015580356713536497,0.003975574550139194,0.38056542438051477,0.12463619904024203,0.40250638887269435,0.3113026706325368,0.258666092274247,0.06641563244256632,0.0742254923820519,0.04900961343427901,0.22852372980642022,0.09855317748590875,0.0,0.05590771642018055,0.6199032009441758,0.13925369834854373,0.03289239343745132,0.002363323887661299,0.0,0.006195800465249899,0.0010934250055464,0.0,0.062176529188073405,0.0696278458453576,0.0004743503340199004,0.0,0.0163118380541944,0.0,0.0,0.0,0.0,0.0,0.0,0.0015795654126984984,0.005434478230186002,0.0,0.0
8,0.07908101649554011,0.029349439345249362,0.013611046145090983,0.051132300214324494,0.35283290371975756,0.3239356970242595,0.18731968681359967,0.39153741339900816,0.0,0.023576003770323595,0.0529147275891165,0.019776927478809603,0.06735605090454069,0.0366847973459401,0.015372873771142492,0.42425488248548593,0.23652768231385718,0.46481132689266613,0.3334515979955105,0.2836783360766942,0.11467023284829464,0.07084445805337136,0.0,0.08900966423383883,0.10871256058117929,0.0,0.1033904220550147,0.6730782151356691,0.118754037411273,0.029589103205936662,0.0,0.0,0.0082006095564301,0.0,0.0229150762253574,0.08036608309802931,0.0783634046453683,0.0005740048342291002,0.0,0.024200246500927995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024858490660287016,0.0,0.0
9,0.0527076377142669,0.033691130253156676,0.03157556632209588,0.036162137680138096,0.354541953910074,0.4054617334033037,0.1951924826917295,0.44767386587741725,0.08547799473494866,0.03778061458447729,0.10372642660482839,0.0357561197916417,0.06862562624346949,0.043714864179167895,0.0005138911308125993,0.4172049813279247,0.26807762426912096,0.44549752670869214,0.3514946193199752,0.2851365168420904,0.15248345213070275,0.07857140578404953,0.01606145372270118,0.1611901917024594,0.028304057172134023,0.0,0.017138599962735923,0.6875466732858966,0.029422394499931226,0.07023859611040795,5.8752298672699876e-05,0.0,0.006335436081856098,0.0025171391481626005,0.0408588698873255,0.0934430897522408,0.08110130097482869,0.001863797845773201,0.0066127120827351,0.022872465825904895,0.0,0.0,0.0,0.0,0.0050967037554858,0.0,0.0,0.0,0.0,0.0
