process_id,degradation_level,rank_100,rank_50,rank_500,rank_25,rank_250,not_first_prob
PPO_Ant_seed1,,1,2,3,4,5,1.0
PPO_Ant_seed1,0.050936,1,2,5,3,4,0.75
PPO_Ant_seed1,0.025468,1,3,5,4,2,0.25
PPO_Ant_seed1,0.03944000000000003,1,2,5,3,4,0.0
PPO_Ant_seed1,0.03362,5,1,4,2,3,0.6158693999446542
PPO_Ant_seed1,0.026895999999999996,2,3,4,1,5,0.46664472472867524
PPO_Ant_seed1,0.02241333333333333,4,5,1,3,2,0.5188115473864985
PPO_Ant_seed1,0.0207622857142857,3,5,1,2,4,0.34570074404803697
PPO_Ant_seed1,0.018166999999999985,3,5,1,2,4,0.34570074404803697
PPO_Ant_seed1,0.020115555555555532,2,1,3,4,5,0.6016229082055554
PPO_Ant_seed1,0.020607999999999967,1,2,3,4,5,1.0
PPO_Ant_seed1,0.02759199999999996,2,3,4,1,5,0.7702422172175586
PPO_Ant_seed1,0.02529266666666663,2,3,4,1,5,0.7702422172175586
PPO_Ant_seed1,0.02552676923076919,2,3,4,1,5,0.7702422172175586
PPO_Ant_seed1,0.02552171428571424,2,3,4,1,5,0.39932663490052367
PPO_Ant_seed1,0.023820266666666628,1,3,4,2,5,0.24598047541289036
PPO_Ant_seed1,0.022506499999999957,1,4,2,3,5,0.3503746112070635
PPO_Ant_seed1,0.021182588235294078,1,4,2,3,5,0.44510816519142804
PPO_Ant_seed1,0.02000577777777774,1,2,3,4,5,1.0
PPO_Ant_seed1,0.023679578947368392,3,4,1,5,2,0.4494515404135197
PPO_Ant_seed1,0.02249559999999997,3,4,1,5,2,0.4494515404135197
PPO_Ant_seed1,0.02269142857142854,3,4,1,5,2,0.4494515404135197
PPO_Ant_seed1,0.02165999999999997,1,2,3,5,4,0.75
PPO_Ant_seed1,0.02071826086956519,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01985499999999997,1,2,3,5,4,0.75
PPO_Ant_seed1,0.01906079999999997,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01832769230769228,1,2,3,4,5,0.25
PPO_Ant_seed1,0.017648888888888863,1,2,5,3,4,0.25
PPO_Ant_seed1,0.017018571428571404,1,2,3,4,5,1.0
PPO_Ant_seed1,0.01643172413793101,1,2,3,4,5,1.0
PPO_Ant_seed1,0.016641599999999975,2,3,4,5,1,0.0
PPO_Ant_seed1,0.01693961290322578,2,3,4,5,1,0.0
PPO_Ant_seed1,0.016410249999999973,1,4,2,5,3,0.5595331199851321
PPO_Ant_seed1,0.015912969696969672,1,4,2,5,3,0.5
PPO_Ant_seed1,0.015444941176470564,2,4,1,5,3,0.0
PPO_Ant_seed1,0.015003657142857119,1,2,3,5,4,0.7810565512027937
PPO_Ant_seed1,0.014586888888888865,1,2,3,4,5,1.0
PPO_Ant_seed1,0.014192648648648627,1,2,3,5,4,0.75
PPO_Ant_seed1,0.015203368421052606,2,1,3,4,5,0.0
PPO_Ant_seed1,0.014813538461538437,1,4,2,5,3,0.5
PPO_Ant_seed1,0.014443199999999979,3,4,1,5,2,0.25
PPO_Ant_seed1,0.014090926829268272,1,2,3,5,4,0.5112082921273573
PPO_Ant_seed1,0.014836190476190458,1,2,3,5,4,0.75
PPO_Ant_seed1,0.014491162790697657,1,2,3,4,5,1.0
PPO_Ant_seed1,0.014547636363636348,1,2,3,4,5,1.0
PPO_Ant_seed1,0.014999822222222209,2,3,1,4,5,0.0
PPO_Ant_seed1,0.014673739130434769,1,5,2,3,4,0.75
PPO_Ant_seed1,0.014361531914893604,3,5,1,4,2,0.25
PPO_Ant_seed1,0.01406233333333332,1,2,3,4,5,1.0
PPO_Ant_seed1,0.013775346938775497,1,5,2,3,4,0.75
PPO_Ant_seed1,0.013499839999999987,3,5,4,1,2,0.25
PPO_Ant_seed1,0.01473003921568626,4,1,5,2,3,0.0
PPO_Ant_seed1,0.014446769230769218,1,2,3,5,4,0.8381693929044829
PPO_Ant_seed1,0.015173433962264135,1,2,3,4,5,0.3148044481554182
PPO_Ant_seed1,0.016712444444444426,1,4,2,5,3,0.835286772188901
PPO_Ant_seed1,0.016408581818181802,1,4,2,5,3,0.5946440534584824
PPO_Ant_seed1,0.01611557142857141,1,2,3,5,4,0.9445979313844732
PPO_Ant_seed1,0.016637894736842084,1,2,3,5,4,0.9445979313844732
PPO_Ant_seed1,0.0163510344827586,1,2,3,4,5,0.75
PPO_Ant_seed1,0.016073898305084728,1,4,2,5,3,0.5
PPO_Ant_seed1,0.01580599999999998,1,2,3,5,4,0.8563272214660176
PPO_Ant_seed1,0.0163126557377049,1,2,3,5,4,0.75
PPO_Ant_seed1,0.016049548387096754,2,1,3,5,4,0.0
PPO_Ant_seed1,0.01593777777777776,5,1,2,3,4,0.0
PPO_Ant_seed1,0.01568874999999998,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015447384615384595,3,1,4,2,5,0.25
PPO_Ant_seed1,0.016944606060606042,5,1,3,2,4,0.25
PPO_Ant_seed1,0.016691701492537292,5,1,3,2,4,0.25
PPO_Ant_seed1,0.016446235294117626,2,3,4,1,5,0.0
PPO_Ant_seed1,0.016207884057970995,1,2,3,4,5,1.0
PPO_Ant_seed1,0.015976342857142837,4,1,2,5,3,0.5
