n_policy,HalfCheetah1_500,HalfCheetah2_500,HalfCheetah3_500,HalfCheetah4_500,HalfCheetah5_500,HalfCheetah6_500,HalfCheetah7_500,HalfCheetah8_500,HalfCheetah9_500,HalfCheetah10_500,Walker2d1_500,Walker2d2_500,Walker2d3_500,Walker2d4_500,Walker2d5_500,Walker2d6_500,Walker2d7_500,Walker2d8_500,Walker2d9_500,Walker2d10_500,Ant1_500,Ant2_500,Ant3_500,Ant4_500,Ant5_500,Ant6_500,Ant7_500,Ant8_500,Ant9_500,Ant10_500,Humanoid1_500,Humanoid2_500,Humanoid3_500,Humanoid4_500,Humanoid5_500,Humanoid6_500,Humanoid7_500,Humanoid8_500,Humanoid9_500,Humanoid10_500,HumanoidStandup1_500,HumanoidStandup2_500,HumanoidStandup3_500,HumanoidStandup4_500,HumanoidStandup5_500,HumanoidStandup6_500,HumanoidStandup7_500,HumanoidStandup8_500,HumanoidStandup9_500,HumanoidStandup10_500,Walker2d1_100,Walker2d2_100,Walker2d3_100,Walker2d4_100,Walker2d5_100,Walker2d6_100,Walker2d7_100,Walker2d8_100,Walker2d9_100,Walker2d10_100,Ant1_50,Ant2_50,Ant3_50,Ant4_50,Ant5_50,Ant6_50,Ant7_50,Ant8_50,Ant9_50,Ant10_50,Humanoid1_25,Humanoid2_25,Humanoid3_25,Humanoid4_25,Humanoid5_25,Humanoid6_25,Humanoid7_25,Humanoid8_25,Humanoid9_25,Humanoid10_25
0,-0.21837288,-0.214721478,-0.21705114,-0.219075964,-0.229666472,-0.221847184,-0.22100734,-0.2168073639999999,-0.200496032,-0.210804104,55.234054244,63.824614428,160.275101782,84.95159521599999,90.970551828,106.196008778,92.679413384,41.96222612399999,90.470970236,176.816197064,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,999.380266678,996.269118626,1004.875045108,998.0239637,175.89577315999998,245.87332876,206.562510592,204.790916302,216.01820702,177.260686668,251.706856034,183.545274314,193.862155158,197.345457072,28818.505250042,28613.86783755,28934.440730740003,27961.779043038,29195.052047798,30347.531402754,27802.749542666003,28747.62303531,31924.261454946,28624.372688134,55.234054244,63.824614428,160.275101782,84.95159521599999,90.970551828,106.196008778,92.679413384,41.96222612399999,90.470970236,176.816197064,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,999.380266678,996.269118626,1004.875045108,998.0239637,175.89577315999998,245.87332876,206.562510592,204.790916302,216.01820702,177.260686668,251.706856034,183.545274314,193.862155158,197.345457072
1,-0.45573648,-0.716140044,-0.349304556,-0.219075964,-0.351156186,-0.50951489,-0.49381987,-0.634355082,-0.250178722,-0.498930736,266.761009718,260.555415532,249.142477732,255.186807744,257.031563194,264.011048322,274.69717813,308.71282458200005,263.940038698,264.797668798,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,999.380266678,996.269118626,1004.875045108,998.0239637,292.722506052,225.235489824,280.920623784,276.61624597400004,204.036932162,345.02891606199995,331.72766882800005,270.090107916,359.588717592,203.755493972,28818.505250042,38430.71443779,35984.72666298801,38527.046945094,38829.571435694,38093.634805884,35107.62657610799,38570.606506368,38928.70112948,32941.171726254004,266.761009718,260.555415532,249.142477732,255.186807744,257.031563194,264.011048322,274.69717813,308.71282458200005,263.940038698,264.797668798,998.512079972,991.72785635,991.212782462,999.360775078,1001.544877796,997.562588444,994.17783483,996.269118626,1009.357643854,983.052715104,292.722506052,225.235489824,206.562510592,276.61624597400004,204.036932162,177.260686668,251.706856034,183.545274314,193.862155158,197.345457072
2,-1.294152466,-1.072096168,-0.696967624,-1.77224848,-0.351156186,-0.9245243679999998,-1.1347884979999998,-1.205945492,3.328476342,-0.498930736,261.947758892,261.631938972,253.004016894,261.48631101,258.75443512,257.42761918400004,255.980974582,282.995314954,263.896811104,258.50300996,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,999.380266678,996.269118626,1004.875045108,980.056547338,462.363472276,174.27368283399997,395.660802654,382.774366412,264.120495892,328.555137756,480.917541794,272.8319384100001,210.57769985000004,306.336869308,43583.917844556,82953.13108462599,47342.993598388,105851.91004614202,85022.131867998,60859.57899107801,41169.559389098,75053.46351963001,85115.94754721201,39739.67688987801,261.947758892,261.631938972,253.004016894,261.48631101,258.75443512,257.42761918400004,255.980974582,282.995314954,263.896811104,258.50300996,1075.4151531200002,991.72785635,991.212782462,999.360775078,987.854861486,997.562588444,983.117772856,996.269118626,1009.357643854,980.056547338,462.363472276,174.27368283399997,206.562510592,276.61624597400004,264.120495892,328.555137756,480.917541794,272.8319384100001,210.57769985000004,306.336869308
3,-1.923209684,-2.701873018,-0.578734122,-2.774895856,-0.351156186,98.30670335,-1.1347884979999998,-3.4663827100000004,7.498796635999999,0.769024364,259.30016025000003,273.530491634,261.089909764,281.321995472,269.32838559,266.715029024,264.413138224,279.40175848800004,276.228269984,258.592715692,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,982.711673648,996.269118626,1004.875045108,988.340503822,441.2733275,386.90622804,368.394738056,435.055962832,470.14055136,364.338379428,508.2456994740001,483.290033174,429.093609272,382.816291894,46236.568214846,76218.994548352,85532.96891684801,94109.39047471,76615.665116492,56702.742948236,66160.580975324,110531.30639944,89895.29353016401,44870.995478908,259.30016025000003,273.530491634,261.089909764,281.321995472,269.32838559,266.715029024,264.413138224,279.40175848800004,276.228269984,258.592715692,1075.4151531200002,991.72785635,991.212782462,999.360775078,987.854861486,997.562588444,983.117772856,996.269118626,1009.357643854,980.056547338,441.2733275,386.90622804,368.394738056,435.055962832,470.14055136,364.338379428,508.2456994740001,483.290033174,429.093609272,382.816291894
4,-1.478372072,6.296762468,38.976624178,-5.730777972,-0.351156186,98.30670335,-1.1347884979999998,-3.0543894819999995,12.682550428,-3.149188064,274.88667782,275.052052952,275.410168384,289.658316642,280.842784316,269.413139568,270.82650890200006,278.273706366,285.15888298999994,265.936216138,998.512079972,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,982.711673648,996.269118626,1004.875045108,989.831498174,434.827555232,506.479461388,431.3310147,452.906318798,407.470977618,388.849986724,410.665677778,399.888089216,365.68471768,376.011349146,52190.810229538,83302.773012794,88539.212659652,90918.034559094,67900.13874856601,50958.85806501401,73111.35133600401,68551.719915204,79769.72824318,78352.65403825998,274.88667782,275.052052952,275.410168384,289.658316642,280.842784316,269.413139568,270.82650890200006,278.273706366,285.15888298999994,265.936216138,962.962367768,991.72785635,991.212782462,999.360775078,987.854861486,997.562588444,983.117772856,996.269118626,1009.357643854,980.056547338,434.827555232,506.479461388,431.3310147,452.906318798,407.470977618,388.849986724,508.2456994740001,483.290033174,365.68471768,376.011349146
5,-1.916529508,6.983351756,-1.277261646,-8.730425808,10.783559204,241.551631396,355.099095792,-4.843567298,21.347374662000004,16.853620638,290.9149307639999,279.217283592,270.58527946999993,322.01005645799995,278.056012908,263.185733324,271.87452127200004,281.009246674,313.07989516600003,265.466973322,982.677722344,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,982.711673648,996.269118626,1004.875045108,977.014562046,384.194013144,534.1840657199999,479.47527938,466.373604784,364.926729428,357.619739756,371.235642838,381.792821844,335.32719240200004,419.525751974,64460.06615891599,83295.03209335198,84264.339819786,84761.567040558,64938.64112667,72273.33573107001,68467.1248466,66208.36110027399,78476.860047464,86321.521976702,290.9149307639999,279.217283592,270.58527946999993,322.01005645799995,278.056012908,263.185733324,271.87452127200004,281.009246674,313.07989516600003,265.466973322,962.962367768,991.72785635,991.212782462,999.360775078,987.854861486,997.562588444,983.117772856,996.269118626,1009.357643854,980.056547338,384.194013144,506.479461388,479.47527938,452.906318798,364.926729428,388.849986724,371.235642838,381.792821844,335.32719240200004,419.525751974
6,-5.002267968,2.643042566,4.459459138000001,-7.158044112000001,46.708841314,438.743325956,9.31237416,-4.888390698,7.615524471999999,48.778228336,286.56994374400006,286.06921131599995,272.759038466,324.875312216,297.64897598,271.03851322,283.88774702,276.387199144,293.06056495,269.948370454,982.677722344,995.858367966,1002.250466546,999.360775078,1001.544877796,997.562588444,982.711673648,996.269118626,942.02717708,977.014562046,328.1478807,489.563840814,376.804104398,406.730514748,332.92605549600006,418.579158768,355.22522704,373.745026578,321.53834026600003,451.53893191200007,76305.435156796,87648.29624741,73173.05771709401,95018.263425362,75610.74303345999,71440.17817195,71483.163000856,62975.591183048,74342.56474384,89021.426544612,286.56994374400006,286.06921131599995,272.759038466,324.875312216,297.64897598,271.03851322,283.88774702,276.387199144,293.06056495,269.948370454,962.962367768,991.72785635,991.212782462,999.360775078,983.71168066,997.562588444,983.117772856,996.269118626,942.02717708,980.056547338,328.1478807,489.563840814,479.47527938,406.730514748,332.92605549600006,418.579158768,355.22522704,373.745026578,321.53834026600003,451.53893191200007
7,-5.269620232000001,15.56947107,7.463174292,-5.733643064,90.386298576,165.267727716,-10.902139516,-2.476668794,42.07327565,15.97107934,291.61881231200005,302.242179582,289.292637062,342.289528172,331.695994586,283.265783512,276.528396048,280.136418072,313.28401774400004,278.101109508,953.320635584,868.4610793200001,1002.250466546,999.360775078,1001.544877796,982.090926882,931.35557966,996.269118626,942.58213747,979.06995162,321.64500388,418.075514762,407.076190314,333.48209744599995,314.34989222599995,359.18875828200004,319.34731387999994,317.86689518400004,300.323461946,422.338820018,73678.551727768,83146.17942893601,83998.332712926,88052.166794202,77196.50143611,73989.536830214,69007.81615147,59389.40063912,78653.11466147199,85908.284581992,291.61881231200005,302.242179582,289.292637062,342.289528172,331.695994586,283.265783512,276.528396048,280.136418072,313.28401774400004,278.101109508,953.320635584,991.72785635,991.212782462,890.412415074,983.71168066,997.562588444,983.117772856,950.3068805,942.58213747,980.056547338,321.64500388,418.075514762,407.076190314,333.48209744599995,314.34989222599995,359.18875828200004,319.34731387999994,317.86689518400004,300.323461946,422.338820018
8,2.253710544,21.221547572,-2.733805288,11.656684002,40.647904058,85.26327584,-56.820913436000005,-2.9514346900000006,88.677722532,0.1055349179999999,299.650958718,321.33921254,297.927668974,369.975572938,356.43128893,293.43196841800005,299.43431266,295.641351954,327.076675124,294.751661334,953.320635584,868.4610793200001,1002.250466546,832.1869924560001,1001.544877796,845.369247536,905.79083256,784.984758686,942.58213747,979.06995162,303.945047676,378.272930252,378.187931584,316.440117344,296.464900476,305.871342846,290.10727563000006,306.09717583,287.87177068999995,401.123336864,81136.96583598,83351.254680396,104663.236577308,98918.935638426,76389.794036636,76066.972367868,65522.663015094,55002.471259754006,80308.08582372799,86220.928642206,299.650958718,321.33921254,297.927668974,369.975572938,356.43128893,293.43196841800005,299.43431266,295.641351954,327.076675124,294.751661334,953.320635584,991.72785635,991.212782462,832.1869924560001,983.71168066,845.369247536,983.117772856,784.984758686,942.58213747,980.056547338,303.945047676,418.075514762,407.076190314,333.48209744599995,296.464900476,359.18875828200004,290.10727563000006,306.09717583,287.87177068999995,401.123336864
9,2.128136392,31.118708698,6.752951290000001,-1.038226634,1.699943356,27.745716326,-71.21276236599999,-9.096162058,54.35401640199999,2.776030928,318.448932942,325.99931079000004,309.292487212,416.42456919,332.740915864,308.48644991000003,333.93660976800004,308.803147622,340.243224392,315.10539023,911.000789472,904.726460852,1002.250466546,881.1309806359999,871.818043548,643.4111287700001,830.173243942,780.3042775099999,942.58213747,995.57392822,303.177701332,339.03422634,373.930959838,294.943489424,299.35089241800006,290.837478668,299.171344612,296.509294042,287.145853542,384.49848224,73681.626013252,82882.579832748,103175.097250878,93296.784898022,82774.643793006,80393.64572425601,71853.40605646199,53808.825990478,87519.97549095801,82373.60624042401,318.448932942,325.99931079000004,297.927668974,416.42456919,332.740915864,308.48644991000003,333.93660976800004,308.803147622,340.243224392,315.10539023,953.320635584,904.726460852,991.212782462,832.1869924560001,983.71168066,643.4111287700001,983.117772856,784.984758686,942.58213747,980.056547338,303.177701332,339.03422634,373.930959838,294.943489424,299.35089241800006,290.837478668,290.10727563000006,306.09717583,287.87177068999995,384.49848224
