n_policy,pack_PPO_BipedalWalker1,pack_PPO_BipedalWalker2,pack_PPO_BipedalWalker3,pack_PPO_BipedalWalker4,pack_PPO_BipedalWalker5,pack_PPO_BipedalWalker6,pack_PPO_BipedalWalker7,pack_PPO_BipedalWalker8,pack_PPO_BipedalWalker9,pack_PPO_BipedalWalker10,pack_PPO_BipedalWalker11,pack_PPO_BipedalWalker12,pack_PPO_BipedalWalker13,pack_PPO_BipedalWalker14,pack_PPO_BipedalWalker15,pack_PPO_BipedalWalker16,pack_PPO_BipedalWalker18,pack_PPO_BipedalWalker19,pack_PPO_BipedalWalker20,pack_PPO_BipedalWalker23
0,-91.990558762,-91.900427646,-92.000417254,-91.754107968,-92.033578786,-91.912905142,-92.085521568,-99.791115496,-91.956898108,-91.99522152,-91.890224916,-91.99535203,-91.931053172,-92.032586214,-91.941705944,-92.045672984,-92.05999627,-91.938232204,-91.991310538,-91.980688504
1,1.490089756,-111.936073912,-91.991327304,-8.473888675999998,-92.8046612,-111.735456936,-100.236154534,-92.813150872,-91.957374406,-93.03960891,-111.275797088,-111.910594158,-111.731497976,-112.13912263000002,-73.510767152,-92.31425704999998,-93.180539526,-92.495833618,-6.866985025999999,-92.56530758
2,-10.013317532,-105.232780048,-18.606664978,-111.743697316,-56.91788482,-96.36068315599998,-97.987658716,-0.387710856,-92.127473536,-87.091633174,-111.633089038,-92.07278909,-47.962836280000005,-112.878419606,-93.055611048,-116.048039842,-91.969923212,-93.939043512,-115.253386324,-92.65072189
3,-9.562348322,-89.758320824,-19.503534204,-109.21081603,-99.62252927,-15.675606104,-21.904956286,-4.5678236,-92.281934762,-45.918804168,-93.407207986,-14.572529048,-3.35578008,-12.43487075,-19.18293071,-115.45101401799998,-101.296331066,-93.226841496,-92.043781482,-92.244486606
4,-18.306522014,-95.992118654,-13.763412906,-100.325420654,-100.511414028,-24.951892436,-52.67193914,-15.064720114,-92.774495068,-18.476181132,-23.141336086000003,-109.167960928,-13.352055658,-18.156033586,-12.34997472,-92.969869606,-25.022942638,-93.531212156,-17.817673504,-104.96984287
5,-21.720954778,-31.672562258,-24.978291486,-95.432553152,-100.928537286,-30.560062344,-39.194386174,-32.671513064,-90.449349428,-18.937260088,-88.637813066,-7.73770426,-23.620001206,-23.044546424,-21.953157058,-102.258634048,-34.175871318000006,-95.801812848,-23.991212492,-68.30274475399999
6,-28.486832124,-39.721474154,-33.661284902,-37.227847668,-104.436030858,-103.127137346,-36.956167134000005,-28.360091684,-95.925725194,-49.837480588000005,-93.966155262,-22.084211908,-30.538050792000003,-30.887733076,-32.064801448,-93.667573796,-42.12565558399999,-33.726537914,-94.216020844,-42.257692574
7,-28.906698654,-33.363723178,-33.666352642,-39.24938017,-101.460622158,-45.149258504,-59.504551662,-34.90851124200001,-93.104259194,-104.818214602,-103.39343788,-17.675285510000002,-37.325294376,-29.04563792,-26.69236193,-67.224709684,-98.591497194,-94.099173876,-43.033903412,-45.798904384
8,-29.031118998,-31.546961546,-41.787048308,-41.348347800000006,-110.76453597,-38.164762856,-47.977394992,-26.76449513,-46.841798292,-99.45453006,-94.308767644,-24.28897359,-31.321389546,-120.999841516,-24.772228352000003,-31.952999234,-65.408389976,-94.050426476,-97.307166464,-46.44668538
9,-31.588106552,-30.678711084000003,-43.345618528,-26.08346106,-106.023262868,-80.67831030800002,-36.356374226,-32.792000984,-61.467091908,-79.617620432,-95.94505737,-36.27442947800001,-31.25587546,-36.170978178,-35.08573415200001,-25.377292912,-93.510912094,-97.99233501,-93.31164633,-92.687888936
10,-31.810162154,-35.54768707,-40.485220536,-35.26327316,-102.308247406,-38.440128984,-26.388903146,-27.948702004,-57.07272990999999,-56.977244774000006,-46.168423304,-43.203575472,-18.99131757,-53.27249653799999,-32.153337678,-30.984391328,-87.39265965399998,-39.249038256,-92.461672856,-91.676750574
11,-9.77270797,-34.258104460000006,-28.754175818000004,-32.654761392,-101.248591748,-36.747724572,-22.484542316,-40.799590814,-102.245190842,-40.623361298000006,-100.954815642,-49.810620466,-29.827620714,-35.373364104000004,40.793240402,-37.541585142,-104.721972382,-93.812579894,-93.04261469,-50.516249888
12,59.897271662,-6.994889359999999,-36.117328738000005,-21.963621854,-109.766510546,16.794186011999997,88.187363452,-35.98566297600001,-103.334980956,-99.331754964,-70.60377985,18.058055192,-29.13183864,43.42609454400001,76.670180284,-41.069457652,-36.641503424,-94.394513158,-47.275505816,-33.45469232800001
13,-81.959351656,22.766969126,34.621236636,-90.391789728,-80.47773747599999,96.299204482,-54.081994284,41.049607432,-50.480234416,-101.196904048,-39.136868432,59.85650642800001,56.312305184,94.622568846,-96.1554638,-22.590412734,-33.317234902,-50.948964218,-28.180689322,-19.124738546
14,9.254686108,95.157477434,151.992993842,-98.44170149,-82.272902462,128.429899746,128.67710111000002,86.86412402399999,-46.113654686,-99.228623474,-87.35337390999999,97.577184584,46.16928643599999,113.959638826,-85.92333531999999,3.6042623040000006,-104.528918324,-97.174662908,-30.713051078,103.628864818
15,-9.128189219999998,-58.259023982,142.94407664599998,-40.251350656,-52.86604656,141.816549404,-40.940868268,100.287570398,-106.432989058,-75.829842534,-74.67271366,109.988541654,105.610059748,113.507330984,138.185005452,-118.733319324,119.055350466,-40.157757924,-33.630357812,119.887021916
16,128.57660366800002,96.106976436,195.25731412,-32.319290384,-46.05468343,140.245856518,-9.909975071999998,114.699859084,-98.41062595799998,-56.066221256,-99.747415074,158.966040836,119.175391024,123.11294068,-58.935879514,-105.364503562,-78.24412347399999,-85.789224252,-110.06077171,135.903866668
17,157.43583417000002,-75.91452402,192.082945112,-32.66287703,-110.32980354,124.51423141,143.88032988999998,119.072134256,-40.220549798,-50.99986483,-32.944608916,189.15846708,139.566074818,113.546207346,153.1714048,-91.382695424,104.106989616,14.589265026,-28.301782386,106.127719016
18,-94.087470534,103.951326106,192.91704924,58.873770834,-112.823893862,120.158776922,63.189958026000006,116.230996342,-37.309082262,-45.5116969,69.01908108999999,210.817626688,140.61912845999998,134.053074332,160.08113458800003,-87.548824038,93.420764884,61.398095868,-33.266026126,129.494265786
19,-107.25173930399998,-100.770749578,209.785572602,137.762885804,-88.30176306,117.971124892,173.84921302800004,101.510381336,-24.115908532,-1.0657762760000002,160.81590025,202.48603839,134.96531039200002,139.686449358,158.411093466,148.03363755799998,90.23281596,110.13098127,-35.331596588000004,160.626025972
20,-118.185668456,57.96291485,225.663110948,147.486649876,54.439264742,85.02161421599999,21.769950706,104.383753078,-97.104064932,67.027154454,174.16601963999997,194.854866338,125.30072787200002,-84.412056366,-114.74983267,53.44591461,-63.735472314,54.16611961,-35.981926192,174.620526152
21,-116.385157262,-115.70045241,223.769874108,151.805408378,48.6029946,-33.717269931999994,133.867516826,122.502434364,-90.42483217,146.875319322,183.797784316,164.194299736,116.490855106,150.703537374,-117.80418353,146.09924053,56.027370148,120.600376188,70.12011834799999,184.047774788
22,-111.90939323,220.50202176,190.15151131200005,162.88600840599997,-113.412780198,-15.436713036,-34.251877134,97.430976216,118.208291248,91.133602148,187.956438812,218.226618918,117.565835652,89.589541192,-113.70423648,138.789648508,-107.877654232,128.962080182,94.699110314,189.453305774
23,-45.43298574400001,-110.872184246,-5.2413477560000015,153.78516955400002,151.69223508800002,39.22258033,-55.547732778,-4.950796781999999,-89.959151738,130.26882899,192.606364636,248.312667188,102.916259602,17.428279512,-105.442742766,136.61996035399997,59.71984294,134.825128288,102.214896252,207.282809128
24,139.746842576,-118.135802802,240.26629483,164.759604658,-114.80269216,22.079168637999995,-82.82250167999999,126.396384092,-91.361041834,137.92402337800002,151.110238006,252.709281634,125.590626188,154.77349316000002,-103.845176248,137.23316221,62.851311364,152.3560855,98.642491646,94.26893729
25,92.185174062,-71.49410579,230.322036992,158.855433628,141.62970299600002,-45.746286168000005,-40.237283792,-29.587552686,-93.50049549,141.32652408599998,191.272685418,258.69275848,140.74632386000002,29.297309236,-110.73796662,107.614443672,89.724945902,163.511949396,116.440420218,139.31286680600002
26,85.110330092,251.97308949600003,188.567142086,166.011708704,146.880922194,-1.4684624520000005,-29.692357702,-47.083634668,-98.36995221,152.86330426399996,176.95082845,265.154965098,-91.998998482,-79.979461174,-114.023268816,110.501076386,132.10578261599997,180.957518306,125.269571516,215.331315512
27,-110.475623732,230.644342698,200.404341176,115.668420454,-124.59836781999998,18.325762782,-81.952986174,-77.74923699200001,121.816146328,147.75196536,177.44101189000003,259.011001204,128.19841318000002,-74.800531728,-104.697921266,126.879607576,118.457184004,192.493364314,100.506168746,242.57222115200005
28,40.13044272,254.488201576,142.644172962,174.64579979799998,-115.771865102,-40.870356068,3.120336401999999,-41.050004206,128.077062656,162.908716288,186.8310401,255.178663034,88.72318856,-94.406409946,-105.62847341,77.53486612,176.398303282,196.828385614,151.964086674,196.746443764
29,-80.156701308,257.839179888,128.45449724199997,208.670217202,156.48450523399998,-113.835753752,152.43496049,15.215572134,133.258173462,185.102275708,179.700574518,254.649249324,-18.413731908000003,-83.897694968,-48.139167938,-7.579382489999999,205.05476322,212.323622462,171.25628379000003,246.431433486
