n_policy,pack_PPO_BipedalWalker1_relative_perc_criteria_best,pack_PPO_BipedalWalker2_relative_perc_criteria_best,pack_PPO_BipedalWalker3_relative_perc_criteria_best,pack_PPO_BipedalWalker4_relative_perc_criteria_best,pack_PPO_BipedalWalker5_relative_perc_criteria_best,pack_PPO_BipedalWalker6_relative_perc_criteria_best,pack_PPO_BipedalWalker7_relative_perc_criteria_best,pack_PPO_BipedalWalker8_relative_perc_criteria_best,pack_PPO_BipedalWalker9_relative_perc_criteria_best,pack_PPO_BipedalWalker10_relative_perc_criteria_best,pack_PPO_BipedalWalker11_relative_perc_criteria_best,pack_PPO_BipedalWalker12_relative_perc_criteria_best,pack_PPO_BipedalWalker13_relative_perc_criteria_best,pack_PPO_BipedalWalker14_relative_perc_criteria_best,pack_PPO_BipedalWalker15_relative_perc_criteria_best,pack_PPO_BipedalWalker16_relative_perc_criteria_best,pack_PPO_BipedalWalker18_relative_perc_criteria_best,pack_PPO_BipedalWalker19_relative_perc_criteria_best,pack_PPO_BipedalWalker20_relative_perc_criteria_best,pack_PPO_BipedalWalker23_relative_perc_criteria_best
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8769434372742398,0.3345683875131758,1.0,1.0,1.0,0.7756203106329501,0.2758676322905837,1.0,1.0,1.0,1.0,0.9961116686655233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.8817676358345778,1.0,0.987780033065658,0.0245268323758558,1.0,1.0,1.0,0.9579479922328744,1.0,1.0,0.9231629686237068,1.0,1.0,1.0,1.0,0.0248736229861025,1.0,0.3559566127761976,0.2141376091838956,0.6062911080075709
4,0.7882277018415411,0.7189166185923046,1.0,0.1105674234548479,1.0,0.9034322221859018,0.6072193003279436,0.8523490285754864,1.0,1.0,1.0,0.0281763688943333,0.9077627740598436,0.9430410125771034,1.0,0.9614956046848372,1.0,0.2038329923313305,0.8989662139635771,1.0
5,0.7517021447542629,1.0,0.8566550614576708,0.1579468808823,1.0,0.8450501837023298,0.7792778576773343,0.6752243816505156,1.0,0.993816285413101,0.2598578421705937,1.0,0.8130188060627562,0.8943717561273101,0.8810097686489801,0.5745019178974836,0.8799983995907024,1.0,0.8420076018677078,1.0
6,0.6793248404323184,0.8997189167264789,0.7456718574308673,0.721564711209675,1.0,0.0896141261457419,0.8078516455174449,0.7185973566065976,1.0,0.5794010496758146,0.1996449746631525,0.8622817542832184,0.7491848613350384,0.8162862370339504,0.755719332316817,0.9324274634416142,0.7757709038697751,1.0,0.1940959864712123,1.0
7,0.6748333597177923,0.978929891240116,0.7456070832227769,0.7019894594626024,0.0626162623773362,0.6931740769455622,0.5199920821208679,0.6527201406126807,0.5152067937918061,1.0,0.0931120797490516,0.9046049191902972,0.6865578844091443,0.8346258434793669,0.8222876633831329,1.0,0.0354623536169929,0.0274286174940069,0.6663149809120255,0.9435322853181471
8,0.6735023853827561,1.0,0.6418109865588638,0.6816643745453151,1.0,0.7658839092793148,0.6671512846841239,0.7346490860194745,1.0,0.0621213599731079,0.1957732875220261,0.8411173065640587,0.7419568699619921,1.0,0.8460794784949831,1.0,0.4705171991129939,0.0282139124452065,0.1655763051921823,0.9332028516606743
9,0.6461492636988854,1.0,0.6218898477960931,0.8294799553140723,0.0880514015401307,0.3233103774262165,0.8155087849639913,0.6740122710549444,0.7020349727681615,0.2918693613899664,0.177282414967071,0.7260638036830743,0.7425613788618811,0.78136495353404,0.718287836309246,1.0,0.1020725463029509,1.0,0.2024399715391683,0.1958464807223073
10,0.6437738458394635,0.9400795716653232,0.6584505266696973,0.7405884174978171,0.157043908644261,0.7630172992896576,0.9427565649410388,0.722735944027118,0.7915624876871227,0.5540866702499264,0.739782675222962,0.6595479759971514,0.8557284067543226,0.6238415991837639,0.7546223057146082,0.9381597857539564,0.1822873180090156,0.9140678153614044,0.2102820390293792,0.2119699648833103
11,0.8795173342873064,0.955949919472816,0.8083929332810246,0.7658476079848772,0.1767230462576316,0.7806355278975685,0.9926008277293932,0.5934557764459284,1.0,0.7434948046052777,0.1206697012973869,0.5961241331867116,0.7557401127492136,0.7887118359434607,1.0,0.8658410497115334,1.0,0.0650385633551904,0.2049221246209034,0.868310091823996
12,1.0,1.0,0.7142795021577095,0.8693738919859395,0.0185345866954623,1.0,1.0,0.6418839752127025,1.0,0.0635433220356838,0.4636512196820789,1.0,0.7621602046988484,1.0,1.0,0.8269324421457042,0.8542195454158001,0.0559834626593924,0.6271808981008612,1.0
13,0.066043520919336,1.0,1.0,0.2067584695778128,0.5624639201726849,1.0,0.2449490421542245,1.0,0.9355951293160444,0.0419414554934966,0.8192426772845561,1.0,1.0,1.0,1.0,1.0,0.8959298213461071,0.7320125621678168,0.8033544426168406,1.0
14,0.6665790444657118,1.0,1.0,0.128808177348047,0.5291254497634621,1.0,1.0,1.0,1.0,0.0647377749093913,0.2743726315509864,1.0,0.9396406260911476,1.0,0.059204920278074,1.0,0.0024222886855725,0.0127232857748355,0.7799902407827243,1.0
15,0.5455497607062192,0.2591922808852674,0.9629132723078344,0.6922870062558489,1.0,1.0,0.2590295004943466,1.0,1.0,0.3357388157654657,0.4176702816368455,1.0,1.0,0.9980749538544196,1.0,1.0,1.0,0.8999277951786225,0.753074440469555,1.0
16,1.0,1.0,1.0,0.7690960986368688,1.0,0.993805243710461,0.3945869329754889,1.0,0.1329982033708245,0.5646380029136,0.1343139170318737,1.0,1.0,1.0,0.1588269597854889,0.109278077791757,0.1183223061703397,0.1898849980771428,0.0479083589067904,1.0
17,1.0,0.1731446920805364,0.9889494044500856,0.7657690212410179,0.0067181798897048,0.9317602797005736,1.0,1.0,1.0,0.6233157549005315,0.8892182321744997,1.0,1.0,0.9608101908964408,1.0,0.2235668184382364,0.9331998405390094,1.0,0.8022372077741866,0.8763827413580701
18,1.0,1.0,0.9918530830526088,1.0,1.0,0.9145825237408768,0.6694595530720047,0.987018661574205,1.0,0.6868788621084119,1.0,1.0,1.0,1.0,1.0,0.2549052782555794,0.885446008309733,1.0,0.7564358555699447,0.9733902014699166
19,1.0,0.0517182769030016,1.0,1.0,0.3672670478404737,0.9059545027617548,1.0,0.9197592426325584,1.0,1.0,1.0,0.9741838867510269,0.9775953872282784,1.0,0.993482425490713,1.0,0.8711999315248865,1.0,0.7373783867614649,1.0
20,1.0,0.7869796419236804,1.0,1.0,1.0,0.7760028169059685,0.4451390686239438,0.9328878594526774,0.1133291422191952,1.0,1.0,0.9505380709869276,0.9392971564828474,0.1403517807834564,1.0,0.6454293888060533,0.1831575226049153,0.7310975883898212,0.7313782834624176,1.0
21,0.0065325498077817,1.0,0.9940401189563188,1.0,0.9651072585815654,0.3077009254637161,0.8541268490264958,1.0,0.1944694440778155,1.0,1.0,0.8555337775240678,0.9043859185341896,1.0,1.0,0.9927487382597552,0.718345096295519,1.0,1.0,1.0
